"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21001","0","10","70","0","2016","1","","Adair County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",410,4384,4544,4512,32897867,15561740,428990,565,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,-121,-2.7,-107,-2.3,-194,-4.1,1416070,4.5,737212,5.0,-56,0.0,41,7.8
"21001","0","10","70","0","2016","2","","Adair County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",405,4512,4627,4393,35544534,8262504,250102,606,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.7,-304,-6.3,-258,-5.3,-357,-7.5,134387,0.4,-763058,-8.5,-47926,-16.1,41,7.3
"21001","0","10","70","0","2016","3","","Adair County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",400,4087,4134,4541,32657759,4273034,117759,591,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.0,-156,-3.7,-192,-4.4,-166,-3.5,381426,1.2,-574183,-11.8,-49334,-29.5,30,5.3
"21001","0","10","70","0","2016","4","","Adair County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",400,4539,4527,4507,36028984,3427901,84815,613,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.7,-104,-2.2,-137,-2.9,-134,-2.9,-1846297,-4.9,-480725,-12.3,-28063,-24.9,-14,-2.2
"21001","1","10","71","0","2016","1","","Adair County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,47,46,45,536086,0,0,896,"",2.32,0.54,0.51,0.51,0.57,0.00,0.00,1.10,"",0,0.0,11,30.6,1,2.2,2,4.7,-31287,-5.5,0,0.0,0,0.0,-160,-15.2
"21001","1","10","71","0","2016","2","","Adair County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,44,44,38,474489,0,0,869,"",2.38,0.50,0.49,0.44,0.49,0.00,0.00,1.02,"",0,0.0,0,0.0,1,2.3,-8,-17.4,-9616,-2.0,0,0.0,0,0.0,29,3.5
"21001","1","10","71","0","2016","3","","Adair County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,43,44,42,525312,0,0,940,"",2.43,0.53,0.54,0.47,0.52,0.00,0.00,1.01,"",0,0.0,0,0.0,-4,-8.3,-4,-8.7,-47514,-8.3,0,0.0,0,0.0,-25,-2.6
"21001","1","10","71","0","2016","4","","Adair County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,44,45,46,515903,0,0,882,"",2.44,0.50,0.51,0.52,0.51,0.00,0.00,1.00,"",0,0.0,-4,-8.3,0,0.0,-1,-2.1,-51681,-9.1,0,0.0,0,0.0,-54,-5.8
"21001","1","102","72","0","2016","1","","Adair County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,47,46,45,536086,0,0,896,"",2.33,0.55,0.52,0.51,0.58,0.00,0.00,1.10,"",0,0.0,11,30.6,1,2.2,2,4.7,-31287,-5.5,0,0.0,0,0.0,-160,-15.2
"21001","1","102","72","0","2016","2","","Adair County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,44,44,38,474489,0,0,869,"",2.38,0.51,0.50,0.45,0.50,0.00,0.00,1.02,"",0,0.0,0,0.0,1,2.3,-8,-17.4,-9616,-2.0,0,0.0,0,0.0,29,3.5
"21001","1","102","72","0","2016","3","","Adair County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,43,44,42,525312,0,0,940,"",2.43,0.54,0.55,0.48,0.53,0.00,0.00,1.02,"",0,0.0,0,0.0,-4,-8.3,-4,-8.7,-47514,-8.3,0,0.0,0,0.0,-25,-2.6
"21001","1","102","72","0","2016","4","","Adair County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,44,45,46,515903,0,0,882,"",2.45,0.51,0.52,0.53,0.52,0.00,0.00,1.00,"",0,0.0,-4,-8.3,0,0.0,-1,-2.1,-51681,-9.1,0,0.0,0,0.0,-54,-5.8
"21001","1","1021","73","0","2016","1","","Adair County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,25,24,262983,0,0,820,"",1.55,1.19,1.14,1.10,1.62,0.00,0.00,1.41,"",0,0.0,4,19.0,0,0.0,-1,-4.0,-32103,-10.9,0,0.0,0,0.0,-139,-14.5
"21001","1","1021","73","0","2016","2","","Adair County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,24,24,264769,0,0,837,"",1.58,1.17,1.09,1.15,1.49,0.00,0.00,1.32,"",0,0.0,1,4.2,-1,-4.0,-1,-4.0,8259,3.2,0,0.0,0,0.0,37,4.6
"21001","1","1021","73","0","2016","3","","Adair County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,24,23,296019,0,0,949,"",1.62,1.28,1.21,1.06,1.62,0.00,0.00,1.38,"",0,0.0,0,0.0,-1,-4.0,-2,-8.0,-5203,-1.7,0,0.0,0,0.0,22,2.4
"21001","1","1021","73","0","2016","4","","Adair County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,24,24,24,295562,0,0,947,"",1.63,1.11,1.12,1.08,1.43,0.00,0.00,1.30,"",0,0.0,-1,-4.0,0,0.0,-1,-4.0,-10869,-3.5,0,0.0,0,0.0,-9,-0.9
"21001","1","1023","73","0","2016","1","","Adair County, Kentucky","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,97310,0,0,1497,"",29.24,11.82,11.55,11.76,13.87,0.00,0.00,1.18,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-26370,-21.3,0,0.0,0,0.0,-89,-5.6
"21001","1","1023","73","0","2016","2","","Adair County, Kentucky","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,83332,0,0,1282,"",29.98,11.91,11.75,12.19,12.48,0.00,0.00,1.04,"",0,0.0,0,0.0,0,0.0,0,0.0,-2155,-2.5,0,0.0,0,0.0,-33,-2.5
"21001","1","1023","73","0","2016","3","","Adair County, Kentucky","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,100295,0,0,1543,"",30.61,13.08,13.10,12.16,15.17,0.00,0.00,1.19,"",0,0.0,0,0.0,-1,-16.7,-1,-16.7,-2046,-2.0,0,0.0,0,0.0,154,11.1
"21001","1","1023","73","0","2016","4","","Adair County, Kentucky","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,6,6,88080,0,0,1196,"",30.79,12.14,14.64,14.71,14.21,0.00,0.00,1.03,"",0,0.0,-1,-16.7,0,0.0,0,0.0,-7444,-7.8,0,0.0,0,0.0,-29,-2.4
"21001","1","1028","73","0","2016","1","","Adair County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,16,16,175793,0,0,828,"",2.85,0.36,0.33,0.33,0.30,0.00,0.00,0.89,"",0,0.0,8,88.9,2,14.3,4,33.3,27186,18.3,0,0.0,0,0.0,-152,-15.5
"21001","1","1028","73","0","2016","2","","Adair County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,15,9,126388,0,0,768,"",2.92,0.29,0.30,0.19,0.21,0.00,0.00,0.80,"",0,0.0,-1,-6.7,2,15.4,-7,-43.8,-15720,-11.1,0,0.0,0,0.0,23,3.1
"21001","1","1028","73","0","2016","3","","Adair County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,15,14,128998,0,0,709,"",2.98,0.29,0.34,0.29,0.21,0.00,0.00,0.68,"",0,0.0,0,0.0,-2,-11.8,-1,-6.7,-40265,-23.8,0,0.0,0,0.0,-159,-18.3
"21001","1","1028","73","0","2016","4","","Adair County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,15,16,132261,0,0,664,"",3.00,0.31,0.31,0.33,0.22,0.00,0.00,0.69,"",0,0.0,-2,-11.8,0,0.0,0,0.0,-33368,-20.1,0,0.0,0,0.0,-132,-16.6
"21001","1","48-49","74","0","2016","1","","Adair County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,25,25,24,262983,0,0,820,"",1.60,1.30,1.25,1.21,1.74,0.00,0.00,1.39,"",0,0.0,4,19.0,0,0.0,-1,-4.0,-32103,-10.9,0,0.0,0,0.0,-139,-14.5
"21001","1","48-49","74","0","2016","2","","Adair County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,25,24,24,264769,0,0,837,"",1.63,1.28,1.19,1.25,1.61,0.00,0.00,1.30,"",0,0.0,1,4.2,-1,-4.0,-1,-4.0,8259,3.2,0,0.0,0,0.0,37,4.6
"21001","1","48-49","74","0","2016","3","","Adair County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,25,24,23,296019,0,0,949,"",1.67,1.40,1.32,1.16,1.74,0.00,0.00,1.35,"",0,0.0,0,0.0,-1,-4.0,-2,-8.0,-5203,-1.7,0,0.0,0,0.0,22,2.4
"21001","1","48-49","74","0","2016","4","","Adair County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,24,24,24,295562,0,0,947,"",1.68,1.22,1.22,1.18,1.55,0.00,0.00,1.28,"",0,0.0,-1,-4.0,0,0.0,-1,-4.0,-10869,-3.5,0,0.0,0,0.0,-9,-0.9
"21001","1","491","75","0","2016","1","","Adair County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,25,24,262983,0,0,820,"",1.61,1.33,1.27,1.23,1.83,0.00,0.00,1.43,"",0,0.0,4,19.0,0,0.0,-1,-4.0,-32103,-10.9,0,0.0,0,0.0,-139,-14.5
"21001","1","491","75","0","2016","2","","Adair County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,24,24,264769,0,0,837,"",1.64,1.30,1.22,1.28,1.68,0.00,0.00,1.33,"",0,0.0,1,4.2,-1,-4.0,-1,-4.0,8259,3.2,0,0.0,0,0.0,37,4.6
"21001","1","491","75","0","2016","3","","Adair County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,24,23,296019,0,0,949,"",1.68,1.43,1.35,1.19,1.82,0.00,0.00,1.38,"",0,0.0,0,0.0,-1,-4.0,-2,-8.0,-5203,-1.7,0,0.0,0,0.0,22,2.4
"21001","1","491","75","0","2016","4","","Adair County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,24,24,24,295562,0,0,947,"",1.69,1.24,1.25,1.20,1.60,0.00,0.00,1.30,"",0,0.0,-1,-4.0,0,0.0,-1,-4.0,-10869,-3.5,0,0.0,0,0.0,-9,-0.9
"21001","1","4911","76","0","2016","1","","Adair County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,25,24,262983,0,0,820,"",1.61,1.33,1.27,1.23,1.83,0.00,0.00,1.43,"",0,0.0,4,19.0,0,0.0,-1,-4.0,-32103,-10.9,0,0.0,0,0.0,-139,-14.5
"21001","1","4911","76","0","2016","2","","Adair County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,24,24,264769,0,0,837,"",1.64,1.30,1.22,1.28,1.68,0.00,0.00,1.33,"",0,0.0,1,4.2,-1,-4.0,-1,-4.0,8259,3.2,0,0.0,0,0.0,37,4.6
"21001","1","4911","76","0","2016","3","","Adair County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,24,23,296019,0,0,949,"",1.68,1.43,1.35,1.19,1.82,0.00,0.00,1.38,"",0,0.0,0,0.0,-1,-4.0,-2,-8.0,-5203,-1.7,0,0.0,0,0.0,22,2.4
"21001","1","4911","76","0","2016","4","","Adair County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,24,24,24,295562,0,0,947,"",1.69,1.24,1.25,1.20,1.60,0.00,0.00,1.30,"",0,0.0,-1,-4.0,0,0.0,-1,-4.0,-10869,-3.5,0,0.0,0,0.0,-9,-0.9
"21001","1","49111","77","0","2016","1","","Adair County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,25,25,24,262983,0,0,820,"",1.61,1.33,1.27,1.23,1.83,0.00,0.00,1.43,"",0,0.0,4,19.0,0,0.0,-1,-4.0,-32103,-10.9,0,0.0,0,0.0,-139,-14.5
"21001","1","49111","77","0","2016","2","","Adair County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,25,24,24,264769,0,0,837,"",1.64,1.30,1.22,1.28,1.68,0.00,0.00,1.33,"",0,0.0,1,4.2,-1,-4.0,-1,-4.0,8259,3.2,0,0.0,0,0.0,37,4.6
