"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21007","0","10","70","0","2016","1","","Ballard County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",174,1866,1865,1866,21362796,11451330,391161,881,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-5.9,-283,-13.2,-271,-12.7,-268,-12.6,-9344234,-30.4,-2748189,-19.4,-160667,-29.1,-223,-20.2
"21007","0","10","70","0","2016","2","","Ballard County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",171,1928,1920,1579,24700777,3380412,142956,1050,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-4.5,-187,-8.8,-221,-10.3,-564,-26.3,-6212565,-20.1,763648,29.2,40765,39.9,-65,-5.8
"21007","0","10","70","0","2016","3","","Ballard County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",168,1427,1543,1613,18822146,1672368,94683,948,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.9,-447,-23.9,-412,-21.1,-348,-17.7,-7457056,-28.4,-81785,-4.7,16286,20.8,-99,-9.5
"21007","0","10","70","0","2016","4","","Ballard County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",166,1602,1578,1578,18687300,1309345,74371,906,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.8,-324,-16.8,-368,-18.9,-315,-16.6,-6534988,-25.9,93964,7.7,13193,21.6,-104,-10.3
"21007","1","10","71","0","2016","1","","Ballard County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,29,28,28,248485,0,0,675,"",6.39,0.78,0.76,0.76,0.41,0.00,0.00,0.53,"",0,0.0,-5,-14.7,2,7.7,1,3.7,-78358,-24.0,0,0.0,0,0.0,-192,-22.1
"21007","1","10","71","0","2016","2","","Ballard County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,23,26,30,242259,0,0,708,"",6.56,0.61,0.69,0.97,0.36,0.00,0.00,0.48,"",0,0.0,-5,-17.9,-9,-25.7,4,15.4,-31328,-11.5,0,0.0,0,0.0,-1,-0.1
"21007","1","10","71","0","2016","3","","Ballard County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,27,26,25,284731,0,0,842,"",6.74,0.95,0.85,0.79,0.49,0.00,0.00,0.57,"",0,0.0,-3,-10.0,-4,-13.3,-6,-19.4,12747,4.7,0,0.0,0,0.0,152,22.0
"21007","1","10","71","0","2016","4","","Ballard County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,32,31,24,271860,0,0,721,"",6.87,1.02,1.01,0.77,0.52,0.00,0.00,0.55,"",0,0.0,8,33.3,0,0.0,-1,-4.0,1055,0.4,0,0.0,0,0.0,-60,-7.7
"21007","1","102","72","0","2016","1","","Ballard County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,29,28,28,248485,0,0,675,"",6.40,0.80,0.77,0.77,0.42,0.00,0.00,0.53,"",0,0.0,-5,-14.7,2,7.7,1,3.7,-78358,-24.0,0,0.0,0,0.0,-192,-22.1
"21007","1","102","72","0","2016","2","","Ballard County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,23,26,30,242259,0,0,708,"",6.58,0.62,0.70,0.98,0.36,0.00,0.00,0.48,"",0,0.0,-5,-17.9,-9,-25.7,4,15.4,-31328,-11.5,0,0.0,0,0.0,-1,-0.1
"21007","1","102","72","0","2016","3","","Ballard County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,27,26,25,284731,0,0,842,"",6.75,0.97,0.87,0.80,0.50,0.00,0.00,0.57,"",0,0.0,-3,-10.0,-4,-13.3,-6,-19.4,12747,4.7,0,0.0,0,0.0,152,22.0
"21007","1","102","72","0","2016","4","","Ballard County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,32,31,24,271860,0,0,721,"",6.88,1.04,1.03,0.79,0.53,0.00,0.00,0.55,"",0,0.0,8,33.3,0,0.0,-1,-4.0,1055,0.4,0,0.0,0,0.0,-60,-7.7
"21007","1","1021","73","0","2016","1","","Ballard County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,19,18,19,168378,0,0,694,"",9.15,2.12,2.00,2.11,1.59,0.00,0.00,0.77,"",0,0.0,-2,-9.5,-1,-5.3,-1,-5.0,-54791,-24.6,0,0.0,0,0.0,-164,-19.1
"21007","1","1021","73","0","2016","2","","Ballard County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,18,21,21,175782,0,0,676,"",9.38,1.97,2.30,2.79,1.43,0.00,0.00,0.61,"",0,0.0,-4,-18.2,-1,-4.5,1,5.0,-10469,-5.6,0,0.0,0,0.0,4,0.6
"21007","1","1021","73","0","2016","3","","Ballard County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,22,21,20,205491,0,0,753,"",9.65,3.22,2.84,2.60,1.95,0.00,0.00,0.68,"",0,0.0,2,10.0,2,10.5,-1,-4.8,14942,7.8,0,0.0,0,0.0,20,2.7
