"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21013","0","10","70","0","2016","1","","Bell County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",588,8343,8287,8393,65098874,33046282,996929,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-3.1,-183,-2.1,-174,-2.1,-33,-0.4,-246605,-0.4,-1162381,-3.4,-223447,-18.3,7,1.2
"21013","0","10","70","0","2016","2","","Bell County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",580,8440,8389,8413,69007737,14444750,340275,631,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-1.9,-18,-0.2,-158,-1.8,-143,-1.7,-1076116,-1.5,-567454,-3.8,-73544,-17.8,-2,-0.3
"21013","0","10","70","0","2016","3","","Bell County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",582,8022,8115,8195,66669660,7461726,167837,632,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.2,-271,-3.3,-104,-1.3,-188,-2.2,1657222,2.5,-951553,-11.3,-66414,-28.4,29,4.8
"21013","0","10","70","0","2016","4","","Bell County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",580,8272,8285,8343,71691167,6790842,162381,664,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-2.2,-199,-2.3,-324,-3.8,-282,-3.3,-2014640,-2.7,-406944,-5.7,-53699,-24.9,2,0.3
"21013","1","10","71","0","2016","1","","Bell County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,124,119,125,1894791,0,0,1188,"",3.51,0.75,0.73,0.75,1.02,0.00,0.00,1.38,"",-1,-7.1,8,6.9,4,3.5,9,7.8,65659,3.6,0,0.0,0,0.0,-28,-2.3
"21013","1","10","71","0","2016","2","","Bell County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,126,124,123,1680441,0,0,1040,"",3.59,0.76,0.76,0.74,0.89,0.00,0.00,1.18,"",0,0.0,5,4.1,-5,-3.9,-11,-8.2,-101394,-5.7,0,0.0,0,0.0,-31,-2.9
"21013","1","10","71","0","2016","3","","Bell County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,122,120,119,1968609,0,0,1258,"",3.61,0.76,0.75,0.74,0.95,0.00,0.00,1.27,"",0,0.0,-8,-6.2,-11,-8.4,-13,-9.8,-185738,-8.6,0,0.0,0,0.0,-7,-0.6
"21013","1","10","71","0","2016","4","","Bell County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,113,116,118,1784942,0,0,1187,"",3.65,0.70,0.72,0.72,0.88,0.00,0.00,1.24,"",0,0.0,-3,-2.6,-5,-4.1,-6,-4.8,68589,4.0,0,0.0,0,0.0,90,8.2
"21013","1","102","72","0","2016","1","","Bell County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,124,119,125,1894791,0,0,1188,"",3.52,0.76,0.74,0.77,1.04,0.00,0.00,1.38,"",-1,-7.1,8,6.9,4,3.5,9,7.8,65659,3.6,0,0.0,0,0.0,-28,-2.3
"21013","1","102","72","0","2016","2","","Bell County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,126,124,123,1680441,0,0,1040,"",3.60,0.78,0.77,0.76,0.90,0.00,0.00,1.18,"",0,0.0,5,4.1,-5,-3.9,-11,-8.2,-101394,-5.7,0,0.0,0,0.0,-31,-2.9
