"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21041","0","10","70","0","2016","1","","Carroll County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",311,6769,6836,6912,93615222,49398584,1609114,1053,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,589,9.5,628,10.1,529,8.3,7186897,8.3,6950318,16.4,516819,47.3,-10,-0.9
"21041","0","10","70","0","2016","2","","Carroll County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",311,6917,7023,6957,94813910,12885237,584390,1047,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,231,3.5,337,5.0,187,2.8,6751467,7.7,688257,5.6,47781,8.9,38,3.8
"21041","0","10","70","0","2016","3","","Carroll County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",308,7059,7103,6944,96406789,9164402,404643,1054,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.6,498,7.6,276,4.0,92,1.3,8018416,9.1,1212978,15.3,62124,18.1,46,4.6
"21041","0","10","70","0","2016","4","","Carroll County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",309,6954,6999,6853,99909900,7564112,246010,1108,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.3,53,0.8,35,0.5,-204,-2.9,4159490,4.3,-858084,-10.2,-137986,-35.9,52,4.9
"21041","1","10","71","0","2016","1","","Carroll County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,36,37,41,609256,0,0,1233,"",2.55,0.27,0.27,0.30,0.23,0.00,0.00,0.82,"",-1,-16.7,-2,-5.3,2,5.7,6,17.1,8163,1.4,0,0.0,0,0.0,-51,-4.0
"21041","1","10","71","0","2016","2","","Carroll County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,35,34,38,574323,0,0,1239,"",2.58,0.26,0.25,0.28,0.22,0.00,0.00,0.84,"",-1,-16.7,-2,-5.4,1,3.0,5,15.2,21094,3.8,0,0.0,0,0.0,0,0.0
"21041","1","10","71","0","2016","3","","Carroll County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,37,41,37,696267,0,0,1397,"",2.63,0.26,0.29,0.27,0.23,0.00,0.00,0.85,"",0,0.0,-3,-7.5,6,17.1,-3,-7.5,23326,3.5,0,0.0,0,0.0,47,3.5
"21041","1","10","71","0","2016","4","","Carroll County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,37,38,37,643579,0,0,1326,"",2.63,0.27,0.28,0.27,0.23,0.00,0.00,0.83,"",0,0.0,4,12.1,1,2.7,-3,-7.5,33134,5.4,0,0.0,0,0.0,45,3.5
"21041","1","102","72","0","2016","1","","Carroll County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,36,37,41,609256,0,0,1233,"",2.56,0.27,0.28,0.31,0.23,0.00,0.00,0.81,"",-1,-16.7,-2,-5.3,2,5.7,6,17.1,8163,1.4,0,0.0,0,0.0,-51,-4.0
"21041","1","102","72","0","2016","2","","Carroll County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,35,34,38,574323,0,0,1239,"",2.58,0.26,0.25,0.28,0.22,0.00,0.00,0.84,"",-1,-16.7,-2,-5.4,1,3.0,5,15.2,21094,3.8,0,0.0,0,0.0,0,0.0
"21041","1","102","72","0","2016","3","","Carroll County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,37,41,37,696267,0,0,1397,"",2.63,0.27,0.30,0.28,0.24,0.00,0.00,0.85,"",0,0.0,-3,-7.5,6,17.1,-3,-7.5,23326,3.5,0,0.0,0,0.0,47,3.5
