"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21047","0","10","70","0","2016","1","","Christian County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1683,31134,31005,30960,292522140,156231548,5772045,725,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,1.3,-549,-1.7,-535,-1.7,-582,-1.8,-1852306,-0.6,-1606128,-1.0,-208482,-3.5,8,1.1
"21047","0","10","70","0","2016","2","","Christian County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1689,31039,31087,31073,309501169,53474633,1670165,766,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,1.9,-781,-2.5,-814,-2.6,-572,-1.8,1732168,0.6,-2161307,-3.9,-172693,-9.4,21,2.8
"21047","0","10","70","0","2016","3","","Christian County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1717,30883,31026,31215,314818395,31895730,966241,780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",55,3.3,-490,-1.6,-796,-2.5,-685,-2.1,14144394,4.7,-1996598,-5.9,-117540,-10.8,50,6.8
"21047","0","10","70","0","2016","4","","Christian County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1701,31387,31543,31604,326134659,29700821,1021239,796,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,2.2,-535,-1.7,-322,-1.0,-304,-1.0,-6902625,-2.1,-2889637,-8.9,-80338,-7.3,-7,-0.9
"21047","1","10","71","0","2016","1","","Christian County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",41,3763,3751,3776,47134751,0,0,963,"",3.87,6.09,6.11,6.18,5.66,0.00,0.00,0.92,"",-1,-2.4,53,1.4,31,0.8,50,1.3,5092817,12.1,0,0.0,0,0.0,93,10.7
"21047","1","10","71","0","2016","2","","Christian County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,3781,3820,3788,43362061,0,0,879,"",3.80,6.22,6.28,6.20,5.11,0.00,0.00,0.82,"",-2,-4.8,6,0.2,78,2.1,93,2.5,-3263303,-7.0,0,0.0,0,0.0,-81,-8.4
"21047","1","10","71","0","2016","3","","Christian County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",41,3775,3783,3875,49942687,0,0,1008,"",3.86,6.15,6.16,6.32,5.12,0.00,0.00,0.82,"",1,2.5,87,2.4,54,1.4,131,3.5,7930656,18.9,0,0.0,0,0.0,139,16.0
"21047","1","10","71","0","2016","4","","Christian County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",42,3964,3968,4014,48313677,0,0,933,"",4.02,6.47,6.46,6.44,5.25,0.00,0.00,0.81,"",1,2.4,199,5.3,196,5.2,224,5.9,747041,1.6,0,0.0,0,0.0,-36,-3.7
"21047","1","102","72","0","2016","1","","Christian County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",41,3763,3751,3776,47134751,0,0,963,"",3.88,6.20,6.22,6.29,5.76,0.00,0.00,0.92,"",-1,-2.4,53,1.4,31,0.8,50,1.3,5092817,12.1,0,0.0,0,0.0,93,10.7
"21047","1","102","72","0","2016","2","","Christian County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,3781,3820,3788,43362061,0,0,879,"",3.80,6.34,6.40,6.31,5.20,0.00,0.00,0.82,"",-2,-4.8,6,0.2,78,2.1,93,2.5,-3263303,-7.0,0,0.0,0,0.0,-81,-8.4
