"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21059","0","10","70","0","2016","1","","Daviess County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3136,44872,45023,45135,424284802,224108843,5979921,725,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",83,2.7,412,0.9,690,1.6,681,1.5,9640021,2.3,5847135,2.7,-214892,-3.5,7,1.0
"21059","0","10","70","0","2016","2","","Daviess County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3096,45814,46283,46219,460430714,86278620,2273722,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,966,2.2,1090,2.4,993,2.2,18298247,4.1,6889145,8.7,151005,7.1,14,1.9
"21059","0","10","70","0","2016","3","","Daviess County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3102,43910,45766,45827,455050590,48792650,1178123,775,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-26,-0.8,392,0.9,843,1.9,848,1.9,32629571,7.7,351866,0.7,-118670,-9.2,44,6.0
"21059","0","10","70","0","2016","4","","Daviess County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3105,45758,45993,46200,473382979,40608766,1051708,792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-35,-1.1,618,1.4,322,0.7,494,1.1,-14383531,-2.9,-1880712,-4.4,-203867,-16.2,-33,-4.0
"21059","1","10","71","0","2016","1","","Daviess County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,249,253,252,3646571,0,0,1116,"",0.86,0.28,0.28,0.28,0.30,0.00,0.00,1.07,"",0,0.0,-6,-2.4,4,1.6,0,0.0,-403237,-10.0,0,0.0,0,0.0,-120,-9.7
"21059","1","10","71","0","2016","2","","Daviess County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,255,251,254,3531445,0,0,1072,"",0.88,0.28,0.28,0.28,0.28,0.00,0.00,1.00,"",0,0.0,2,0.8,3,1.2,2,0.8,36072,1.0,0,0.0,0,0.0,1,0.1
"21059","1","10","71","0","2016","3","","Daviess County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,254,250,255,4083529,0,0,1242,"",0.89,0.29,0.28,0.28,0.29,0.00,0.00,1.02,"",0,0.0,10,4.1,5,2.0,5,2.0,2997,0.1,0,0.0,0,0.0,-32,-2.5
"21059","1","10","71","0","2016","4","","Daviess County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,245,252,258,3932412,0,0,1202,"",0.89,0.27,0.28,0.28,0.29,0.00,0.00,1.05,"",0,0.0,-8,-3.2,-1,-0.4,8,3.2,-128655,-3.2,0,0.0,0,0.0,-38,-3.1
"21059","1","102","72","0","2016","1","","Daviess County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,249,253,252,3646571,0,0,1116,"",0.86,0.28,0.29,0.29,0.31,0.00,0.00,1.07,"",0,0.0,-6,-2.4,4,1.6,0,0.0,-403237,-10.0,0,0.0,0,0.0,-120,-9.7
"21059","1","102","72","0","2016","2","","Daviess County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,255,251,254,3531445,0,0,1072,"",0.88,0.29,0.28,0.28,0.28,0.00,0.00,1.00,"",0,0.0,2,0.8,3,1.2,2,0.8,36072,1.0,0,0.0,0,0.0,1,0.1
"21059","1","102","72","0","2016","3","","Daviess County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,254,250,255,4083529,0,0,1242,"",0.89,0.30,0.28,0.29,0.29,0.00,0.00,1.02,"",0,0.0,10,4.1,5,2.0,5,2.0,2997,0.1,0,0.0,0,0.0,-32,-2.5
"21059","1","102","72","0","2016","4","","Daviess County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,245,252,258,3932412,0,0,1202,"",0.89,0.28,0.29,0.29,0.30,0.00,0.00,1.05,"",0,0.0,-8,-3.2,-1,-0.4,8,3.2,-128655,-3.2,0,0.0,0,0.0,-38,-3.1
