"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21071","0","10","70","0","2016","1","","Floyd County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1066,10698,10648,10839,97758361,48305162,1613681,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-284,-2.6,-214,-2.0,2,0.0,624559,0.6,407147,0.9,-25487,-1.6,15,2.2
"21071","0","10","70","0","2016","2","","Floyd County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1057,10834,10932,10781,109756923,21325731,619686,778,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.2,-204,-1.8,-122,-1.1,-136,-1.2,3678651,3.5,1432534,7.2,7962,1.3,36,4.9
"21071","0","10","70","0","2016","3","","Floyd County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1055,9786,10426,10676,101620447,11509362,338474,759,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-1.6,-446,-4.4,-356,-3.3,-627,-5.5,5550324,5.8,597118,5.5,-34443,-9.2,73,10.6
"21071","0","10","70","0","2016","4","","Floyd County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1045,10662,10782,10824,104771457,9593448,316706,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-31,-2.9,-571,-5.1,-580,-5.1,-303,-2.7,-5398283,-4.9,356650,3.9,-5628,-1.7,-5,-0.7
"21071","1","10","71","0","2016","1","","Floyd County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,120,118,120,1928848,0,0,1243,"",4.62,0.56,0.56,0.56,0.69,0.00,0.00,1.23,"",0,0.0,-5,-4.0,-4,-3.3,1,0.8,-116062,-5.7,0,0.0,0,0.0,-46,-3.6
"21071","1","10","71","0","2016","2","","Floyd County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,120,119,117,1746439,0,0,1132,"",4.70,0.57,0.56,0.55,0.58,0.00,0.00,1.04,"",0,0.0,-4,-3.2,0,0.0,-5,-4.1,-2360,-0.1,0,0.0,0,0.0,26,2.4
"21071","1","10","71","0","2016","3","","Floyd County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,118,121,120,2002977,0,0,1288,"",4.75,0.61,0.59,0.57,0.64,0.00,0.00,1.08,"",0,0.0,0,0.0,3,2.5,-3,-2.4,-5087,-0.3,0,0.0,0,0.0,-3,-0.2
"21071","1","10","71","0","2016","4","","Floyd County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,116,118,117,1978390,0,0,1301,"",4.99,0.56,0.56,0.55,0.67,0.00,0.00,1.21,"",1,3.2,-2,-1.7,-1,-0.8,-7,-5.6,225975,12.9,0,0.0,0,0.0,181,16.2
"21071","1","102","72","0","2016","1","","Floyd County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,120,118,120,1928848,0,0,1243,"",4.63,0.57,0.57,0.57,0.71,0.00,0.00,1.23,"",0,0.0,-5,-4.0,-4,-3.3,1,0.8,-116062,-5.7,0,0.0,0,0.0,-46,-3.6
"21071","1","102","72","0","2016","2","","Floyd County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,120,119,117,1746439,0,0,1132,"",4.71,0.58,0.57,0.56,0.59,0.00,0.00,1.04,"",0,0.0,-4,-3.2,0,0.0,-5,-4.1,-2360,-0.1,0,0.0,0,0.0,26,2.4
"21071","1","102","72","0","2016","3","","Floyd County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,118,121,120,2002977,0,0,1288,"",4.76,0.62,0.60,0.58,0.65,0.00,0.00,1.08,"",0,0.0,0,0.0,3,2.5,-3,-2.4,-5087,-0.3,0,0.0,0,0.0,-3,-0.2
"21071","1","102","72","0","2016","4","","Floyd County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,116,118,117,1978390,0,0,1301,"",5.00,0.57,0.57,0.56,0.68,0.00,0.00,1.21,"",1,3.2,-2,-1.7,-1,-0.8,-7,-5.6,225975,12.9,0,0.0,0,0.0,181,16.2
"21071","1","1021","73","0","2016","1","","Floyd County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,50,48,48,456352,0,0,721,"",7.76,0.97,0.93,0.92,0.94,0.00,0.00,1.00,"",0,0.0,1,2.0,2,4.3,6,14.3,-83210,-15.4,0,0.0,0,0.0,-188,-20.7
"21071","1","1021","73","0","2016","2","","Floyd County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,48,48,47,463635,0,0,748,"",7.89,0.93,0.92,0.92,0.85,0.00,0.00,0.92,"",0,0.0,1,2.1,5,11.6,1,2.2,18035,4.0,0,0.0,0,0.0,-8,-1.1
"21071","1","1021","73","0","2016","3","","Floyd County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,47,49,50,535868,0,0,847,"",7.99,1.00,0.98,0.98,0.94,0.00,0.00,0.96,"",0,0.0,3,6.8,2,4.3,-1,-2.0,-9122,-1.7,0,0.0,0,0.0,-39,-4.4
"21071","1","1021","73","0","2016","4","","Floyd County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,47,48,49,556177,0,0,891,"",8.12,0.93,0.94,0.92,0.93,0.00,0.00,1.00,"",0,0.0,-1,-2.1,-1,-2.0,-2,-3.9,8479,1.5,0,0.0,0,0.0,37,4.3
"21071","1","1025","73","0","2016","1","","Floyd County, Kentucky","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,17,18,20,398897,0,0,1674,"",6.64,0.55,0.59,0.64,1.07,0.00,0.00,1.80,"",0,0.0,1,6.2,2,12.5,3,17.6,87496,28.1,0,0.0,0,0.0,207,14.1
"21071","1","1025","73","0","2016","2","","Floyd County, Kentucky","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,18,18,18,366081,0,0,1564,"",6.72,0.58,0.58,0.59,0.87,0.00,0.00,1.48,"",0,0.0,0,0.0,0,0.0,0,0.0,67017,22.4,0,0.0,0,0.0,286,22.4
"21071","1","1025","73","0","2016","3","","Floyd County, Kentucky","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,18,21,21,464365,0,0,1786,"",6.75,0.64,0.71,0.69,1.05,0.00,0.00,1.54,"",0,0.0,1,5.9,5,31.2,5,31.2,152689,49.0,0,0.0,0,0.0,318,21.7
"21071","1","1025","73","0","2016","4","","Floyd County, Kentucky","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,23,22,568523,0,0,1988,"",6.82,0.70,0.75,0.72,1.33,0.00,0.00,1.84,"",0,0.0,5,31.2,7,43.8,4,22.2,288739,103.2,0,0.0,0,0.0,697,54.0
"21071","1","1028","73","0","2016","1","","Floyd County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,53,52,52,1073599,0,0,1578,"",1.46,0.46,0.45,0.45,0.62,0.00,0.00,1.36,"",0,0.0,-7,-11.7,-8,-13.3,-8,-13.3,-120348,-10.1,0,0.0,0,0.0,47,3.1
"21071","1","1028","73","0","2016","2","","Floyd County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,54,53,52,916723,0,0,1331,"",1.49,0.47,0.46,0.45,0.50,0.00,0.00,1.08,"",0,0.0,-5,-8.5,-5,-8.6,-6,-10.3,-87412,-8.7,0,0.0,0,0.0,7,0.5
"21071","1","1028","73","0","2016","3","","Floyd County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,53,51,49,1002744,0,0,1512,"",1.50,0.50,0.45,0.43,0.52,0.00,0.00,1.13,"",0,0.0,-4,-7.0,-4,-7.3,-7,-12.5,-148654,-12.9,0,0.0,0,0.0,-70,-4.4
