"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21087","0","10","70","0","2016","1","","Green County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",190,1701,1707,1696,11197112,4509307,120096,506,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,-48,-2.7,-62,-3.5,-67,-3.8,-206657,-1.8,-222469,-4.7,-8182,-6.4,8,1.6
"21087","0","10","70","0","2016","2","","Green County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",193,1745,1783,1809,14443246,2556228,76763,625,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.0,-2,-0.1,10,0.6,37,2.1,437375,3.1,43545,1.7,2764,3.7,14,2.3
"21087","0","10","70","0","2016","3","","Green County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",194,1450,1716,1739,12074019,1437521,40816,568,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.1,-54,-3.6,-41,-2.3,-14,-0.8,1350886,12.6,138516,10.7,6403,18.6,74,15.0
"21087","0","10","70","0","2016","4","","Green County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",193,1711,1693,1712,11845974,1032450,24320,534,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-26,-1.5,-49,-2.8,-43,-2.5,-1391851,-10.5,-18581,-1.8,-2241,-8.4,-50,-8.6
"21087","1","10","71","0","2016","1","","Green County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,18,19,19,181984,0,0,750,"",1.67,0.53,0.56,0.57,0.57,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,-1,-5.0,-39306,-17.8,0,0.0,0,0.0,-146,-16.3
"21087","1","10","71","0","2016","2","","Green County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,19,19,19,192768,0,0,780,"",1.66,0.56,0.54,0.53,0.49,0.00,0.00,0.89,"",0,0.0,-1,-5.0,-1,-5.0,-1,-5.0,-2942,-1.5,0,0.0,0,0.0,27,3.6
"21087","1","10","71","0","2016","3","","Green County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,19,19,19,222274,0,0,900,"",1.67,0.66,0.56,0.56,0.59,0.00,0.00,1.01,"",0,0.0,-1,-5.0,0,0.0,0,0.0,11916,5.7,0,0.0,0,0.0,63,7.5
"21087","1","10","71","0","2016","4","","Green County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,19,20,20,233645,0,0,914,"",1.69,0.57,0.61,0.59,0.70,0.00,0.00,1.19,"",0,0.0,1,5.6,1,5.3,1,5.3,13608,6.2,0,0.0,0,0.0,7,0.8
"21087","1","102","72","0","2016","1","","Green County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,18,19,19,181984,0,0,750,"",1.68,0.54,0.57,0.58,0.58,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,-1,-5.0,-39306,-17.8,0,0.0,0,0.0,-146,-16.3
"21087","1","102","72","0","2016","2","","Green County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,19,19,19,192768,0,0,780,"",1.66,0.57,0.55,0.54,0.50,0.00,0.00,0.89,"",0,0.0,-1,-5.0,-1,-5.0,-1,-5.0,-2942,-1.5,0,0.0,0,0.0,27,3.6
