"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21111","0","10","70","0","2016","1","","Jefferson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25197,449173,449515,453771,5929760850,2717308022,86437304,1012,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",497,2.0,8936,2.0,9878,2.2,11249,2.5,102276640,1.8,126753324,4.9,836948,1.0,-5,-0.5
"21111","0","10","70","0","2016","2","","Jefferson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25281,458425,462148,463121,5824257678,857288267,25296481,971,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",508,2.1,13757,3.1,9930,2.2,9255,2.0,246153347,4.4,64827795,8.2,1207571,5.0,18,1.9
"21111","0","10","70","0","2016","3","","Jefferson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25457,452867,463908,464820,6035469131,595102310,17888023,1008,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",562,2.3,10608,2.4,10918,2.4,11907,2.6,583051836,10.7,84916315,16.6,1597845,9.8,75,8.0
"21111","0","10","70","0","2016","4","","Jefferson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25414,462839,467226,469681,6216770303,467043971,13371136,1025,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",288,1.1,6071,1.3,5967,1.3,7440,1.6,-56688208,-0.9,-8274407,-1.7,-1679870,-11.2,-24,-2.3
"21111","1","10","71","0","2016","1","","Jefferson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,6424,6386,6365,116207075,0,0,1399,"",0.45,0.72,0.72,0.71,0.69,0.00,0.00,0.96,"",-2,-2.7,51,0.8,13,0.2,5,0.1,-7516440,-6.1,0,0.0,0,0.0,-95,-6.4
"21111","1","10","71","0","2016","2","","Jefferson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,6396,6401,6464,108278644,0,0,1297,"",0.45,0.71,0.71,0.71,0.68,0.00,0.00,0.95,"",0,0.0,-48,-0.7,29,0.5,54,0.8,-610002,-0.6,0,0.0,0,0.0,-10,-0.8
"21111","1","10","71","0","2016","3","","Jefferson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,6412,6434,6411,126673376,0,0,1518,"",0.45,0.71,0.70,0.70,0.68,0.00,0.00,0.96,"",0,0.0,-34,-0.5,-27,-0.4,-38,-0.6,3496869,2.8,0,0.0,0,0.0,49,3.3
"21111","1","10","71","0","2016","4","","Jefferson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",72,6465,6498,6635,124130949,0,0,1462,"",0.46,0.72,0.71,0.72,0.71,0.00,0.00,0.99,"",1,1.4,7,0.1,62,1.0,52,0.8,7111639,6.1,0,0.0,0,0.0,76,5.5
"21111","1","102","72","0","2016","1","","Jefferson County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",71,6424,6386,6365,116207075,0,0,1399,"",0.45,0.73,0.73,0.72,0.70,0.00,0.00,0.96,"",-2,-2.7,51,0.8,13,0.2,5,0.1,-7516440,-6.1,0,0.0,0,0.0,-95,-6.4
"21111","1","102","72","0","2016","2","","Jefferson County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",71,6396,6401,6464,108278644,0,0,1297,"",0.45,0.73,0.72,0.72,0.69,0.00,0.00,0.95,"",0,0.0,-48,-0.7,29,0.5,54,0.8,-610002,-0.6,0,0.0,0,0.0,-10,-0.8
"21111","1","102","72","0","2016","3","","Jefferson County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",71,6412,6434,6411,126673376,0,0,1518,"",0.45,0.73,0.71,0.71,0.69,0.00,0.00,0.96,"",0,0.0,-34,-0.5,-27,-0.4,-38,-0.6,3496869,2.8,0,0.0,0,0.0,49,3.3
