"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21143","0","10","70","0","2016","1","","Lyon County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",209,2240,2211,2277,16345213,6305468,188440,561,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,4.0,79,3.7,60,2.8,105,4.8,1624437,11.0,686004,12.2,23757,14.4,37,7.1
"21143","0","10","70","0","2016","2","","Lyon County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",215,2375,2619,2661,18223718,3829726,107542,549,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,5.9,92,4.0,127,5.1,125,4.9,1508007,9.0,311492,8.9,8916,9.0,21,4.0
"21143","0","10","70","0","2016","3","","Lyon County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",221,2703,2611,2545,18660764,2711279,80120,548,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,8.9,218,8.8,80,3.2,138,5.7,1666525,9.8,172720,6.8,-1507,-1.8,20,3.8
"21143","0","10","70","0","2016","4","","Lyon County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",217,2416,2341,2328,18513100,1542351,39706,603,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,4.8,117,5.1,29,1.3,-13,-0.6,507090,2.8,-143444,-8.5,-7866,-16.5,5,0.8
"21143","1","10","71","0","2016","1","","Lyon County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,32,30,31,526540,0,0,1307,"",2.28,0.72,0.69,0.69,1.13,0.00,0.00,1.62,"",0,0.0,0,0.0,0,0.0,1,3.3,62056,13.4,0,0.0,0,0.0,142,12.2
"21143","1","10","71","0","2016","2","","Lyon County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,33,35,36,516763,0,0,1147,"",2.24,0.71,0.68,0.69,1.03,0.00,0.00,1.49,"",0,0.0,4,13.8,4,12.9,4,12.5,14210,2.8,0,0.0,0,0.0,-114,-9.0
"21143","1","10","71","0","2016","3","","Lyon County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,34,36,36,601090,0,0,1309,"",2.20,0.63,0.70,0.72,1.04,0.00,0.00,1.52,"",0,0.0,3,9.7,5,16.1,6,20.0,51256,9.3,0,0.0,0,0.0,-70,-5.1
"21143","1","10","71","0","2016","4","","Lyon County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,36,35,33,543575,0,0,1206,"",2.25,0.76,0.77,0.72,1.04,0.00,0.00,1.39,"",0,0.0,5,16.1,5,16.7,2,6.5,-4516,-0.8,0,0.0,0,0.0,-169,-12.3
"21143","1","102","72","0","2016","1","","Lyon County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,32,30,31,526540,0,0,1307,"",2.28,0.73,0.70,0.70,1.15,0.00,0.00,1.62,"",0,0.0,0,0.0,0,0.0,1,3.3,62056,13.4,0,0.0,0,0.0,142,12.2
"21143","1","102","72","0","2016","2","","Lyon County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,33,35,36,516763,0,0,1147,"",2.24,0.72,0.70,0.70,1.05,0.00,0.00,1.49,"",0,0.0,4,13.8,4,12.9,4,12.5,14210,2.8,0,0.0,0,0.0,-114,-9.0
"21143","1","102","72","0","2016","3","","Lyon County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,34,36,36,601090,0,0,1309,"",2.20,0.64,0.71,0.73,1.06,0.00,0.00,1.52,"",0,0.0,3,9.7,5,16.1,6,20.0,51256,9.3,0,0.0,0,0.0,-70,-5.1
"21143","1","102","72","0","2016","4","","Lyon County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,36,35,33,543575,0,0,1206,"",2.26,0.78,0.78,0.73,1.06,0.00,0.00,1.39,"",0,0.0,5,16.1,5,16.7,2,6.5,-4516,-0.8,0,0.0,0,0.0,-169,-12.3
"21143","1","1021","73","0","2016","1","","Lyon County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,16,14,15,148596,0,0,762,"",3.05,1.49,1.31,1.37,1.84,0.00,0.00,1.32,"",0,0.0,-1,-5.9,-1,-6.7,0,0.0,-27434,-15.6,0,0.0,0,0.0,-102,-11.8
