"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21165","0","10","70","0","2016","1","","Menifee County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",100,832,844,859,6309237,2112992,77466,574,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-1.0,-41,-4.7,-16,-1.9,-8,-0.9,-111064,-1.7,54537,2.6,2452,3.3,4,0.7
"21165","0","10","70","0","2016","2","","Menifee County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",98,874,887,915,7242832,1335187,60678,625,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-4.9,25,2.9,13,1.5,30,3.4,245077,3.5,77985,6.2,-6591,-9.8,6,1.0
"21165","0","10","70","0","2016","3","","Menifee County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",99,874,901,907,6918040,660229,35451,595,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,1.0,0,0.0,23,2.6,10,1.1,322791,4.9,2096,0.3,3114,9.6,20,3.5
"21165","0","10","70","0","2016","4","","Menifee County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",98,915,917,894,7196360,411005,16847,609,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-1.0,26,2.9,38,4.3,26,3.0,133841,1.9,-4632,-1.1,1957,13.1,-9,-1.5
"21165","1","10","71","0","2016","1","","Menifee County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,45,44,45,609004,0,0,1049,"",6.35,2.72,2.63,2.65,3.39,0.00,0.00,1.27,"",0,0.0,-3,-6.2,-2,-4.3,0,0.0,-40718,-6.3,0,0.0,0,0.0,-30,-2.8
"21165","1","10","71","0","2016","2","","Menifee County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,44,45,46,499240,0,0,853,"",6.54,2.57,2.59,2.56,2.51,0.00,0.00,0.97,"",0,0.0,-3,-6.4,-2,-4.3,1,2.2,-31957,-6.0,0,0.0,0,0.0,-29,-3.3
"21165","1","10","71","0","2016","3","","Menifee County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,46,46,46,642746,0,0,1075,"",6.53,2.65,2.58,2.58,3.00,0.00,0.00,1.15,"",0,0.0,1,2.2,1,2.2,4,9.5,15902,2.5,0,0.0,0,0.0,-21,-1.9
"21165","1","10","71","0","2016","4","","Menifee County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,47,49,49,621191,0,0,989,"",6.65,2.63,2.74,2.78,3.06,0.00,0.00,1.13,"",0,0.0,6,14.6,5,11.4,4,8.9,98383,18.8,0,0.0,0,0.0,61,6.6
"21165","1","102","72","0","2016","1","","Menifee County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,45,44,45,609004,0,0,1049,"",6.37,2.77,2.68,2.70,3.45,0.00,0.00,1.27,"",0,0.0,-3,-6.2,-2,-4.3,0,0.0,-40718,-6.3,0,0.0,0,0.0,-30,-2.8
"21165","1","102","72","0","2016","2","","Menifee County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,44,45,46,499240,0,0,853,"",6.56,2.62,2.64,2.60,2.56,0.00,0.00,0.97,"",0,0.0,-3,-6.4,-2,-4.3,1,2.2,-31957,-6.0,0,0.0,0,0.0,-29,-3.3
"21165","1","102","72","0","2016","3","","Menifee County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,46,46,46,642746,0,0,1075,"",6.55,2.70,2.63,2.63,3.05,0.00,0.00,1.15,"",0,0.0,1,2.2,1,2.2,4,9.5,15902,2.5,0,0.0,0,0.0,-21,-1.9
"21165","1","102","72","0","2016","4","","Menifee County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,47,49,49,621191,0,0,989,"",6.66,2.68,2.79,2.83,3.12,0.00,0.00,1.13,"",0,0.0,6,14.6,5,11.4,4,8.9,98383,18.8,0,0.0,0,0.0,61,6.6
"21165","1","1021","73","0","2016","1","","Menifee County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,4,3,4,24120,0,0,506,"",9.55,1.00,0.74,0.97,0.77,0.00,0.00,0.86,"",0,0.0,-1,-20.0,-1,-25.0,0,0.0,-10263,-29.8,0,0.0,0,0.0,-104,-17.0
"21165","1","1021","73","0","2016","2","","Menifee County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,25084,0,0,643,"",9.82,0.72,0.71,0.69,0.69,0.00,0.00,0.98,"",0,0.0,-2,-40.0,-1,-25.0,-1,-25.0,933,3.9,0,0.0,0,0.0,214,49.9
"21165","1","1021","73","0","2016","3","","Menifee County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,29433,0,0,755,"",9.82,0.72,0.69,0.69,0.76,0.00,0.00,1.09,"",0,0.0,-1,-25.0,-1,-25.0,-1,-25.0,-626,-2.1,0,0.0,0,0.0,177,30.6
"21165","1","1021","73","0","2016","4","","Menifee County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,30985,0,0,794,"",9.99,0.69,0.69,0.68,0.75,0.00,0.00,1.10,"",0,0.0,-1,-25.0,0,0.0,0,0.0,2029,7.0,0,0.0,0,0.0,126,18.9
"21165","1","1028","73","0","2016","1","","Menifee County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,41,41,41,584884,0,0,1097,"",3.90,4.54,4.51,4.45,5.20,0.00,0.00,1.16,"",0,0.0,-2,-4.7,-1,-2.4,0,0.0,-30455,-4.9,0,0.0,0,0.0,-30,-2.7
"21165","1","1028","73","0","2016","2","","Menifee County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,41,42,43,474156,0,0,868,"",4.02,4.40,4.45,4.39,3.89,0.00,0.00,0.88,"",0,0.0,-1,-2.4,-1,-2.3,2,4.9,-32890,-6.5,0,0.0,0,0.0,-61,-6.6
"21165","1","1028","73","0","2016","3","","Menifee County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,43,43,43,613313,0,0,1097,"",4.01,4.54,4.43,4.44,4.65,0.00,0.00,1.04,"",0,0.0,2,4.9,2,4.9,5,13.2,16528,2.8,0,0.0,0,0.0,-51,-4.4
"21165","1","1028","73","0","2016","4","","Menifee County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,44,46,46,590206,0,0,1001,"",4.08,4.53,4.74,4.84,4.92,0.00,0.00,1.05,"",0,0.0,7,18.9,5,12.2,4,9.5,96354,19.5,0,0.0,0,0.0,51,5.4
"21165","1","48-49","74","0","2016","1","","Menifee County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,4,3,4,24120,0,0,506,"",9.82,1.10,0.81,1.06,0.83,0.00,0.00,0.85,"",0,0.0,-1,-20.0,-1,-25.0,0,0.0,-10263,-29.8,0,0.0,0,0.0,-104,-17.0
"21165","1","48-49","74","0","2016","2","","Menifee County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,3,3,3,25084,0,0,643,"",10.10,0.79,0.78,0.75,0.75,0.00,0.00,0.97,"",0,0.0,-2,-40.0,-1,-25.0,-1,-25.0,933,3.9,0,0.0,0,0.0,214,49.9
"21165","1","48-49","74","0","2016","3","","Menifee County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,3,3,3,29433,0,0,755,"",10.10,0.78,0.76,0.76,0.81,0.00,0.00,1.06,"",0,0.0,-1,-25.0,-1,-25.0,-1,-25.0,-626,-2.1,0,0.0,0,0.0,177,30.6
"21165","1","48-49","74","0","2016","4","","Menifee County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,3,3,3,30985,0,0,794,"",10.28,0.76,0.75,0.74,0.81,0.00,0.00,1.08,"",0,0.0,-1,-25.0,0,0.0,0,0.0,2029,7.0,0,0.0,0,0.0,126,18.9
