"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21191","0","10","70","0","2016","1","","Pendleton County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",217,2294,2280,2285,22268235,11206889,268878,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.5,35,1.5,36,1.6,1,0.0,-386952,-1.7,494931,4.6,-15966,-5.6,-21,-2.7
"21191","0","10","70","0","2016","2","","Pendleton County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",220,2291,2292,2290,23220823,3544237,88632,780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,8,0.4,24,1.1,-9,-0.4,188160,0.8,211810,6.4,-6911,-7.2,4,0.5
"21191","0","10","70","0","2016","3","","Pendleton County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",220,2023,2341,2298,22837809,2136275,58693,791,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.5,12,0.6,6,0.3,-41,-1.8,1340947,6.2,85267,4.2,1500,2.6,49,6.6
"21191","0","10","70","0","2016","4","","Pendleton County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",216,2337,2302,2316,22731435,1526339,41190,754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.7,32,1.4,-11,-0.5,-12,-0.5,-1474288,-6.1,-216464,-12.4,-1840,-4.3,-50,-6.2
"21191","1","10","71","0","2016","1","","Pendleton County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,27,27,30,301101,0,0,827,"",2.93,0.59,0.60,0.66,0.48,0.00,0.00,0.77,"",0,0.0,-3,-10.0,2,8.0,1,3.4,-26265,-8.0,0,0.0,0,0.0,-72,-8.0
"21191","1","10","71","0","2016","2","","Pendleton County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,27,30,26,291223,0,0,810,"",2.92,0.60,0.67,0.58,0.46,0.00,0.00,0.74,"",0,0.0,2,8.0,4,15.4,1,4.0,4666,1.6,0,0.0,0,0.0,-60,-6.9
"21191","1","10","71","0","2016","3","","Pendleton County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,26,26,30,346152,0,0,974,"",2.94,0.65,0.56,0.66,0.49,0.00,0.00,0.79,"",0,0.0,-4,-13.3,-5,-16.1,3,11.1,-1980,-0.6,0,0.0,0,0.0,61,6.7
"21191","1","10","71","0","2016","4","","Pendleton County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,26,26,30,342432,0,0,964,"",3.02,0.57,0.58,0.66,0.53,0.00,0.00,0.89,"",0,0.0,-4,-13.3,0,0.0,-1,-3.2,-14625,-4.1,0,0.0,0,0.0,17,1.8
"21191","1","102","72","0","2016","1","","Pendleton County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,27,27,30,301101,0,0,827,"",2.93,0.60,0.61,0.68,0.48,0.00,0.00,0.77,"",0,0.0,-3,-10.0,2,8.0,1,3.4,-26265,-8.0,0,0.0,0,0.0,-72,-8.0
"21191","1","102","72","0","2016","2","","Pendleton County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,27,30,26,291223,0,0,810,"",2.92,0.61,0.68,0.59,0.47,0.00,0.00,0.74,"",0,0.0,2,8.0,4,15.4,1,4.0,4666,1.6,0,0.0,0,0.0,-60,-6.9
