"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21201","0","10","70","0","2016","1","","Robertson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",49,289,291,289,1826496,745648,15319,485,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,8.9,15,5.5,16,5.8,7,2.5,73972,4.2,31074,4.3,4668,43.8,-2,-0.4
"21201","0","10","70","0","2016","2","","Robertson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",50,291,299,300,2103605,500912,12056,545,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,8.7,-4,-1.4,8,2.7,26,9.5,69689,3.4,20089,4.2,2854,31.0,-1,-0.2
"21201","0","10","70","0","2016","3","","Robertson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55,264,298,327,1895440,252761,6519,492,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,19.6,35,15.3,29,10.8,47,16.8,340018,21.9,80355,46.6,2202,51.0,31,6.7
"21201","0","10","70","0","2016","4","","Robertson County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",54,321,322,315,1964152,336095,6778,473,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,20.0,33,11.5,34,11.8,23,7.9,148469,8.2,179250,114.3,3659,117.3,-10,-2.1
"21201","1","10","71","0","2016","1","","Robertson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",3.24,0.17,0.17,0.18,0.23,0.00,0.00,1.33,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","10","71","0","2016","2","","Robertson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",3.21,0.18,0.17,0.17,0.21,0.00,0.00,1.21,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
"21201","1","10","71","0","2016","3","","Robertson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,1,1,14052,0,0,1081,"",2.94,0.19,0.17,0.16,0.24,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,-28,-0.2,0,0.0,0,0.0,-2,-0.2
"21201","1","10","71","0","2016","4","","Robertson County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,1,1,14069,0,0,1082,"",3.02,0.16,0.16,0.16,0.25,0.00,0.00,1.59,"",0,0.0,0,0.0,0,0.0,0,0.0,-183,-1.3,0,0.0,0,0.0,-14,-1.3
"21201","1","102","72","0","2016","1","","Robertson County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",3.25,0.18,0.18,0.18,0.24,0.00,0.00,1.33,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","102","72","0","2016","2","","Robertson County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",3.21,0.18,0.17,0.17,0.21,0.00,0.00,1.21,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
"21201","1","102","72","0","2016","3","","Robertson County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,14052,0,0,1081,"",2.95,0.19,0.17,0.16,0.24,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,-28,-0.2,0,0.0,0,0.0,-2,-0.2
"21201","1","102","72","0","2016","4","","Robertson County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,14069,0,0,1082,"",3.02,0.16,0.16,0.16,0.26,0.00,0.00,1.59,"",0,0.0,0,0.0,0,0.0,0,0.0,-183,-1.3,0,0.0,0,0.0,-14,-1.3
"21201","1","1021","73","0","2016","1","","Robertson County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",6.50,0.72,0.71,0.72,1.34,0.00,0.00,1.87,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","1021","73","0","2016","2","","Robertson County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",6.42,0.72,0.70,0.70,1.15,0.00,0.00,1.62,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
"21201","1","1021","73","0","2016","3","","Robertson County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,14052,0,0,1081,"",5.89,0.79,0.70,0.64,1.33,0.00,0.00,1.88,"",0,0.0,0,0.0,0,0.0,0,0.0,-28,-0.2,0,0.0,0,0.0,-2,-0.2
"21201","1","1021","73","0","2016","4","","Robertson County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,14069,0,0,1082,"",6.04,0.66,0.65,0.64,1.25,0.00,0.00,1.92,"",0,0.0,0,0.0,0,0.0,0,0.0,-183,-1.3,0,0.0,0,0.0,-14,-1.3
"21201","1","48-49","74","0","2016","1","","Robertson County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",6.68,0.79,0.78,0.78,1.44,0.00,0.00,1.84,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","48-49","74","0","2016","2","","Robertson County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",6.60,0.79,0.77,0.77,1.24,0.00,0.00,1.60,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
"21201","1","48-49","74","0","2016","3","","Robertson County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,14052,0,0,1081,"",6.06,0.86,0.77,0.70,1.42,0.00,0.00,1.84,"",0,0.0,0,0.0,0,0.0,0,0.0,-28,-0.2,0,0.0,0,0.0,-2,-0.2
"21201","1","48-49","74","0","2016","4","","Robertson County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,14069,0,0,1082,"",6.22,0.72,0.72,0.70,1.35,0.00,0.00,1.90,"",0,0.0,0,0.0,0,0.0,0,0.0,-183,-1.3,0,0.0,0,0.0,-14,-1.3
"21201","1","491","75","0","2016","1","","Robertson County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",6.73,0.81,0.80,0.80,1.52,0.00,0.00,1.89,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","491","75","0","2016","2","","Robertson County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",6.65,0.81,0.79,0.78,1.29,0.00,0.00,1.63,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
"21201","1","491","75","0","2016","3","","Robertson County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,14052,0,0,1081,"",6.11,0.88,0.78,0.72,1.49,0.00,0.00,1.89,"",0,0.0,0,0.0,0,0.0,0,0.0,-28,-0.2,0,0.0,0,0.0,-2,-0.2
"21201","1","491","75","0","2016","4","","Robertson County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,14069,0,0,1082,"",6.26,0.73,0.73,0.72,1.40,0.00,0.00,1.93,"",0,0.0,0,0.0,0,0.0,0,0.0,-183,-1.3,0,0.0,0,0.0,-14,-1.3
"21201","1","4911","76","0","2016","1","","Robertson County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",6.73,0.81,0.80,0.80,1.52,0.00,0.00,1.89,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","4911","76","0","2016","2","","Robertson County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",6.65,0.81,0.79,0.78,1.29,0.00,0.00,1.63,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
"21201","1","4911","76","0","2016","3","","Robertson County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,14052,0,0,1081,"",6.11,0.88,0.78,0.72,1.49,0.00,0.00,1.89,"",0,0.0,0,0.0,0,0.0,0,0.0,-28,-0.2,0,0.0,0,0.0,-2,-0.2
"21201","1","4911","76","0","2016","4","","Robertson County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,14069,0,0,1082,"",6.26,0.73,0.73,0.72,1.40,0.00,0.00,1.93,"",0,0.0,0,0.0,0,0.0,0,0.0,-183,-1.3,0,0.0,0,0.0,-14,-1.3
"21201","1","49111","77","0","2016","1","","Robertson County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",6.73,0.81,0.80,0.80,1.52,0.00,0.00,1.89,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","49111","77","0","2016","2","","Robertson County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",6.65,0.81,0.79,0.78,1.29,0.00,0.00,1.63,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
"21201","1","49111","77","0","2016","3","","Robertson County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,14052,0,0,1081,"",6.11,0.88,0.78,0.72,1.49,0.00,0.00,1.89,"",0,0.0,0,0.0,0,0.0,0,0.0,-28,-0.2,0,0.0,0,0.0,-2,-0.2
"21201","1","49111","77","0","2016","4","","Robertson County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,14069,0,0,1082,"",6.26,0.73,0.73,0.72,1.40,0.00,0.00,1.93,"",0,0.0,0,0.0,0,0.0,0,0.0,-183,-1.3,0,0.0,0,0.0,-14,-1.3
"21201","1","491110","78","0","2016","1","","Robertson County, Kentucky","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,12082,0,0,929,"",6.73,0.81,0.80,0.80,1.52,0.00,0.00,1.89,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-26970,-69.1,0,0.0,0,0.0,-72,-7.2
"21201","1","491110","78","0","2016","2","","Robertson County, Kentucky","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,12022,0,0,925,"",6.65,0.81,0.79,0.78,1.29,0.00,0.00,1.63,"",0,0.0,-2,-66.7,0,0.0,0,0.0,180,1.5,0,0.0,0,0.0,378,69.1
