"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21221","0","10","70","0","2016","1","","Trigg County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",282,2976,2927,2946,22480004,11988420,423134,586,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.7,-100,-3.3,-136,-4.4,-166,-5.3,-109147,-0.5,268155,2.3,-61077,-12.6,23,4.1
"21221","0","10","70","0","2016","2","","Trigg County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",283,3072,3152,3229,24955197,6175427,205090,609,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-110,-3.5,-115,-3.5,-103,-3.1,-95572,-0.4,-118042,-1.9,-63523,-23.6,18,3.0
"21221","0","10","70","0","2016","3","","Trigg County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",285,2880,3140,3115,24503302,3605875,144336,619,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.5,-540,-15.8,-226,-6.7,-249,-7.4,380621,1.6,-539769,-13.0,-32400,-18.3,71,13.0
"21221","0","10","70","0","2016","4","","Trigg County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",286,3084,3068,3005,26086145,2479039,90398,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.1,-177,-5.4,-162,-5.0,-181,-5.7,-1056245,-3.9,-546802,-18.1,-24311,-21.2,10,1.5
"21221","1","10","71","0","2016","1","","Trigg County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,84,83,84,1360816,0,0,1251,"",1.69,1.42,1.43,1.44,2.13,0.00,0.00,1.49,"",0,0.0,-1,-1.2,1,1.2,3,3.7,-66832,-4.7,0,0.0,0,0.0,-77,-5.8
"21221","1","10","71","0","2016","2","","Trigg County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,83,83,80,1191719,0,0,1118,"",1.70,1.38,1.35,1.26,1.74,0.00,0.00,1.31,"",0,0.0,3,3.8,4,5.1,0,0.0,76851,6.9,0,0.0,0,0.0,42,3.9
"21221","1","10","71","0","2016","3","","Trigg County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,80,80,80,1424811,0,0,1370,"",1.70,1.40,1.29,1.31,1.88,0.00,0.00,1.41,"",0,0.0,0,0.0,1,1.3,-1,-1.2,8683,0.6,0,0.0,0,0.0,8,0.6
"21221","1","10","71","0","2016","4","","Trigg County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,80,82,82,1241109,0,0,1174,"",1.71,1.33,1.37,1.38,1.69,0.00,0.00,1.24,"",0,0.0,-3,-3.6,1,1.2,-1,-1.2,-21142,-1.7,0,0.0,0,0.0,-5,-0.4
"21221","1","102","72","0","2016","1","","Trigg County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,84,83,84,1360816,0,0,1251,"",1.69,1.45,1.46,1.47,2.16,0.00,0.00,1.48,"",0,0.0,-1,-1.2,1,1.2,3,3.7,-66832,-4.7,0,0.0,0,0.0,-77,-5.8
"21221","1","102","72","0","2016","2","","Trigg County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,83,83,80,1191719,0,0,1118,"",1.70,1.41,1.37,1.28,1.77,0.00,0.00,1.31,"",0,0.0,3,3.8,4,5.1,0,0.0,76851,6.9,0,0.0,0,0.0,42,3.9
"21221","1","102","72","0","2016","3","","Trigg County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,80,80,80,1424811,0,0,1370,"",1.71,1.42,1.31,1.33,1.91,0.00,0.00,1.41,"",0,0.0,0,0.0,1,1.3,-1,-1.2,8683,0.6,0,0.0,0,0.0,8,0.6
"21221","1","102","72","0","2016","4","","Trigg County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,80,82,82,1241109,0,0,1174,"",1.71,1.35,1.40,1.41,1.72,0.00,0.00,1.24,"",0,0.0,-3,-3.6,1,1.2,-1,-1.2,-21142,-1.7,0,0.0,0,0.0,-5,-0.4
"21221","1","1021","73","0","2016","1","","Trigg County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,26,23,25,266229,0,0,830,"",2.26,1.82,1.63,1.76,2.39,0.00,0.00,1.38,"",0,0.0,-1,-3.7,-1,-4.2,2,8.7,-41634,-13.5,0,0.0,0,0.0,-130,-13.5
"21221","1","1021","73","0","2016","2","","Trigg County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,22,257200,0,0,873,"",2.27,1.58,1.53,1.43,2.07,0.00,0.00,1.37,"",0,0.0,-1,-4.2,0,0.0,-2,-8.3,8653,3.5,0,0.0,0,0.0,65,8.0
"21221","1","1021","73","0","2016","3","","Trigg County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,24,309181,0,0,1019,"",2.27,1.67,1.53,1.61,2.26,0.00,0.00,1.41,"",0,0.0,0,0.0,0,0.0,0,0.0,2293,0.7,0,0.0,0,0.0,7,0.7
"21221","1","1021","73","0","2016","4","","Trigg County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,24,24,24,296547,0,0,950,"",2.28,1.64,1.65,1.62,1.99,0.00,0.00,1.22,"",0,0.0,0,0.0,1,4.3,0,0.0,-16707,-5.3,0,0.0,0,0.0,-68,-6.7
"21221","1","1028","73","0","2016","1","","Trigg County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,58,60,59,1094587,0,0,1427,"",1.38,1.80,1.90,1.87,2.73,0.00,0.00,1.47,"",0,0.0,0,0.0,2,3.4,1,1.7,-25198,-2.3,0,0.0,0,0.0,-58,-3.9
"21221","1","1028","73","0","2016","2","","Trigg County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,60,60,58,934519,0,0,1212,"",1.39,1.83,1.79,1.68,2.23,0.00,0.00,1.26,"",0,0.0,4,7.1,4,7.1,2,3.6,68198,7.9,0,0.0,0,0.0,22,1.8
"21221","1","1028","73","0","2016","3","","Trigg County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,57,57,56,1115630,0,0,1514,"",1.39,1.83,1.68,1.68,2.39,0.00,0.00,1.38,"",0,0.0,0,0.0,1,1.8,-1,-1.8,6390,0.6,0,0.0,0,0.0,8,0.5
"21221","1","1028","73","0","2016","4","","Trigg County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,56,58,58,944562,0,0,1267,"",1.40,1.71,1.79,1.82,2.17,0.00,0.00,1.23,"",0,0.0,-3,-5.1,0,0.0,-1,-1.7,-4435,-0.5,0,0.0,0,0.0,23,1.8
"21221","1","48-49","74","0","2016","1","","Trigg County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,26,23,25,266229,0,0,830,"",2.32,1.99,1.78,1.93,2.58,0.00,0.00,1.36,"",0,0.0,-1,-3.7,-1,-4.2,2,8.7,-41634,-13.5,0,0.0,0,0.0,-130,-13.5
"21221","1","48-49","74","0","2016","2","","Trigg County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,23,22,257200,0,0,873,"",2.33,1.73,1.68,1.56,2.23,0.00,0.00,1.35,"",0,0.0,-1,-4.2,0,0.0,-2,-8.3,8653,3.5,0,0.0,0,0.0,65,8.0
"21221","1","48-49","74","0","2016","3","","Trigg County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,23,24,309181,0,0,1019,"",2.34,1.82,1.67,1.76,2.42,0.00,0.00,1.38,"",0,0.0,0,0.0,0,0.0,0,0.0,2293,0.7,0,0.0,0,0.0,7,0.7
"21221","1","48-49","74","0","2016","4","","Trigg County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,24,24,24,296547,0,0,950,"",2.35,1.79,1.80,1.76,2.15,0.00,0.00,1.20,"",0,0.0,0,0.0,1,4.3,0,0.0,-16707,-5.3,0,0.0,0,0.0,-68,-6.7
"21221","1","491","75","0","2016","1","","Trigg County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,26,23,25,266229,0,0,830,"",2.34,2.04,1.82,1.97,2.71,0.00,0.00,1.40,"",0,0.0,-1,-3.7,-1,-4.2,2,8.7,-41634,-13.5,0,0.0,0,0.0,-130,-13.5
"21221","1","491","75","0","2016","2","","Trigg County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,23,23,22,257200,0,0,873,"",2.35,1.76,1.71,1.60,2.33,0.00,0.00,1.38,"",0,0.0,-1,-4.2,0,0.0,-2,-8.3,8653,3.5,0,0.0,0,0.0,65,8.0
"21221","1","491","75","0","2016","3","","Trigg County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,23,23,24,309181,0,0,1019,"",2.36,1.86,1.71,1.80,2.53,0.00,0.00,1.41,"",0,0.0,0,0.0,0,0.0,0,0.0,2293,0.7,0,0.0,0,0.0,7,0.7
"21221","1","491","75","0","2016","4","","Trigg County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,24,24,24,296547,0,0,950,"",2.36,1.83,1.84,1.80,2.22,0.00,0.00,1.22,"",0,0.0,0,0.0,1,4.3,0,0.0,-16707,-5.3,0,0.0,0,0.0,-68,-6.7
