"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"22061","0","10","70","0","2016","1","","Lincoln Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1186,18460,18541,18681,160307524,73010644,1025793,664,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,2.1,782,4.4,669,3.7,805,4.5,2651217,1.7,3114795,4.5,23678,2.4,-17,-2.5
"22061","0","10","70","0","2016","2","","Lincoln Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1188,19086,19055,18666,165521556,24106062,330484,672,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,2.1,857,4.7,736,4.0,685,3.8,2513430,1.5,571332,2.4,-13941,-4.0,-18,-2.6
"22061","0","10","70","0","2016","3","","Lincoln Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1198,18334,18144,18647,164795251,15129598,217533,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,2.4,749,4.3,561,3.2,809,4.5,7860309,5.0,-209005,-1.4,-10295,-4.5,7,1.0
"22061","0","10","70","0","2016","4","","Lincoln Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1223,18880,18899,18790,172167085,12648214,186487,702,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",39,3.3,354,1.9,301,1.6,156,0.8,749145,0.4,-42801,-0.3,-6540,-3.4,-7,-1.0
"22061","1","10","71","0","2016","1","","Lincoln Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,103,109,108,1548368,0,0,1117,"",1.47,0.28,0.30,0.29,0.34,0.00,0.00,1.17,"",-1,-8.3,-5,-4.6,3,2.8,3,2.9,-138901,-8.2,0,0.0,0,0.0,-104,-8.5
"22061","1","10","71","0","2016","2","","Lincoln Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,111,109,110,1459945,0,0,1021,"",1.48,0.30,0.29,0.30,0.32,0.00,0.00,1.08,"",0,0.0,3,2.8,5,4.8,7,6.8,-2828,-0.2,0,0.0,0,0.0,-51,-4.8
"22061","1","10","71","0","2016","3","","Lincoln Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,112,110,107,1718671,0,0,1206,"",1.48,0.31,0.31,0.29,0.34,0.00,0.00,1.11,"",0,0.0,6,5.7,3,2.8,2,1.9,81312,5.0,0,0.0,0,0.0,18,1.5
"22061","1","10","71","0","2016","4","","Lincoln Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,111,107,109,1608525,0,0,1135,"",1.46,0.30,0.29,0.29,0.33,0.00,0.00,1.12,"",0,0.0,8,7.8,3,2.9,5,4.8,-19955,-1.2,0,0.0,0,0.0,-73,-6.0
"22061","1","102","72","0","2016","1","","Lincoln Parish, Louisiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,103,109,108,1548368,0,0,1117,"",1.48,0.29,0.30,0.30,0.35,0.00,0.00,1.17,"",-1,-8.3,-5,-4.6,3,2.8,3,2.9,-138901,-8.2,0,0.0,0,0.0,-104,-8.5
"22061","1","102","72","0","2016","2","","Lincoln Parish, Louisiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,111,109,110,1459945,0,0,1021,"",1.49,0.30,0.30,0.31,0.33,0.00,0.00,1.08,"",0,0.0,3,2.8,5,4.8,7,6.8,-2828,-0.2,0,0.0,0,0.0,-51,-4.8
