"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"22111","0","10","70","0","2016","1","","Union Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",389,4829,4867,4815,34101324,19886742,346008,542,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,20,0.4,62,1.3,81,1.7,167311,0.5,-514956,-2.5,-22224,-6.0,-4,-0.7
"22111","0","10","70","0","2016","2","","Union Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",386,4785,4787,4850,40622106,8280261,148183,650,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,1,0.0,-49,-1.0,45,0.9,667690,1.7,783165,10.4,15117,11.4,11,1.7
"22111","0","10","70","0","2016","3","","Union Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",386,4819,4881,4856,36382533,4520647,82367,577,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-62,-1.3,33,0.7,4,0.1,1558757,4.5,301149,7.1,6780,9.0,26,4.7
"22111","0","10","70","0","2016","4","","Union Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",387,4878,4864,4819,36802315,3142503,55698,583,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,-39,-0.8,-18,-0.4,-89,-1.8,-3598502,-8.9,-492202,-13.5,-12925,-18.8,-51,-8.0
"22111","1","10","71","0","2016","1","","Union Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,95,91,94,1328183,0,0,1095,"",4.08,0.99,0.94,0.99,1.37,0.00,0.00,1.41,"",0,0.0,5,5.6,1,1.1,6,6.8,-39355,-2.9,0,0.0,0,0.0,-83,-7.0
"22111","1","10","71","0","2016","2","","Union Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,92,93,93,1171597,0,0,973,"",4.15,0.98,0.99,0.97,1.05,0.00,0.00,1.07,"",0,0.0,3,3.4,2,2.2,4,4.5,19190,1.7,0,0.0,0,0.0,-16,-1.6
"22111","1","10","71","0","2016","3","","Union Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,92,94,94,1396270,0,0,1151,"",4.19,0.96,0.97,0.98,1.24,0.00,0.00,1.27,"",0,0.0,5,5.7,7,8.0,6,6.8,55213,4.1,0,0.0,0,0.0,-30,-2.5
"22111","1","10","71","0","2016","4","","Union Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,95,94,94,1333415,0,0,1087,"",4.21,1.00,0.99,0.99,1.29,0.00,0.00,1.29,"",0,0.0,9,10.5,3,3.3,1,1.1,56366,4.4,0,0.0,0,0.0,-4,-0.4
"22111","1","102","72","0","2016","1","","Union Parish, Louisiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,95,91,94,1328183,0,0,1095,"",4.09,1.01,0.96,1.01,1.39,0.00,0.00,1.41,"",0,0.0,5,5.6,1,1.1,6,6.8,-39355,-2.9,0,0.0,0,0.0,-83,-7.0
"22111","1","102","72","0","2016","2","","Union Parish, Louisiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,92,93,93,1171597,0,0,973,"",4.16,1.00,1.01,0.99,1.07,0.00,0.00,1.07,"",0,0.0,3,3.4,2,2.2,4,4.5,19190,1.7,0,0.0,0,0.0,-16,-1.6
