"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"22121","0","10","70","0","2016","1","","West Baton Rouge Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",696,13482,13359,13350,161326991,75387504,1457645,926,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,3.3,508,3.9,234,1.8,5,0.0,4415353,2.8,2025191,2.8,58872,4.2,8,0.9
"22121","0","10","70","0","2016","2","","West Baton Rouge Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",698,13128,13092,13232,161468427,17725458,335291,944,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,3.4,-230,-1.7,-299,-2.2,-323,-2.4,3912170,2.5,-2000232,-10.1,-52732,-13.6,42,4.7
"22121","0","10","70","0","2016","3","","West Baton Rouge Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",705,13045,12897,13266,166620237,13741714,287442,981,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,3.2,-360,-2.7,-414,-3.1,5,0.0,14334976,9.4,356055,2.7,22465,8.5,102,11.6
"22121","0","10","70","0","2016","4","","West Baton Rouge Parish, Louisiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",708,13512,13164,12943,180420433,12674942,266822,1051,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,2.9,-178,-1.3,-403,-3.0,-481,-3.6,2186711,1.2,72482,0.6,5643,2.2,40,4.0
"22121","1","10","71","0","2016","1","","West Baton Rouge Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,87,90,90,1336866,0,0,1155,"",1.83,0.32,0.34,0.34,0.29,0.00,0.00,0.87,"",-1,-11.1,26,42.6,30,50.0,30,50.0,432552,47.8,0,0.0,0,0.0,2,0.2
"22121","1","10","71","0","2016","2","","West Baton Rouge Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,92,90,93,1158207,0,0,972,"",1.84,0.36,0.35,0.36,0.26,0.00,0.00,0.74,"",-1,-11.1,33,55.9,32,55.2,29,45.3,346805,42.7,0,0.0,0,0.0,-63,-6.1
"22121","1","10","71","0","2016","3","","West Baton Rouge Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,92,97,95,1450113,0,0,1178,"",1.83,0.35,0.38,0.36,0.28,0.00,0.00,0.77,"",0,0.0,26,39.4,35,56.5,31,48.4,525999,56.9,0,0.0,0,0.0,67,6.0
"22121","1","10","71","0","2016","4","","West Baton Rouge Parish, Louisiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,97,92,96,1363218,0,0,1104,"",1.84,0.37,0.36,0.38,0.27,0.00,0.00,0.73,"",0,0.0,4,4.3,2,2.2,4,4.3,-10384,-0.8,0,0.0,0,0.0,-49,-4.2
"22121","1","102","72","0","2016","1","","West Baton Rouge Parish, Louisiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,87,90,90,1336866,0,0,1155,"",1.83,0.33,0.35,0.35,0.30,0.00,0.00,0.87,"",-1,-11.1,26,42.6,30,50.0,30,50.0,432552,47.8,0,0.0,0,0.0,2,0.2
"22121","1","102","72","0","2016","2","","West Baton Rouge Parish, Louisiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,92,90,93,1158207,0,0,972,"",1.84,0.36,0.36,0.36,0.27,0.00,0.00,0.74,"",-1,-11.1,33,55.9,32,55.2,29,45.3,346805,42.7,0,0.0,0,0.0,-63,-6.1
