"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"23023","0","10","70","0","2016","1","","Sagadahoc County, Maine","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1124,15590,15465,15483,183725543,116803611,1624302,911,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",33,3.0,701,4.7,549,3.7,582,3.9,7839080,4.5,6057424,5.5,-367262,-18.4,3,0.3
"23023","0","10","70","0","2016","2","","Sagadahoc County, Maine","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1134,15730,16275,16499,193885149,30280865,614970,922,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",38,3.5,528,3.5,556,3.5,494,3.1,16616281,9.4,-475415,-1.5,-168503,-21.5,50,5.7
"23023","0","10","70","0","2016","3","","Sagadahoc County, Maine","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1149,16230,16100,16072,188523569,18925755,413671,899,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,4.1,505,3.2,344,2.2,-20,-0.1,-8177057,-4.2,-1981948,-9.5,-147218,-26.2,-55,-5.8
"23023","0","10","70","0","2016","4","","Sagadahoc County, Maine","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1166,15916,15689,15634,202778564,10877273,221674,991,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,4.0,-249,-1.5,-186,-1.2,-327,-2.0,-9688945,-4.6,-4194491,-27.8,-110007,-33.2,-30,-2.9
"23023","1","10","71","0","2016","1","","Sagadahoc County, Maine","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,345,339,338,6762777,0,0,1527,"",1.70,1.11,1.11,1.11,1.29,0.00,0.00,1.17,"",1,9.1,39,12.7,33,10.8,30,9.7,318037,4.9,0,0.0,0,0.0,-90,-5.6
"23023","1","10","71","0","2016","2","","Sagadahoc County, Maine","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,339,344,347,6779942,0,0,1519,"",1.70,1.10,1.08,1.07,1.27,0.00,0.00,1.18,"",0,0.0,29,9.4,33,10.6,32,10.2,1110953,19.6,0,0.0,0,0.0,121,8.7
"23023","1","10","71","0","2016","3","","Sagadahoc County, Maine","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,352,353,355,8135103,0,0,1771,"",1.55,1.09,1.11,1.12,1.39,0.00,0.00,1.26,"",-1,-8.3,22,6.7,16,4.7,16,4.7,1220059,17.6,0,0.0,0,0.0,185,11.7
"23023","1","10","71","0","2016","4","","Sagadahoc County, Maine","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,367,361,369,8498241,0,0,1788,"",1.54,1.18,1.18,1.20,1.49,0.00,0.00,1.25,"",-1,-8.3,29,8.6,22,6.5,29,8.5,2255636,36.1,0,0.0,0,0.0,371,26.2
"23023","1","102","72","0","2016","1","","Sagadahoc County, Maine","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,345,339,338,6762777,0,0,1527,"",1.70,1.13,1.13,1.13,1.32,0.00,0.00,1.17,"",1,9.1,39,12.7,33,10.8,30,9.7,318037,4.9,0,0.0,0,0.0,-90,-5.6
"23023","1","102","72","0","2016","2","","Sagadahoc County, Maine","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,339,344,347,6779942,0,0,1519,"",1.70,1.12,1.10,1.09,1.30,0.00,0.00,1.18,"",0,0.0,29,9.4,33,10.6,32,10.2,1110953,19.6,0,0.0,0,0.0,121,8.7
