"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"24011","0","10","70","0","2016","1","","Caroline County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",670,8968,9074,9274,88036665,42870741,1206465,744,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.0,115,1.3,241,2.7,273,3.0,1798848,2.1,1785061,4.3,-354198,-22.7,-2,-0.3
"24011","0","10","70","0","2016","2","","Caroline County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",666,9553,9387,9553,92416922,13851797,429449,748,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,167,1.8,-148,-1.6,132,1.4,1783359,2.0,376550,2.8,-92516,-17.7,10,1.4
"24011","0","10","70","0","2016","3","","Caroline County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",665,9364,9225,9400,98518170,7860830,215843,812,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.4,111,1.2,79,0.9,160,1.7,6114147,6.6,-289140,-3.5,-61110,-22.1,40,5.2
"24011","0","10","70","0","2016","4","","Caroline County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",681,9374,9496,9484,97356334,5908461,162899,792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.3,144,1.6,406,4.5,277,3.0,110137,0.1,-528031,-8.2,-34242,-17.4,-23,-2.8
"24011","1","10","71","0","2016","1","","Caroline County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,70,70,73,790937,0,0,857,"",3.32,0.39,0.39,0.40,0.32,0.00,0.00,0.80,"",0,0.0,-6,-7.9,2,2.9,4,5.8,-104168,-11.6,0,0.0,0,0.0,-113,-11.6
"24011","1","10","71","0","2016","2","","Caroline County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,70,68,70,797241,0,0,885,"",3.37,0.37,0.37,0.37,0.31,0.00,0.00,0.84,"",0,0.0,0,0.0,-2,-2.9,0,0.0,41994,5.6,0,0.0,0,0.0,55,6.6
"24011","1","10","71","0","2016","3","","Caroline County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,70,75,74,924747,0,0,974,"",3.40,0.38,0.41,0.40,0.30,0.00,0.00,0.77,"",0,0.0,-1,-1.4,12,19.0,5,7.2,39251,4.4,0,0.0,0,0.0,-33,-3.3
"24011","1","10","71","0","2016","4","","Caroline County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,71,70,73,959808,0,0,1035,"",3.35,0.39,0.38,0.39,0.35,0.00,0.00,0.91,"",0,0.0,2,2.9,6,9.4,0,0.0,86147,9.9,0,0.0,0,0.0,56,5.7
"24011","1","102","72","0","2016","1","","Caroline County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,70,70,73,790937,0,0,857,"",3.33,0.40,0.40,0.41,0.32,0.00,0.00,0.80,"",0,0.0,-6,-7.9,2,2.9,4,5.8,-104168,-11.6,0,0.0,0,0.0,-113,-11.6
"24011","1","102","72","0","2016","2","","Caroline County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,70,68,70,797241,0,0,885,"",3.38,0.38,0.38,0.38,0.32,0.00,0.00,0.84,"",0,0.0,0,0.0,-2,-2.9,0,0.0,41994,5.6,0,0.0,0,0.0,55,6.6
