"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"24039","0","10","70","0","2016","1","","Somerset County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",455,6455,6561,6628,65472059,17739694,422721,769,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.8,41,0.6,22,0.3,42,0.6,-2641409,-3.9,193953,1.1,-211646,-33.4,-35,-4.4
"24039","0","10","70","0","2016","2","","Somerset County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",456,6613,7041,6796,69867739,5999205,158682,788,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.6,-45,-0.7,231,3.4,-157,-2.3,2105117,3.1,-319393,-5.1,-53672,-25.3,22,2.9
"24039","0","10","70","0","2016","3","","Somerset County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",456,6571,6454,6815,72174836,4805737,127976,840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.7,-74,-1.1,-129,-2.0,-101,-1.5,-235874,-0.3,-245810,-4.9,-41840,-24.6,10,1.2
"24039","0","10","70","0","2016","4","","Somerset County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",458,6824,6756,6686,75914432,3495747,87891,864,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.7,-127,-1.8,-71,-1.0,-219,-3.2,-582238,-0.8,163272,4.9,-22066,-20.1,10,1.2
"24039","1","10","71","0","2016","1","","Somerset County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,48,49,49,521532,0,0,824,"",4.19,0.37,0.38,0.37,0.28,0.00,0.00,0.75,"",0,0.0,2,4.3,-2,-3.9,2,4.3,-90545,-14.8,0,0.0,0,0.0,-157,-16.0
"24039","1","10","71","0","2016","2","","Somerset County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,45,53,51,534002,0,0,827,"",4.22,0.35,0.38,0.38,0.28,0.00,0.00,0.75,"",0,0.0,-6,-11.8,6,12.8,0,0.0,5096,1.0,0,0.0,0,0.0,8,1.0
"24039","1","10","71","0","2016","3","","Somerset County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,48,49,49,639289,0,0,1010,"",4.26,0.37,0.38,0.37,0.29,0.00,0.00,0.77,"",0,0.0,-2,-4.0,1,2.1,1,2.1,20673,3.3,0,0.0,0,0.0,32,3.3
"24039","1","10","71","0","2016","4","","Somerset County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,51,48,49,610457,0,0,952,"",4.27,0.38,0.36,0.37,0.29,0.00,0.00,0.76,"",0,0.0,3,6.2,2,4.3,2,4.3,-2211,-0.4,0,0.0,0,0.0,-51,-5.1
"24039","1","102","72","0","2016","1","","Somerset County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,48,49,49,521532,0,0,824,"",4.20,0.38,0.38,0.38,0.28,0.00,0.00,0.75,"",0,0.0,2,4.3,-2,-3.9,2,4.3,-90545,-14.8,0,0.0,0,0.0,-157,-16.0
"24039","1","102","72","0","2016","2","","Somerset County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,45,53,51,534002,0,0,827,"",4.23,0.35,0.39,0.39,0.28,0.00,0.00,0.75,"",0,0.0,-6,-11.8,6,12.8,0,0.0,5096,1.0,0,0.0,0,0.0,8,1.0
"24039","1","102","72","0","2016","3","","Somerset County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,48,49,49,639289,0,0,1010,"",4.26,0.37,0.39,0.37,0.29,0.00,0.00,0.77,"",0,0.0,-2,-4.0,1,2.1,1,2.1,20673,3.3,0,0.0,0,0.0,32,3.3
"24039","1","102","72","0","2016","4","","Somerset County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,51,48,49,610457,0,0,952,"",4.28,0.39,0.37,0.38,0.29,0.00,0.00,0.76,"",0,0.0,3,6.2,2,4.3,2,4.3,-2211,-0.4,0,0.0,0,0.0,-51,-5.1
"24039","1","1021","73","0","2016","1","","Somerset County, Maryland","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,39,37,38,369743,0,0,748,"",6.30,1.26,1.17,1.19,1.14,0.00,0.00,0.95,"",0,0.0,0,0.0,-3,-7.5,-2,-5.0,-106701,-22.4,0,0.0,0,0.0,-176,-19.0
"24039","1","1021","73","0","2016","2","","Somerset County, Maryland","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,36,40,42,403856,0,0,790,"",6.33,1.15,1.19,1.30,1.16,0.00,0.00,0.96,"",0,0.0,-8,-18.2,0,0.0,1,2.4,-7963,-1.9,0,0.0,0,0.0,30,3.9
"24039","1","1021","73","0","2016","3","","Somerset County, Maryland","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,40,40,40,482040,0,0,927,"",6.40,1.27,1.29,1.23,1.20,0.00,0.00,0.95,"",0,0.0,-2,-4.8,-1,-2.4,0,0.0,4958,1.0,0,0.0,0,0.0,32,3.6
"24039","1","1021","73","0","2016","4","","Somerset County, Maryland","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,42,39,39,475295,0,0,914,"",6.41,1.30,1.22,1.18,1.09,0.00,0.00,0.89,"",0,0.0,2,5.0,1,2.6,1,2.6,-14140,-2.9,0,0.0,0,0.0,-60,-6.2
"24039","1","1028","73","0","2016","1","","Somerset County, Maryland","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,12,11,151789,0,0,1095,"",2.57,0.13,0.17,0.15,0.13,0.00,0.00,0.86,"",0,0.0,2,28.6,1,9.1,4,57.1,16156,11.9,0,0.0,0,0.0,-157,-12.5
"24039","1","1028","73","0","2016","2","","Somerset County, Maryland","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,13,9,130146,0,0,969,"",2.59,0.13,0.17,0.12,0.11,0.00,0.00,0.78,"",0,0.0,2,28.6,6,85.7,-1,-10.0,13059,11.2,0,0.0,0,0.0,-157,-13.9
"24039","1","1028","73","0","2016","3","","Somerset County, Maryland","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,9,9,157249,0,0,1396,"",2.61,0.11,0.13,0.12,0.11,0.00,0.00,0.94,"",0,0.0,0,0.0,2,28.6,1,12.5,15715,11.1,0,0.0,0,0.0,-24,-1.7
"24039","1","1028","73","0","2016","4","","Somerset County, Maryland","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,9,10,135162,0,0,1114,"",2.62,0.12,0.13,0.14,0.11,0.00,0.00,0.82,"",0,0.0,1,12.5,1,12.5,1,11.1,11929,9.7,0,0.0,0,0.0,-24,-2.1
"24039","1","48-49","74","0","2016","1","","Somerset County, Maryland","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,39,37,38,369743,0,0,748,"",6.48,1.38,1.28,1.30,1.23,0.00,0.00,0.93,"",0,0.0,0,0.0,-3,-7.5,-2,-5.0,-106701,-22.4,0,0.0,0,0.0,-176,-19.0
"24039","1","48-49","74","0","2016","2","","Somerset County, Maryland","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,36,40,42,403856,0,0,790,"",6.51,1.25,1.31,1.42,1.25,0.00,0.00,0.94,"",0,0.0,-8,-18.2,0,0.0,1,2.4,-7963,-1.9,0,0.0,0,0.0,30,3.9
"24039","1","48-49","74","0","2016","3","","Somerset County, Maryland","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,40,40,40,482040,0,0,927,"",6.58,1.39,1.41,1.34,1.28,0.00,0.00,0.93,"",0,0.0,-2,-4.8,-1,-2.4,0,0.0,4958,1.0,0,0.0,0,0.0,32,3.6
"24039","1","48-49","74","0","2016","4","","Somerset County, Maryland","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,42,39,39,475295,0,0,914,"",6.60,1.42,1.33,1.29,1.18,0.00,0.00,0.88,"",0,0.0,2,5.0,1,2.6,1,2.6,-14140,-2.9,0,0.0,0,0.0,-60,-6.2
"24039","1","491","75","0","2016","1","","Somerset County, Maryland","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,39,37,38,369743,0,0,748,"",6.52,1.41,1.31,1.33,1.29,0.00,0.00,0.96,"",0,0.0,0,0.0,-3,-7.5,-2,-5.0,-106701,-22.4,0,0.0,0,0.0,-176,-19.0
"24039","1","491","75","0","2016","2","","Somerset County, Maryland","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,36,40,42,403856,0,0,790,"",6.56,1.28,1.33,1.45,1.31,0.00,0.00,0.96,"",0,0.0,-8,-18.2,0,0.0,1,2.4,-7963,-1.9,0,0.0,0,0.0,30,3.9
"24039","1","491","75","0","2016","3","","Somerset County, Maryland","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,40,40,40,482040,0,0,927,"",6.63,1.42,1.44,1.37,1.34,0.00,0.00,0.95,"",0,0.0,-2,-4.8,-1,-2.4,0,0.0,4958,1.0,0,0.0,0,0.0,32,3.6
"24039","1","491","75","0","2016","4","","Somerset County, Maryland","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,42,39,39,475295,0,0,914,"",6.65,1.45,1.36,1.32,1.22,0.00,0.00,0.89,"",0,0.0,2,5.0,1,2.6,1,2.6,-14140,-2.9,0,0.0,0,0.0,-60,-6.2
"24039","1","4911","76","0","2016","1","","Somerset County, Maryland","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,39,37,38,369743,0,0,748,"",6.52,1.41,1.31,1.33,1.29,0.00,0.00,0.96,"",0,0.0,0,0.0,-3,-7.5,-2,-5.0,-106701,-22.4,0,0.0,0,0.0,-176,-19.0
"24039","1","4911","76","0","2016","2","","Somerset County, Maryland","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,36,40,42,403856,0,0,790,"",6.56,1.28,1.33,1.45,1.31,0.00,0.00,0.96,"",0,0.0,-8,-18.2,0,0.0,1,2.4,-7963,-1.9,0,0.0,0,0.0,30,3.9
"24039","1","4911","76","0","2016","3","","Somerset County, Maryland","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,40,40,40,482040,0,0,927,"",6.63,1.42,1.44,1.37,1.34,0.00,0.00,0.95,"",0,0.0,-2,-4.8,-1,-2.4,0,0.0,4958,1.0,0,0.0,0,0.0,32,3.6
"24039","1","4911","76","0","2016","4","","Somerset County, Maryland","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,42,39,39,475295,0,0,914,"",6.65,1.45,1.36,1.32,1.22,0.00,0.00,0.89,"",0,0.0,2,5.0,1,2.6,1,2.6,-14140,-2.9,0,0.0,0,0.0,-60,-6.2
"24039","1","49111","77","0","2016","1","","Somerset County, Maryland","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,39,37,38,369743,0,0,748,"",6.52,1.41,1.31,1.33,1.29,0.00,0.00,0.96,"",0,0.0,0,0.0,-3,-7.5,-2,-5.0,-106701,-22.4,0,0.0,0,0.0,-176,-19.0
