"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25000","0","10","50","0","2016","1","","Massachusetts -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",242453,3396038,3398264,3425787,58735232600,25721295037,749175896,1326,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9000,3.9,67596,2.0,84490,2.5,80145,2.4,710246922,1.2,709410996,2.8,53544327,7.7,-15,-1.1
"25000","0","10","50","0","2016","2","","Massachusetts -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",246312,3473949,3508005,3547302,56255062873,10920347116,290434809,1233,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9585,4.0,74347,2.2,55828,1.6,51163,1.5,2025079805,3.7,426268836,4.1,8508300,3.0,24,2.0
"25000","0","10","50","0","2016","3","","Massachusetts -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",248030,3526599,3511561,3535010,58494516598,7612456729,187988454,1277,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8541,3.6,66630,1.9,72380,2.1,80462,2.3,4827815052,9.0,62930842,0.8,5463953,3.0,81,6.8
"25000","0","10","50","0","2016","4","","Massachusetts -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",249809,3535118,3539292,3537710,62160843275,6250865821,131112555,1352,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7768,3.2,54446,1.6,57103,1.6,53810,1.5,-539526445,-0.9,-160072955,-2.5,-5113769,-3.8,-33,-2.4
"25000","1","10","51","0","2016","1","","Massachusetts -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",965,45321,45313,45443,878455243,0,0,1490,"",0.63,0.67,0.67,0.67,0.53,0.00,0.00,0.78,"",7,0.7,209,0.5,181,0.4,265,0.6,-62119776,-6.6,0,0.0,0,0.0,-113,-7.0
"25000","1","10","51","0","2016","2","","Massachusetts -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",965,45296,45496,45865,818558758,0,0,1382,"",0.63,0.67,0.66,0.66,0.53,0.00,0.00,0.80,"",8,0.8,-333,-0.7,365,0.8,472,1.0,9991723,1.2,0,0.0,0,0.0,12,0.9
"25000","1","10","51","0","2016","3","","Massachusetts -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",969,45910,46051,46018,957372776,0,0,1601,"",0.63,0.65,0.66,0.66,0.53,0.00,0.00,0.80,"",10,1.0,264,0.6,501,1.1,679,1.5,23969342,2.6,0,0.0,0,0.0,23,1.5
"25000","1","10","51","0","2016","4","","Massachusetts -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",972,45745,45844,46596,921808981,0,0,1539,"",0.63,0.66,0.66,0.67,0.53,0.00,0.00,0.79,"",11,1.1,749,1.7,636,1.4,428,0.9,50892149,5.8,0,0.0,0,0.0,65,4.4
"25000","1","102","52","0","2016","1","","Massachusetts -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",965,45321,45313,45443,878455243,0,0,1490,"",0.63,0.68,0.69,0.68,0.53,0.00,0.00,0.78,"",7,0.7,209,0.5,181,0.4,265,0.6,-62119776,-6.6,0,0.0,0,0.0,-113,-7.0
"25000","1","102","52","0","2016","2","","Massachusetts -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",965,45296,45496,45865,818558758,0,0,1382,"",0.63,0.68,0.68,0.67,0.54,0.00,0.00,0.80,"",8,0.8,-333,-0.7,365,0.8,472,1.0,9991723,1.2,0,0.0,0,0.0,12,0.9
