"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25027","0","10","70","0","2016","1","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",23920,333254,332913,335639,4323999062,2328813810,64945148,996,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1023,4.5,5591,1.7,6527,2.0,6318,1.9,150770425,3.6,56367173,2.5,3464946,5.6,17,1.7
"25027","0","10","70","0","2016","2","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",24367,339934,343368,344869,4415587561,1161949959,28930691,991,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1102,4.7,6992,2.1,5585,1.7,4768,1.4,214826473,5.1,44284097,4.0,663999,2.3,32,3.3
"25027","0","10","70","0","2016","3","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",24635,337047,335917,344566,4482826795,784458968,16912379,1017,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1050,4.5,7261,2.2,6571,2.0,8711,2.6,308361335,7.4,9838399,1.3,454562,2.8,49,5.1
"25027","0","10","70","0","2016","4","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",24835,345160,347097,346275,4710061492,691494584,13072575,1047,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",932,3.9,5519,1.6,6366,1.9,4197,1.2,-101457335,-2.1,-1587556,-0.2,448353,3.6,-39,-3.6
"25027","1","10","71","0","2016","1","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",119,2952,2931,2939,48109464,0,0,1258,"",0.79,0.45,0.44,0.44,0.39,0.00,0.00,0.88,"",2,1.7,-50,-1.7,-13,-0.4,2,0.1,-4641011,-8.8,0,0.0,0,0.0,-112,-8.2
"25027","1","10","71","0","2016","2","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",119,2947,2945,2962,44135928,0,0,1150,"",0.78,0.44,0.44,0.44,0.36,0.00,0.00,0.83,"",1,0.8,-49,-1.6,4,0.1,28,1.0,-506309,-1.1,0,0.0,0,0.0,-11,-0.9
"25027","1","10","71","0","2016","3","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",119,2959,2995,2987,52327894,0,0,1351,"",0.78,0.44,0.45,0.44,0.38,0.00,0.00,0.85,"",1,0.8,24,0.8,41,1.4,40,1.4,1269729,2.5,0,0.0,0,0.0,18,1.4
"25027","1","10","71","0","2016","4","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",120,2987,2980,3043,51298173,0,0,1314,"",0.79,0.44,0.44,0.45,0.39,0.00,0.00,0.87,"",1,0.8,37,1.3,0,0.0,-36,-1.2,572548,1.1,0,0.0,0,0.0,15,1.2
"25027","1","102","72","0","2016","1","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",119,2952,2931,2939,48109464,0,0,1258,"",0.79,0.45,0.45,0.45,0.40,0.00,0.00,0.88,"",2,1.7,-50,-1.7,-13,-0.4,2,0.1,-4641011,-8.8,0,0.0,0,0.0,-112,-8.2
"25027","1","102","72","0","2016","2","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",119,2947,2945,2962,44135928,0,0,1150,"",0.78,0.45,0.45,0.44,0.37,0.00,0.00,0.83,"",1,0.8,-49,-1.6,4,0.1,28,1.0,-506309,-1.1,0,0.0,0,0.0,-11,-0.9
"25027","1","102","72","0","2016","3","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",119,2959,2995,2987,52327894,0,0,1351,"",0.78,0.45,0.46,0.45,0.38,0.00,0.00,0.85,"",1,0.8,24,0.8,41,1.4,40,1.4,1269729,2.5,0,0.0,0,0.0,18,1.4
"25027","1","102","72","0","2016","4","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",120,2987,2980,3043,51298173,0,0,1314,"",0.79,0.45,0.45,0.45,0.39,0.00,0.00,0.87,"",1,0.8,37,1.3,0,0.0,-36,-1.2,572548,1.1,0,0.0,0,0.0,15,1.2
"25027","1","1021","73","0","2016","1","","Worcester County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",77,1852,1822,1831,25031868,0,0,1049,"",1.02,1.16,1.13,1.13,1.17,0.00,0.00,1.03,"",0,0.0,-43,-2.3,-18,-1.0,3,0.2,-5340004,-17.6,0,0.0,0,0.0,-211,-16.7
"25027","1","1021","73","0","2016","2","","Worcester County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",77,1837,1840,1842,24305854,0,0,1016,"",1.01,1.14,1.13,1.12,1.10,0.00,0.00,0.98,"",0,0.0,-42,-2.2,21,1.2,27,1.5,-76679,-0.3,0,0.0,0,0.0,-5,-0.5
"25027","1","1021","73","0","2016","3","","Worcester County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",77,1835,1860,1861,29042099,0,0,1206,"",1.01,1.14,1.16,1.13,1.16,0.00,0.00,1.02,"",0,0.0,26,1.4,23,1.3,22,1.2,-19295,-0.1,0,0.0,0,0.0,-17,-1.4
"25027","1","1021","73","0","2016","4","","Worcester County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",77,1861,1863,1911,30768696,0,0,1260,"",1.01,1.14,1.13,1.12,1.14,0.00,0.00,1.01,"",0,0.0,40,2.2,5,0.3,-53,-2.7,606725,2.0,0,0.0,0,0.0,27,2.2
