"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26009","0","10","70","0","2016","1","","Antrim County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",522,4749,4715,4749,36366429,20031255,885898,590,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.4,16,0.3,-62,-1.3,100,2.2,1178673,3.3,60004,0.3,-136589,-13.4,16,2.8
"26009","0","10","70","0","2016","2","","Antrim County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",514,4838,5252,5578,38666572,9640401,533124,570,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.6,226,4.9,163,3.2,138,2.5,1050041,2.8,247554,2.6,-18756,-3.4,-3,-0.5
"26009","0","10","70","0","2016","3","","Antrim County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",517,6148,5811,5399,45561267,8467163,513681,606,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-1.9,133,2.2,209,3.7,99,1.9,4094647,9.9,250312,3.0,-11255,-2.1,40,7.1
"26009","0","10","70","0","2016","4","","Antrim County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",519,5235,5005,4972,41631657,3660178,176779,632,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.1,96,1.9,219,4.6,204,4.3,65636,0.2,157434,4.5,2229,1.3,-21,-3.2
"26009","1","10","71","0","2016","1","","Antrim County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,63,60,64,780412,0,0,963,"",4.56,0.67,0.64,0.68,0.75,0.00,0.00,1.14,"",0,0.0,3,5.0,2,3.4,5,8.5,-39147,-4.8,0,0.0,0,0.0,-106,-9.9
"26009","1","10","71","0","2016","2","","Antrim County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,68,64,68,772322,0,0,891,"",4.68,0.72,0.62,0.62,0.73,0.00,0.00,1.12,"",0,0.0,4,6.2,5,8.5,6,9.7,15772,2.1,0,0.0,0,0.0,-53,-5.6
"26009","1","10","71","0","2016","3","","Antrim County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,64,62,61,851158,0,0,1050,"",4.69,0.52,0.54,0.57,0.60,0.00,0.00,1.11,"",0,0.0,1,1.6,2,3.3,-1,-1.6,-20303,-2.3,0,0.0,0,0.0,-37,-3.4
"26009","1","10","71","0","2016","4","","Antrim County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,59,57,63,786942,0,0,1015,"",4.71,0.58,0.58,0.64,0.67,0.00,0.00,1.11,"",0,0.0,-4,-6.3,-4,-6.6,-6,-8.7,-24741,-3.0,0,0.0,0,0.0,44,4.5
"26009","1","102","72","0","2016","1","","Antrim County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,63,60,64,780412,0,0,963,"",4.57,0.68,0.65,0.69,0.77,0.00,0.00,1.14,"",0,0.0,3,5.0,2,3.4,5,8.5,-39147,-4.8,0,0.0,0,0.0,-106,-9.9
"26009","1","102","72","0","2016","2","","Antrim County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,68,64,68,772322,0,0,891,"",4.69,0.73,0.63,0.63,0.74,0.00,0.00,1.12,"",0,0.0,4,6.2,5,8.5,6,9.7,15772,2.1,0,0.0,0,0.0,-53,-5.6
"26009","1","102","72","0","2016","3","","Antrim County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,64,62,61,851158,0,0,1050,"",4.70,0.53,0.55,0.59,0.61,0.00,0.00,1.11,"",0,0.0,1,1.6,2,3.3,-1,-1.6,-20303,-2.3,0,0.0,0,0.0,-37,-3.4
"26009","1","102","72","0","2016","4","","Antrim County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,59,57,63,786942,0,0,1015,"",4.72,0.59,0.60,0.65,0.68,0.00,0.00,1.11,"",0,0.0,-4,-6.3,-4,-6.6,-6,-8.7,-24741,-3.0,0,0.0,0,0.0,44,4.5
"26009","1","1021","73","0","2016","1","","Antrim County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,37,38,39,381672,0,0,773,"",6.10,1.62,1.67,1.70,2.12,0.00,0.00,1.28,"",0,0.0,-1,-2.6,2,5.6,4,11.4,-44377,-10.4,0,0.0,0,0.0,-129,-14.3
"26009","1","1021","73","0","2016","2","","Antrim County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,39,39,39,388903,0,0,767,"",6.24,1.70,1.56,1.47,2.02,0.00,0.00,1.28,"",0,0.0,2,5.4,3,8.3,3,8.3,21591,5.9,0,0.0,0,0.0,-11,-1.4
"26009","1","1021","73","0","2016","3","","Antrim County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,39,37,36,455810,0,0,939,"",6.27,1.32,1.33,1.40,1.79,0.00,0.00,1.33,"",0,0.0,2,5.4,4,12.1,0,0.0,17423,4.0,0,0.0,0,0.0,-15,-1.6
"26009","1","1021","73","0","2016","4","","Antrim County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,37,35,35,448911,0,0,968,"",6.29,1.49,1.47,1.43,1.89,0.00,0.00,1.29,"",0,0.0,2,5.7,-3,-7.9,-5,-12.5,-2561,-0.6,0,0.0,0,0.0,46,5.0
"26009","1","1028","73","0","2016","1","","Antrim County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,26,22,25,398740,0,0,1261,"",3.73,0.50,0.43,0.49,0.61,0.00,0.00,1.29,"",0,0.0,4,18.2,0,0.0,1,4.2,5230,1.3,0,0.0,0,0.0,-74,-5.5
"26009","1","1028","73","0","2016","2","","Antrim County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,29,25,29,383419,0,0,1066,"",3.83,0.56,0.45,0.49,0.59,0.00,0.00,1.19,"",0,0.0,2,7.4,2,8.7,3,11.5,-5819,-1.5,0,0.0,0,0.0,-116,-9.8
"26009","1","1028","73","0","2016","3","","Antrim County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,25,25,25,395348,0,0,1216,"",3.84,0.38,0.40,0.43,0.46,0.00,0.00,1.13,"",0,0.0,-1,-3.8,-2,-7.4,-1,-3.8,-37726,-8.7,0,0.0,0,0.0,-49,-3.9
"26009","1","1028","73","0","2016","4","","Antrim County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,22,22,28,338031,0,0,1083,"",3.85,0.40,0.42,0.53,0.49,0.00,0.00,1.09,"",0,0.0,-6,-21.4,-1,-4.3,-1,-3.4,-22180,-6.2,0,0.0,0,0.0,44,4.2
"26009","1","48-49","74","0","2016","1","","Antrim County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,37,38,39,381672,0,0,773,"",6.27,1.78,1.83,1.86,2.29,0.00,0.00,1.26,"",0,0.0,-1,-2.6,2,5.6,4,11.4,-44377,-10.4,0,0.0,0,0.0,-129,-14.3
"26009","1","48-49","74","0","2016","2","","Antrim County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,39,39,39,388903,0,0,767,"",6.42,1.86,1.71,1.61,2.18,0.00,0.00,1.27,"",0,0.0,2,5.4,3,8.3,3,8.3,21591,5.9,0,0.0,0,0.0,-11,-1.4
"26009","1","48-49","74","0","2016","3","","Antrim County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,39,37,36,455810,0,0,939,"",6.45,1.45,1.45,1.53,1.92,0.00,0.00,1.30,"",0,0.0,2,5.4,4,12.1,0,0.0,17423,4.0,0,0.0,0,0.0,-15,-1.6
"26009","1","48-49","74","0","2016","4","","Antrim County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,37,35,35,448911,0,0,968,"",6.47,1.63,1.61,1.56,2.03,0.00,0.00,1.27,"",0,0.0,2,5.7,-3,-7.9,-5,-12.5,-2561,-0.6,0,0.0,0,0.0,46,5.0
"26009","1","491","75","0","2016","1","","Antrim County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,37,38,39,381672,0,0,773,"",6.32,1.82,1.87,1.90,2.40,0.00,0.00,1.29,"",0,0.0,-1,-2.6,2,5.6,4,11.4,-44377,-10.4,0,0.0,0,0.0,-129,-14.3
"26009","1","491","75","0","2016","2","","Antrim County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,39,39,39,388903,0,0,767,"",6.47,1.90,1.74,1.64,2.27,0.00,0.00,1.29,"",0,0.0,2,5.4,3,8.3,3,8.3,21591,5.9,0,0.0,0,0.0,-11,-1.4
"26009","1","491","75","0","2016","3","","Antrim County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,39,37,36,455810,0,0,939,"",6.50,1.48,1.48,1.56,2.00,0.00,0.00,1.33,"",0,0.0,2,5.4,4,12.1,0,0.0,17423,4.0,0,0.0,0,0.0,-15,-1.6
"26009","1","491","75","0","2016","4","","Antrim County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,37,35,35,448911,0,0,968,"",6.52,1.66,1.65,1.59,2.11,0.00,0.00,1.29,"",0,0.0,2,5.7,-3,-7.9,-5,-12.5,-2561,-0.6,0,0.0,0,0.0,46,5.0
"26009","1","4911","76","0","2016","1","","Antrim County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,37,38,39,381672,0,0,773,"",6.32,1.82,1.87,1.90,2.40,0.00,0.00,1.29,"",0,0.0,-1,-2.6,2,5.6,4,11.4,-44377,-10.4,0,0.0,0,0.0,-129,-14.3
"26009","1","4911","76","0","2016","2","","Antrim County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,39,39,39,388903,0,0,767,"",6.47,1.90,1.74,1.64,2.27,0.00,0.00,1.29,"",0,0.0,2,5.4,3,8.3,3,8.3,21591,5.9,0,0.0,0,0.0,-11,-1.4
"26009","1","4911","76","0","2016","3","","Antrim County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,39,37,36,455810,0,0,939,"",6.50,1.48,1.48,1.56,2.00,0.00,0.00,1.33,"",0,0.0,2,5.4,4,12.1,0,0.0,17423,4.0,0,0.0,0,0.0,-15,-1.6
"26009","1","4911","76","0","2016","4","","Antrim County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,37,35,35,448911,0,0,968,"",6.52,1.66,1.65,1.59,2.11,0.00,0.00,1.29,"",0,0.0,2,5.7,-3,-7.9,-5,-12.5,-2561,-0.6,0,0.0,0,0.0,46,5.0
"26009","1","49111","77","0","2016","1","","Antrim County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,37,38,39,381672,0,0,773,"",6.32,1.82,1.87,1.90,2.40,0.00,0.00,1.29,"",0,0.0,-1,-2.6,2,5.6,4,11.4,-44377,-10.4,0,0.0,0,0.0,-129,-14.3
"26009","1","49111","77","0","2016","2","","Antrim County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,39,39,39,388903,0,0,767,"",6.47,1.90,1.74,1.64,2.27,0.00,0.00,1.29,"",0,0.0,2,5.4,3,8.3,3,8.3,21591,5.9,0,0.0,0,0.0,-11,-1.4
"26009","1","49111","77","0","2016","3","","Antrim County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,39,37,36,455810,0,0,939,"",6.50,1.48,1.48,1.56,2.00,0.00,0.00,1.33,"",0,0.0,2,5.4,4,12.1,0,0.0,17423,4.0,0,0.0,0,0.0,-15,-1.6
"26009","1","49111","77","0","2016","4","","Antrim County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,37,35,35,448911,0,0,968,"",6.52,1.66,1.65,1.59,2.11,0.00,0.00,1.29,"",0,0.0,2,5.7,-3,-7.9,-5,-12.5,-2561,-0.6,0,0.0,0,0.0,46,5.0
"26009","1","491110","78","0","2016","1","","Antrim County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,37,38,39,381672,0,0,773,"",6.32,1.82,1.87,1.90,2.40,0.00,0.00,1.29,"",0,0.0,-1,-2.6,2,5.6,4,11.4,-44377,-10.4,0,0.0,0,0.0,-129,-14.3
"26009","1","491110","78","0","2016","2","","Antrim County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,39,39,39,388903,0,0,767,"",6.47,1.90,1.74,1.64,2.27,0.00,0.00,1.29,"",0,0.0,2,5.4,3,8.3,3,8.3,21591,5.9,0,0.0,0,0.0,-11,-1.4
"26009","1","491110","78","0","2016","3","","Antrim County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,39,37,36,455810,0,0,939,"",6.50,1.48,1.48,1.56,2.00,0.00,0.00,1.33,"",0,0.0,2,5.4,4,12.1,0,0.0,17423,4.0,0,0.0,0,0.0,-15,-1.6
"26009","1","491110","78","0","2016","4","","Antrim County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,37,35,35,448911,0,0,968,"",6.52,1.66,1.65,1.59,2.11,0.00,0.00,1.29,"",0,0.0,2,5.7,-3,-7.9,-5,-12.5,-2561,-0.6,0,0.0,0,0.0,46,5.0
"26009","1","92","74","0","2016","1","","Antrim County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,26,22,25,398740,0,0,1261,"",3.73,0.50,0.43,0.49,0.61,0.00,0.00,1.29,"",0,0.0,4,18.2,0,0.0,1,4.2,5230,1.3,0,0.0,0,0.0,-74,-5.5
"26009","1","92","74","0","2016","2","","Antrim County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,29,25,29,383419,0,0,1066,"",3.83,0.56,0.45,0.49,0.59,0.00,0.00,1.19,"",0,0.0,2,7.4,2,8.7,3,11.5,-5819,-1.5,0,0.0,0,0.0,-116,-9.8
"26009","1","92","74","0","2016","3","","Antrim County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,25,25,25,395348,0,0,1216,"",3.84,0.38,0.40,0.43,0.46,0.00,0.00,1.13,"",0,0.0,-1,-3.8,-2,-7.4,-1,-3.8,-37726,-8.7,0,0.0,0,0.0,-49,-3.9
"26009","1","92","74","0","2016","4","","Antrim County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,22,22,28,338031,0,0,1083,"",3.85,0.40,0.42,0.53,0.49,0.00,0.00,1.09,"",0,0.0,-6,-21.4,-1,-4.3,-1,-3.4,-22180,-6.2,0,0.0,0,0.0,44,4.2
"26009","1","921","75","0","2016","1","","Antrim County, Michigan","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,24143,0,0,1857,"",8.93,0.19,0.19,0.19,0.38,0.00,0.00,1.99,"",0,0.0,0,0.0,0,0.0,0,0.0,177,0.7,0,0.0,0,0.0,13,0.7
"26009","1","921","75","0","2016","2","","Antrim County, Michigan","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,27305,0,0,2100,"",8.93,0.19,0.17,0.17,0.44,0.00,0.00,2.48,"",0,0.0,0,0.0,0,0.0,0,0.0,6298,30.0,0,0.0,0,0.0,484,30.0
