"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26011","0","10","70","0","2016","1","","Arenac County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",316,4100,4108,4194,30411307,17999027,731164,566,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.9,44,1.1,60,1.5,120,2.9,1026654,3.5,493143,2.8,-68053,-8.5,9,1.6
"26011","0","10","70","0","2016","2","","Arenac County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",312,4396,4630,4759,34977555,9300123,406736,586,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-2.8,113,2.6,22,0.5,52,1.1,1790855,5.4,39571,0.4,-20969,-4.9,23,4.1
"26011","0","10","70","0","2016","3","","Arenac County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",310,4727,4731,4760,39430811,6430086,322442,640,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-3.4,129,2.8,123,2.7,73,1.6,4832791,14.0,447247,7.5,14623,4.8,65,11.3
"26011","0","10","70","0","2016","4","","Arenac County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",310,4493,4429,4340,41939698,3345799,130080,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.0,-12,-0.3,-69,-1.5,-158,-3.5,3014555,7.7,-571454,-14.6,-36660,-22.0,65,9.8
"26011","1","10","71","0","2016","1","","Arenac County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,45,40,44,413617,0,0,740,"",3.52,0.55,0.49,0.53,0.48,0.00,0.00,0.91,"",0,0.0,2,4.7,1,2.6,6,15.8,-61978,-13.0,0,0.0,0,0.0,-175,-19.1
"26011","1","10","71","0","2016","2","","Arenac County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,40,40,46,414145,0,0,759,"",3.60,0.46,0.44,0.49,0.43,0.00,0.00,0.92,"",0,0.0,-3,-7.0,1,2.6,6,15.0,3017,0.7,0,0.0,0,0.0,-19,-2.4
"26011","1","10","71","0","2016","3","","Arenac County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,41,43,44,539246,0,0,972,"",3.65,0.44,0.46,0.47,0.44,0.00,0.00,0.97,"",0,0.0,-6,-12.8,3,7.5,4,10.0,50793,10.4,0,0.0,0,0.0,84,9.5
"26011","1","10","71","0","2016","4","","Arenac County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,45,48,48,512085,0,0,838,"",3.68,0.51,0.56,0.56,0.43,0.00,0.00,0.80,"",0,0.0,4,9.8,6,14.3,3,6.7,45208,9.7,0,0.0,0,0.0,-4,-0.5
"26011","1","102","72","0","2016","1","","Arenac County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,45,40,44,413617,0,0,740,"",3.53,0.56,0.50,0.54,0.49,0.00,0.00,0.91,"",0,0.0,2,4.7,1,2.6,6,15.8,-61978,-13.0,0,0.0,0,0.0,-175,-19.1
"26011","1","102","72","0","2016","2","","Arenac County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,40,40,46,414145,0,0,759,"",3.60,0.47,0.45,0.50,0.44,0.00,0.00,0.92,"",0,0.0,-3,-7.0,1,2.6,6,15.0,3017,0.7,0,0.0,0,0.0,-19,-2.4
"26011","1","102","72","0","2016","3","","Arenac County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,41,43,44,539246,0,0,972,"",3.66,0.44,0.47,0.48,0.45,0.00,0.00,0.97,"",0,0.0,-6,-12.8,3,7.5,4,10.0,50793,10.4,0,0.0,0,0.0,84,9.5
"26011","1","102","72","0","2016","4","","Arenac County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,45,48,48,512085,0,0,838,"",3.68,0.52,0.57,0.57,0.44,0.00,0.00,0.80,"",0,0.0,4,9.8,6,14.3,3,6.7,45208,9.7,0,0.0,0,0.0,-4,-0.5
"26011","1","1021","73","0","2016","1","","Arenac County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,34,33,34,309472,0,0,707,"",5.04,1.73,1.66,1.68,2.06,0.00,0.00,1.22,"",0,0.0,1,3.0,0,0.0,2,6.2,-67100,-17.8,0,0.0,0,0.0,-180,-20.3
"26011","1","1021","73","0","2016","2","","Arenac County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,33,33,34,324505,0,0,749,"",5.14,1.58,1.50,1.50,1.86,0.00,0.00,1.22,"",0,0.0,-1,-2.9,-1,-2.9,0,0.0,-12668,-3.8,0,0.0,0,0.0,-14,-1.8
"26011","1","1021","73","0","2016","3","","Arenac County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,34,35,393735,0,0,900,"",5.23,1.41,1.50,1.54,1.79,0.00,0.00,1.20,"",0,0.0,-3,-8.6,0,0.0,1,2.9,4691,1.2,0,0.0,0,0.0,28,3.2
"26011","1","1021","73","0","2016","4","","Arenac County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,35,35,387869,0,0,878,"",5.26,1.50,1.66,1.63,1.62,0.00,0.00,1.01,"",0,0.0,-3,-8.6,0,0.0,0,0.0,6066,1.6,0,0.0,0,0.0,39,4.6
"26011","1","1028","73","0","2016","1","","Arenac County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,11,7,10,104145,0,0,858,"",2.47,0.25,0.16,0.22,0.19,0.00,0.00,0.92,"",0,0.0,1,10.0,1,16.7,4,66.7,5122,5.2,0,0.0,0,0.0,-181,-17.4
"26011","1","1028","73","0","2016","2","","Arenac County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,12,89640,0,0,796,"",2.53,0.15,0.14,0.24,0.15,0.00,0.00,0.86,"",0,0.0,-2,-22.2,2,40.0,6,100.0,15685,21.2,0,0.0,0,0.0,-57,-6.7
"26011","1","1028","73","0","2016","3","","Arenac County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,9,9,145511,0,0,1244,"",2.56,0.18,0.18,0.18,0.19,0.00,0.00,1.10,"",0,0.0,-3,-25.0,3,50.0,3,50.0,46102,46.4,0,0.0,0,0.0,288,30.1
"26011","1","1028","73","0","2016","4","","Arenac County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,13,13,13,124216,0,0,735,"",2.58,0.27,0.28,0.28,0.18,0.00,0.00,0.64,"",0,0.0,7,116.7,6,85.7,3,30.0,39142,46.0,0,0.0,0,0.0,-119,-13.9
"26011","1","48-49","74","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,34,33,34,309472,0,0,707,"",5.18,1.89,1.82,1.84,2.22,0.00,0.00,1.20,"",0,0.0,1,3.0,0,0.0,2,6.2,-67100,-17.8,0,0.0,0,0.0,-180,-20.3
"26011","1","48-49","74","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,33,33,34,324505,0,0,749,"",5.29,1.73,1.64,1.64,2.01,0.00,0.00,1.20,"",0,0.0,-1,-2.9,-1,-2.9,0,0.0,-12668,-3.8,0,0.0,0,0.0,-14,-1.8
"26011","1","48-49","74","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,32,34,35,393735,0,0,900,"",5.38,1.55,1.64,1.68,1.91,0.00,0.00,1.18,"",0,0.0,-3,-8.6,0,0.0,1,2.9,4691,1.2,0,0.0,0,0.0,28,3.2
"26011","1","48-49","74","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,32,35,35,387869,0,0,878,"",5.42,1.64,1.82,1.78,1.75,0.00,0.00,1.00,"",0,0.0,-3,-8.6,0,0.0,0,0.0,6066,1.6,0,0.0,0,0.0,39,4.6
"26011","1","491","75","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,34,33,34,309472,0,0,707,"",5.22,1.93,1.86,1.88,2.33,0.00,0.00,1.23,"",0,0.0,1,3.0,0,0.0,2,6.2,-67100,-17.8,0,0.0,0,0.0,-180,-20.3
"26011","1","491","75","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,33,33,34,324505,0,0,749,"",5.33,1.77,1.67,1.68,2.10,0.00,0.00,1.23,"",0,0.0,-1,-2.9,-1,-2.9,0,0.0,-12668,-3.8,0,0.0,0,0.0,-14,-1.8
"26011","1","491","75","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,32,34,35,393735,0,0,900,"",5.42,1.58,1.67,1.72,2.00,0.00,0.00,1.21,"",0,0.0,-3,-8.6,0,0.0,1,2.9,4691,1.2,0,0.0,0,0.0,28,3.2
"26011","1","491","75","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,32,35,35,387869,0,0,878,"",5.45,1.68,1.86,1.82,1.81,0.00,0.00,1.01,"",0,0.0,-3,-8.6,0,0.0,0,0.0,6066,1.6,0,0.0,0,0.0,39,4.6
"26011","1","4911","76","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,34,33,34,309472,0,0,707,"",5.22,1.93,1.86,1.88,2.33,0.00,0.00,1.23,"",0,0.0,1,3.0,0,0.0,2,6.2,-67100,-17.8,0,0.0,0,0.0,-180,-20.3
"26011","1","4911","76","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,33,33,34,324505,0,0,749,"",5.33,1.77,1.67,1.68,2.10,0.00,0.00,1.23,"",0,0.0,-1,-2.9,-1,-2.9,0,0.0,-12668,-3.8,0,0.0,0,0.0,-14,-1.8
"26011","1","4911","76","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,32,34,35,393735,0,0,900,"",5.42,1.58,1.67,1.72,2.00,0.00,0.00,1.21,"",0,0.0,-3,-8.6,0,0.0,1,2.9,4691,1.2,0,0.0,0,0.0,28,3.2
"26011","1","4911","76","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,32,35,35,387869,0,0,878,"",5.45,1.68,1.86,1.82,1.81,0.00,0.00,1.01,"",0,0.0,-3,-8.6,0,0.0,0,0.0,6066,1.6,0,0.0,0,0.0,39,4.6
"26011","1","49111","77","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,34,33,34,309472,0,0,707,"",5.22,1.93,1.86,1.88,2.33,0.00,0.00,1.23,"",0,0.0,1,3.0,0,0.0,2,6.2,-67100,-17.8,0,0.0,0,0.0,-180,-20.3
"26011","1","49111","77","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,33,33,34,324505,0,0,749,"",5.33,1.77,1.67,1.68,2.10,0.00,0.00,1.23,"",0,0.0,-1,-2.9,-1,-2.9,0,0.0,-12668,-3.8,0,0.0,0,0.0,-14,-1.8
"26011","1","49111","77","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,32,34,35,393735,0,0,900,"",5.42,1.58,1.67,1.72,2.00,0.00,0.00,1.21,"",0,0.0,-3,-8.6,0,0.0,1,2.9,4691,1.2,0,0.0,0,0.0,28,3.2
"26011","1","49111","77","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,32,35,35,387869,0,0,878,"",5.45,1.68,1.86,1.82,1.81,0.00,0.00,1.01,"",0,0.0,-3,-8.6,0,0.0,0,0.0,6066,1.6,0,0.0,0,0.0,39,4.6
"26011","1","491110","78","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,34,33,34,309472,0,0,707,"",5.22,1.93,1.86,1.88,2.33,0.00,0.00,1.23,"",0,0.0,1,3.0,0,0.0,2,6.2,-67100,-17.8,0,0.0,0,0.0,-180,-20.3
"26011","1","491110","78","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,33,33,34,324505,0,0,749,"",5.33,1.77,1.67,1.68,2.10,0.00,0.00,1.23,"",0,0.0,-1,-2.9,-1,-2.9,0,0.0,-12668,-3.8,0,0.0,0,0.0,-14,-1.8
"26011","1","491110","78","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,32,34,35,393735,0,0,900,"",5.42,1.58,1.67,1.72,2.00,0.00,0.00,1.21,"",0,0.0,-3,-8.6,0,0.0,1,2.9,4691,1.2,0,0.0,0,0.0,28,3.2
"26011","1","491110","78","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,32,35,35,387869,0,0,878,"",5.45,1.68,1.86,1.82,1.81,0.00,0.00,1.01,"",0,0.0,-3,-8.6,0,0.0,0,0.0,6066,1.6,0,0.0,0,0.0,39,4.6
"26011","1","92","74","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,11,7,10,104145,0,0,858,"",2.47,0.25,0.16,0.22,0.19,0.00,0.00,0.92,"",0,0.0,1,10.0,1,16.7,4,66.7,5122,5.2,0,0.0,0,0.0,-181,-17.4
"26011","1","92","74","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,7,12,89640,0,0,796,"",2.53,0.15,0.14,0.24,0.15,0.00,0.00,0.86,"",0,0.0,-2,-22.2,2,40.0,6,100.0,15685,21.2,0,0.0,0,0.0,-57,-6.7
"26011","1","92","74","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,9,9,9,145511,0,0,1244,"",2.56,0.18,0.18,0.18,0.19,0.00,0.00,1.10,"",0,0.0,-3,-25.0,3,50.0,3,50.0,46102,46.4,0,0.0,0,0.0,288,30.1
"26011","1","92","74","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,13,13,13,124216,0,0,735,"",2.58,0.27,0.28,0.28,0.18,0.00,0.00,0.64,"",0,0.0,7,116.7,6,85.7,3,30.0,39142,46.0,0,0.0,0,0.0,-119,-13.9
"26011","1","924","75","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,34655,0,0,1333,"",5.45,0.73,0.74,0.72,1.09,0.00,0.00,1.48,"",0,0.0,0,0.0,0,0.0,0,0.0,-265,-0.8,0,0.0,0,0.0,-10,-0.7
"26011","1","924","75","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,29803,0,0,1146,"",5.57,0.68,0.62,0.56,0.87,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,345,1.2,0,0.0,0,0.0,13,1.1
"26011","1","924","75","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,34770,0,0,1337,"",5.66,0.55,0.56,0.57,0.71,0.00,0.00,1.26,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-6790,-16.3,0,0.0,0,0.0,-33,-2.4
"26011","1","924","75","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,30415,0,0,1170,"",5.72,0.63,0.67,0.69,0.78,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,0,0.0,957,3.2,0,0.0,0,0.0,37,3.3
"26011","1","9241","76","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,34655,0,0,1333,"",5.45,0.73,0.74,0.72,1.09,0.00,0.00,1.48,"",0,0.0,0,0.0,0,0.0,0,0.0,-265,-0.8,0,0.0,0,0.0,-10,-0.7
"26011","1","9241","76","0","2016","2","","Arenac County, Michigan","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,29803,0,0,1146,"",5.57,0.68,0.62,0.56,0.87,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,345,1.2,0,0.0,0,0.0,13,1.1
"26011","1","9241","76","0","2016","3","","Arenac County, Michigan","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,34770,0,0,1337,"",5.66,0.55,0.56,0.57,0.71,0.00,0.00,1.26,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-6790,-16.3,0,0.0,0,0.0,-33,-2.4
"26011","1","9241","76","0","2016","4","","Arenac County, Michigan","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,30415,0,0,1170,"",5.72,0.63,0.67,0.69,0.78,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,0,0.0,957,3.2,0,0.0,0,0.0,37,3.3
"26011","1","92412","77","0","2016","1","","Arenac County, Michigan","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,34655,0,0,1333,"",5.73,0.90,0.92,0.89,1.45,0.00,0.00,1.61,"",0,0.0,0,0.0,0,0.0,0,0.0,-265,-0.8,0,0.0,0,0.0,-10,-0.7
