"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26017","0","10","70","0","2016","1","","Bay County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2136,34206,34164,34228,345833075,154865599,5171706,778,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-28,-1.3,-341,-1.0,-265,-0.8,-331,-1.0,-18887148,-5.2,-3024817,-1.9,-513883,-9.0,-35,-4.3
"26017","0","10","70","0","2016","2","","Bay County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2117,34938,35200,35411,348900891,53787366,1827994,763,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-1.0,317,0.9,183,0.5,291,0.8,8797448,2.6,-2974773,-5.2,-301694,-14.2,14,1.9
"26017","0","10","70","0","2016","3","","Bay County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2114,34799,34872,35374,371172250,32129994,1026843,815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-42,-1.9,152,0.4,138,0.4,78,0.2,20134388,5.7,243002,0.8,-119684,-10.4,41,5.3
"26017","0","10","70","0","2016","4","","Bay County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2104,35229,35355,34707,388154138,23449059,785816,851,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-29,-1.4,185,0.5,207,0.6,63,0.2,-4478813,-1.1,-156306,-0.7,-57225,-6.8,-13,-1.5
"26017","1","10","71","0","2016","1","","Bay County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,247,244,245,3617523,0,0,1134,"",1.49,0.36,0.36,0.36,0.37,0.00,0.00,1.01,"",0,0.0,-2,-0.8,2,0.8,3,1.2,-489409,-11.9,0,0.0,0,0.0,-159,-12.3
"26017","1","10","71","0","2016","2","","Bay County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,247,243,243,3423380,0,0,1078,"",1.44,0.36,0.35,0.35,0.36,0.00,0.00,1.01,"",-1,-5.0,7,2.9,4,1.7,4,1.7,-16960,-0.5,0,0.0,0,0.0,-28,-2.5
"26017","1","10","71","0","2016","3","","Bay County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,240,242,246,4061850,0,0,1288,"",1.45,0.35,0.35,0.35,0.35,0.00,0.00,1.01,"",-1,-5.0,2,0.8,8,3.4,5,2.1,4353,0.1,0,0.0,0,0.0,-25,-1.9
"26017","1","10","71","0","2016","4","","Bay County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,241,250,251,3827840,0,0,1190,"",1.47,0.35,0.36,0.37,0.35,0.00,0.00,0.97,"",-1,-5.0,5,2.1,9,3.7,6,2.4,-115804,-2.9,0,0.0,0,0.0,-70,-5.6
"26017","1","102","72","0","2016","1","","Bay County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,247,244,245,3617523,0,0,1134,"",1.49,0.37,0.37,0.37,0.37,0.00,0.00,1.01,"",0,0.0,-2,-0.8,2,0.8,3,1.2,-489409,-11.9,0,0.0,0,0.0,-159,-12.3
"26017","1","102","72","0","2016","2","","Bay County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,247,243,243,3423380,0,0,1078,"",1.44,0.37,0.36,0.36,0.36,0.00,0.00,1.01,"",-1,-5.0,7,2.9,4,1.7,4,1.7,-16960,-0.5,0,0.0,0,0.0,-28,-2.5
