"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26019","0","10","70","0","2016","1","","Benzie County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",437,3760,3748,3700,28539524,16985722,680970,588,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,4,0.1,-6,-0.2,14,0.4,10948,0.0,331348,2.0,-103971,-13.2,0,0.0
"26019","0","10","70","0","2016","2","","Benzie County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",435,3612,4033,4563,30992660,8784733,415493,586,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,57,1.6,94,2.4,183,4.2,1083634,3.6,106781,1.2,-66793,-13.8,5,0.9
"26019","0","10","70","0","2016","3","","Benzie County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",438,5005,4857,4310,37189513,7883441,411119,606,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,173,3.6,208,4.5,90,2.1,3174784,9.3,113002,1.5,-54786,-11.8,33,5.8
"26019","0","10","70","0","2016","4","","Benzie County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",437,4210,3895,3976,34723871,3390476,144814,663,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,149,3.7,232,6.3,158,4.1,1539480,4.6,183579,5.7,-13958,-8.8,0,0.0
"26019","1","10","71","0","2016","1","","Benzie County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,31,32,35,329366,0,0,776,"",2.54,0.42,0.43,0.48,0.41,0.00,0.00,0.92,"",0,0.0,-6,-16.2,-2,-5.9,1,2.9,-79687,-19.5,0,0.0,0,0.0,-123,-13.7
"26019","1","10","71","0","2016","2","","Benzie County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,34,36,36,341672,0,0,744,"",2.58,0.48,0.46,0.40,0.40,0.00,0.00,0.91,"",0,0.0,-3,-8.1,1,2.9,2,5.9,-1066,-0.3,0,0.0,0,0.0,-2,-0.3
"26019","1","10","71","0","2016","3","","Benzie County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,34,35,34,408977,0,0,916,"",2.58,0.34,0.36,0.40,0.35,0.00,0.00,0.96,"",0,0.0,-1,-2.9,2,6.1,0,0.0,71,0.0,0,0.0,0,0.0,-9,-1.0
"26019","1","10","71","0","2016","4","","Benzie County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,32,35,36,438669,0,0,983,"",2.61,0.39,0.46,0.46,0.45,0.00,0.00,1.03,"",0,0.0,-3,-8.6,2,6.1,1,2.9,59536,15.7,0,0.0,0,0.0,134,15.8
"26019","1","102","72","0","2016","1","","Benzie County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,31,32,35,329366,0,0,776,"",2.55,0.42,0.44,0.49,0.41,0.00,0.00,0.92,"",0,0.0,-6,-16.2,-2,-5.9,1,2.9,-79687,-19.5,0,0.0,0,0.0,-123,-13.7
"26019","1","102","72","0","2016","2","","Benzie County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,34,36,36,341672,0,0,744,"",2.59,0.49,0.46,0.41,0.41,0.00,0.00,0.91,"",0,0.0,-3,-8.1,1,2.9,2,5.9,-1066,-0.3,0,0.0,0,0.0,-2,-0.3
