"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26037","0","10","70","0","2016","1","","Clinton County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1189,15725,15742,15988,157330123,83001051,2774482,765,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,2.8,503,3.3,412,2.7,601,3.9,1176322,0.8,540645,0.7,-431532,-13.5,-19,-2.4
"26037","0","10","70","0","2016","2","","Clinton County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1184,16497,16876,17019,172058327,27889108,1052136,788,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,1.5,596,3.7,492,3.0,426,2.6,18950388,12.4,-1172978,-4.0,-138487,-11.6,65,9.0
"26037","0","10","70","0","2016","3","","Clinton County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1190,16796,16604,16823,169183847,17727891,684240,777,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,656,4.1,456,2.8,482,2.9,10886349,6.9,1108175,6.7,-13391,-1.9,26,3.5
"26037","0","10","70","0","2016","4","","Clinton County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1180,16823,16726,16538,184804021,13149349,418609,851,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,311,1.9,427,2.6,311,1.9,4572052,2.5,191297,1.5,-45090,-9.7,3,0.4
"26037","1","10","71","0","2016","1","","Clinton County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,220,217,227,3640439,0,0,1265,"",3.61,0.70,0.70,0.72,0.81,0.00,0.00,1.15,"",-1,-3.6,8,3.8,4,1.9,15,7.1,-89868,-2.4,0,0.0,0,0.0,-86,-6.4
"26037","1","10","71","0","2016","2","","Clinton County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,228,225,226,3383815,0,0,1150,"",3.66,0.71,0.68,0.68,0.72,0.00,0.00,1.04,"",-1,-3.6,12,5.6,9,4.2,11,5.1,157326,4.9,0,0.0,0,0.0,-1,-0.1
"26037","1","10","71","0","2016","3","","Clinton County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,229,234,243,4060893,0,0,1327,"",3.67,0.69,0.71,0.73,0.77,0.00,0.00,1.09,"",0,0.0,11,5.0,11,4.9,23,10.5,267741,7.1,0,0.0,0,0.0,3,0.2
"26037","1","10","71","0","2016","4","","Clinton County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,234,235,239,3966965,0,0,1293,"",3.73,0.71,0.72,0.73,0.76,0.00,0.00,1.05,"",0,0.0,13,5.9,14,6.3,12,5.3,256648,6.9,0,0.0,0,0.0,13,1.0
"26037","1","102","72","0","2016","1","","Clinton County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,220,217,227,3640439,0,0,1265,"",3.61,0.72,0.71,0.73,0.83,0.00,0.00,1.15,"",-1,-3.6,8,3.8,4,1.9,15,7.1,-89868,-2.4,0,0.0,0,0.0,-86,-6.4
"26037","1","102","72","0","2016","2","","Clinton County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,228,225,226,3383815,0,0,1150,"",3.66,0.72,0.69,0.69,0.73,0.00,0.00,1.04,"",-1,-3.6,12,5.6,9,4.2,11,5.1,157326,4.9,0,0.0,0,0.0,-1,-0.1
