"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26127","0","10","70","0","2016","1","","Oceana County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",559,5689,5720,5882,50959265,26757003,1176657,680,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-2.8,9,0.2,37,0.7,88,1.5,2076526,4.2,669308,2.6,-146311,-11.1,23,3.5
"26127","0","10","70","0","2016","2","","Oceana County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",550,6354,7464,7937,61489900,16463811,973217,652,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-3.3,144,2.3,-63,-0.8,212,2.7,1055046,1.7,-149656,-0.9,-39732,-3.9,2,0.3
"26127","0","10","70","0","2016","3","","Oceana County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",552,7936,7845,7854,66255409,13289918,762213,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-25,-4.3,235,3.1,297,3.9,223,2.9,4426564,7.2,845928,6.8,16939,2.3,23,3.7
"26127","0","10","70","0","2016","4","","Oceana County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",545,7380,6625,6174,62629543,6759417,350257,716,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-3.7,213,3.0,91,1.4,-80,-1.3,1990915,3.3,75657,1.1,-22729,-6.1,15,2.1
"26127","1","10","71","0","2016","1","","Oceana County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,156,156,153,2033600,0,0,1009,"",3.13,1.38,1.38,1.32,1.40,0.00,0.00,1.03,"",0,0.0,3,2.0,8,5.4,6,4.1,-297878,-12.8,0,0.0,0,0.0,-192,-16.0
"26127","1","10","71","0","2016","2","","Oceana County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,153,154,151,1964074,0,0,990,"",3.21,1.23,1.05,0.97,1.16,0.00,0.00,1.08,"",0,0.0,4,2.7,10,6.9,6,4.1,32148,1.7,0,0.0,0,0.0,-28,-2.8
"26127","1","10","71","0","2016","3","","Oceana County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,157,148,147,2284673,0,0,1166,"",3.22,0.99,0.95,0.95,1.11,0.00,0.00,1.15,"",0,0.0,9,6.1,3,2.1,-3,-2.0,31824,1.4,0,0.0,0,0.0,-8,-0.7
"26127","1","10","71","0","2016","4","","Oceana County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,145,145,158,2442487,0,0,1258,"",3.29,1.01,1.12,1.30,1.38,0.00,0.00,1.22,"",0,0.0,-1,-0.7,-8,-5.2,2,1.3,32207,1.3,0,0.0,0,0.0,36,2.9
"26127","1","102","72","0","2016","1","","Oceana County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,156,156,153,2033600,0,0,1009,"",3.13,1.41,1.40,1.34,1.43,0.00,0.00,1.03,"",0,0.0,3,2.0,8,5.4,6,4.1,-297878,-12.8,0,0.0,0,0.0,-192,-16.0
"26127","1","102","72","0","2016","2","","Oceana County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,153,154,151,1964074,0,0,990,"",3.21,1.25,1.07,0.98,1.19,0.00,0.00,1.08,"",0,0.0,4,2.7,10,6.9,6,4.1,32148,1.7,0,0.0,0,0.0,-28,-2.8
