"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26147","0","10","70","0","2016","1","","St. Clair County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2855,43709,43716,43726,457940311,204364753,8020020,806,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,0.5,498,1.2,704,1.6,669,1.6,13006087,2.9,4352684,2.2,-533208,-6.2,12,1.5
"26147","0","10","70","0","2016","2","","St. Clair County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2843,44171,45330,45830,457340806,70593147,2880381,780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.3,634,1.5,440,1.0,588,1.3,7908164,1.8,-1473096,-2.0,-209489,-6.8,4,0.5
"26147","0","10","70","0","2016","3","","St. Clair County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2846,45081,45126,45228,507613583,44083702,1701820,865,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-0.6,741,1.7,571,1.3,590,1.3,52375226,11.5,2212202,5.3,-64193,-3.6,78,9.9
"26147","0","10","70","0","2016","4","","St. Clair County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2825,45045,44738,44669,492679366,31645643,1063005,846,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-0.7,189,0.4,11,0.0,38,0.1,-11215252,-2.2,-495106,-1.5,-172349,-14.0,-20,-2.3
"26147","1","10","71","0","2016","1","","St. Clair County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,703,699,702,15465196,0,0,1696,"",1.67,0.81,0.81,0.81,1.19,0.00,0.00,1.46,"",1,3.4,21,3.1,12,1.7,18,2.6,10186,0.1,0,0.0,0,0.0,-41,-2.4
"26147","1","10","71","0","2016","2","","St. Clair County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,714,712,710,13873624,0,0,1499,"",1.69,0.83,0.80,0.79,1.11,0.00,0.00,1.37,"",0,0.0,25,3.6,21,3.0,10,1.4,335657,2.5,0,0.0,0,0.0,-3,-0.2
"26147","1","10","71","0","2016","3","","St. Clair County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,715,713,719,16994007,0,0,1827,"",1.70,0.80,0.80,0.81,1.08,0.00,0.00,1.35,"",0,0.0,16,2.3,19,2.7,33,4.8,616940,3.8,0,0.0,0,0.0,9,0.5
"26147","1","10","71","0","2016","4","","St. Clair County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,713,712,728,15240929,0,0,1634,"",1.73,0.81,0.82,0.83,1.10,0.00,0.00,1.34,"",0,0.0,17,2.4,1,0.1,19,2.7,652191,4.5,0,0.0,0,0.0,43,2.7
"26147","1","102","72","0","2016","1","","St. Clair County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,703,699,702,15465196,0,0,1696,"",1.67,0.82,0.82,0.83,1.21,0.00,0.00,1.46,"",1,3.4,21,3.1,12,1.7,18,2.6,10186,0.1,0,0.0,0,0.0,-41,-2.4
"26147","1","102","72","0","2016","2","","St. Clair County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,714,712,710,13873624,0,0,1499,"",1.70,0.84,0.82,0.80,1.13,0.00,0.00,1.37,"",0,0.0,25,3.6,21,3.0,10,1.4,335657,2.5,0,0.0,0,0.0,-3,-0.2
