"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26157","0","10","70","0","2016","1","","Tuscola County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",833,10989,10921,10916,98096029,46461710,1762742,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.0,-271,-2.4,-279,-2.5,-351,-3.1,-1919961,-1.9,-1701307,-3.5,-243979,-12.2,6,0.9
"26157","0","10","70","0","2016","2","","Tuscola County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",835,11164,11333,11495,104356319,17051770,599633,708,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-67,-0.6,-12,-0.1,-98,-0.8,3052847,3.0,-961585,-5.3,-89860,-13.0,24,3.5
"26157","0","10","70","0","2016","3","","Tuscola County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",825,11435,11265,11434,107849311,9915556,355278,729,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-1.7,98,0.9,-105,-0.9,-9,-0.1,2896372,2.8,-995414,-9.1,-46319,-11.5,20,2.8
"26157","0","10","70","0","2016","4","","Tuscola County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",825,11446,11341,11222,116611667,7378348,259665,791,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,85,0.7,98,0.9,40,0.4,-1423356,-1.2,-35133,-0.5,-19430,-7.0,-15,-1.9
"26157","1","10","71","0","2016","1","","Tuscola County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,127,126,127,1361515,0,0,827,"",3.62,0.58,0.58,0.59,0.49,0.00,0.00,0.83,"",0,0.0,7,5.8,1,0.8,-2,-1.6,-187757,-12.1,0,0.0,0,0.0,-129,-13.5
"26157","1","10","71","0","2016","2","","Tuscola County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,126,124,124,1324712,0,0,817,"",3.65,0.58,0.56,0.55,0.46,0.00,0.00,0.82,"",0,0.0,3,2.4,2,1.6,3,2.5,97768,8.0,0,0.0,0,0.0,43,5.6
"26157","1","10","71","0","2016","3","","Tuscola County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,129,126,132,1570430,0,0,936,"",3.72,0.57,0.56,0.59,0.47,0.00,0.00,0.82,"",0,0.0,7,5.7,2,1.6,5,3.9,58406,3.9,0,0.0,0,0.0,1,0.1
"26157","1","10","71","0","2016","4","","Tuscola County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,121,123,130,1517575,0,0,936,"",3.75,0.54,0.56,0.59,0.46,0.00,0.00,0.82,"",0,0.0,-5,-4.0,-5,-3.9,-2,-1.5,18867,1.3,0,0.0,0,0.0,40,4.5
"26157","1","102","72","0","2016","1","","Tuscola County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,127,126,127,1361515,0,0,827,"",3.63,0.59,0.59,0.60,0.50,0.00,0.00,0.83,"",0,0.0,7,5.8,1,0.8,-2,-1.6,-187757,-12.1,0,0.0,0,0.0,-129,-13.5
"26157","1","102","72","0","2016","2","","Tuscola County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,126,124,124,1324712,0,0,817,"",3.66,0.59,0.57,0.56,0.47,0.00,0.00,0.82,"",0,0.0,3,2.4,2,1.6,3,2.5,97768,8.0,0,0.0,0,0.0,43,5.6
