"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27033","0","10","70","0","2016","1","","Cottonwood County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",379,4465,4458,4508,37690453,22901082,548601,648,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-2.8,-229,-4.9,-272,-5.8,-339,-7.0,-3261670,-8.0,-4304053,-15.8,-115141,-17.3,-14,-2.1
"27033","0","10","70","0","2016","2","","Cottonwood County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",381,4629,4656,4639,41194907,21884360,559394,683,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.8,-297,-6.0,-336,-6.7,-332,-6.7,-2911753,-6.6,-2948826,-11.9,-101067,-15.3,-1,-0.1
"27033","0","10","70","0","2016","3","","Cottonwood County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",381,4017,4319,4329,39736023,14059134,277333,724,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.8,-759,-15.9,-369,-7.9,-501,-10.4,-961590,-2.4,-2538260,-15.3,-96851,-25.9,67,10.2
"27033","0","10","70","0","2016","4","","Cottonwood County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",384,4150,4580,4639,42887257,10097029,227762,740,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.8,-586,-12.4,-162,-3.4,-106,-2.2,-1415738,-3.2,294995,3.0,36409,19.0,21,2.9
"27033","1","10","71","0","2016","1","","Cottonwood County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,56,55,56,737457,0,0,1019,"",4.19,0.63,0.62,0.63,0.69,0.00,0.00,1.09,"",1,11.1,-2,-3.4,3,5.8,2,3.7,-7579,-1.0,0,0.0,0,0.0,-29,-2.8
"27033","1","10","71","0","2016","2","","Cottonwood County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,57,58,64,689737,0,0,889,"",4.21,0.63,0.64,0.70,0.61,0.00,0.00,0.93,"",1,11.1,3,5.6,3,5.5,3,4.9,19790,3.0,0,0.0,0,0.0,-20,-2.2
"27033","1","10","71","0","2016","3","","Cottonwood County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,58,59,56,775180,0,0,1034,"",4.24,0.73,0.69,0.66,0.63,0.00,0.00,0.91,"",1,11.1,-3,-4.9,1,1.7,-2,-3.4,-14508,-1.8,0,0.0,0,0.0,4,0.4
"27033","1","10","71","0","2016","4","","Cottonwood County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,51,50,55,644000,0,0,953,"",4.24,0.63,0.56,0.60,0.53,0.00,0.00,0.89,"",1,11.1,-4,-7.3,-6,-10.7,4,7.8,-24449,-3.7,0,0.0,0,0.0,1,0.1
"27033","1","102","72","0","2016","1","","Cottonwood County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,56,55,56,737457,0,0,1019,"",4.20,0.64,0.63,0.64,0.70,0.00,0.00,1.09,"",1,11.1,-2,-3.4,3,5.8,2,3.7,-7579,-1.0,0,0.0,0,0.0,-29,-2.8
"27033","1","102","72","0","2016","2","","Cottonwood County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,57,58,64,689737,0,0,889,"",4.22,0.64,0.65,0.71,0.62,0.00,0.00,0.93,"",1,11.1,3,5.6,3,5.5,3,4.9,19790,3.0,0,0.0,0,0.0,-20,-2.2
