"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27039","0","10","70","0","2016","1","","Dodge County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",421,5782,5800,5823,56712364,43974563,567940,752,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-4.1,97,1.7,135,2.4,174,3.1,1544228,2.8,2791757,6.8,-44204,-7.2,3,0.4
"27039","0","10","70","0","2016","2","","Dodge County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",425,5874,5998,6185,63602238,41517822,613690,813,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-4.1,46,0.8,20,0.3,-37,-0.6,2892604,4.8,3087869,8.0,-53339,-8.0,36,4.6
"27039","0","10","70","0","2016","3","","Dodge County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",431,6020,5985,5970,67162966,25585537,407445,862,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,-65,-1.1,-100,-1.6,-80,-1.3,5343979,8.6,1262006,5.2,-62757,-13.3,79,10.1
"27039","0","10","70","0","2016","4","","Dodge County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",433,5889,5906,5828,66310532,14330854,213904,868,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,-125,-2.1,-159,-2.6,-180,-3.0,-1190877,-1.8,-1039132,-6.8,-65877,-23.5,7,0.8
"27039","1","10","71","0","2016","1","","Dodge County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,34,37,36,423364,0,0,913,"",3.02,0.30,0.32,0.31,0.26,0.00,0.00,0.85,"",0,0.0,-1,-2.9,-1,-2.6,1,2.9,-54744,-11.5,0,0.0,0,0.0,-109,-10.7
"27039","1","10","71","0","2016","2","","Dodge County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,35,39,38,458724,0,0,945,"",3.02,0.30,0.33,0.31,0.26,0.00,0.00,0.83,"",0,0.0,-3,-7.9,6,18.2,5,15.2,43983,10.6,0,0.0,0,0.0,25,2.7
"27039","1","10","71","0","2016","3","","Dodge County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,36,41,41,535248,0,0,1047,"",3.00,0.30,0.35,0.35,0.26,0.00,0.00,0.77,"",0,0.0,0,0.0,7,20.6,7,20.6,50652,10.5,0,0.0,0,0.0,-28,-2.6
"27039","1","10","71","0","2016","4","","Dodge County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,40,42,544810,0,0,1039,"",3.01,0.34,0.35,0.37,0.29,0.00,0.00,0.83,"",0,0.0,5,14.7,4,11.1,3,7.7,60115,12.4,0,0.0,0,0.0,13,1.3
"27039","1","102","72","0","2016","1","","Dodge County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,34,37,36,423364,0,0,913,"",3.02,0.30,0.33,0.32,0.27,0.00,0.00,0.84,"",0,0.0,-1,-2.9,-1,-2.6,1,2.9,-54744,-11.5,0,0.0,0,0.0,-109,-10.7
"27039","1","102","72","0","2016","2","","Dodge County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,35,39,38,458724,0,0,945,"",3.02,0.31,0.34,0.32,0.27,0.00,0.00,0.83,"",0,0.0,-3,-7.9,6,18.2,5,15.2,43983,10.6,0,0.0,0,0.0,25,2.7
"27039","1","102","72","0","2016","3","","Dodge County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,36,41,41,535248,0,0,1047,"",3.01,0.31,0.35,0.36,0.26,0.00,0.00,0.78,"",0,0.0,0,0.0,7,20.6,7,20.6,50652,10.5,0,0.0,0,0.0,-28,-2.6
"27039","1","102","72","0","2016","4","","Dodge County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,39,40,42,544810,0,0,1039,"",3.01,0.35,0.35,0.37,0.30,0.00,0.00,0.83,"",0,0.0,5,14.7,4,11.1,3,7.7,60115,12.4,0,0.0,0,0.0,13,1.3
"27039","1","1021","73","0","2016","1","","Dodge County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,28,31,30,328737,0,0,852,"",4.54,1.01,1.11,1.07,1.17,0.00,0.00,1.10,"",0,0.0,-2,-6.7,2,6.9,1,3.4,-56401,-14.6,0,0.0,0,0.0,-158,-15.6
"27039","1","1021","73","0","2016","2","","Dodge County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,29,32,32,360296,0,0,894,"",4.53,1.04,1.12,1.09,1.14,0.00,0.00,1.05,"",0,0.0,0,0.0,5,18.5,5,18.5,23563,7.0,0,0.0,0,0.0,-42,-4.5
"27039","1","1021","73","0","2016","3","","Dodge County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,32,32,435639,0,0,1069,"",4.51,1.04,1.12,1.12,1.16,0.00,0.00,1.06,"",0,0.0,0,0.0,4,14.3,4,14.3,42591,10.8,0,0.0,0,0.0,14,1.3
"27039","1","1021","73","0","2016","4","","Dodge County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,34,32,459524,0,0,1071,"",4.52,1.18,1.21,1.11,1.21,0.00,0.00,1.04,"",0,0.0,5,17.9,4,13.3,2,6.7,54035,13.3,0,0.0,0,0.0,8,0.8
"27039","1","1028","73","0","2016","1","","Dodge County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,6,94627,0,0,1213,"",1.85,0.10,0.10,0.10,0.09,0.00,0.00,0.97,"",0,0.0,1,20.0,-3,-33.3,0,0.0,1657,1.8,0,0.0,0,0.0,140,13.0
"27039","1","1028","73","0","2016","2","","Dodge County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,7,6,98428,0,0,1195,"",1.85,0.10,0.11,0.09,0.09,0.00,0.00,0.93,"",0,0.0,-3,-33.3,1,16.7,0,0.0,20420,26.2,0,0.0,0,0.0,338,39.4
