"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27065","0","10","70","0","2016","1","","Kanabec County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",291,3819,3859,3859,31597617,14312931,293704,632,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.0,269,7.6,340,9.7,293,8.2,1792503,6.0,1584462,12.4,-3775,-1.3,-15,-2.3
"27065","0","10","70","0","2016","2","","Kanabec County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",300,3947,3942,3990,35842502,15391030,450722,696,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.4,270,7.3,131,3.4,105,2.7,3347450,10.3,2003760,15.0,16531,3.8,37,5.6
"27065","0","10","70","0","2016","3","","Kanabec County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",300,3843,3907,3902,37393500,12309242,395940,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.0,14,0.4,71,1.9,125,3.3,2617061,7.5,895633,7.8,4888,1.2,40,5.7
"27065","0","10","70","0","2016","4","","Kanabec County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",299,3976,3926,3835,37145037,6830779,136067,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.7,138,3.6,84,2.2,39,1.0,449977,1.2,-48155,-0.7,-28236,-17.2,-8,-1.1
"27065","1","10","71","0","2016","1","","Kanabec County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,34,36,35,441644,0,0,971,"",3.28,0.45,0.47,0.46,0.49,0.00,0.00,1.07,"",0,0.0,-5,-12.8,0,0.0,1,2.9,-28790,-6.1,0,0.0,0,0.0,-25,-2.5
"27065","1","10","71","0","2016","2","","Kanabec County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,34,35,40,412183,0,0,873,"",3.21,0.44,0.45,0.51,0.42,0.00,0.00,0.90,"",0,0.0,-2,-5.6,1,2.9,6,17.6,13836,3.5,0,0.0,0,0.0,-11,-1.2
"27065","1","10","71","0","2016","3","","Kanabec County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,40,39,39,516016,0,0,1009,"",3.23,0.52,0.50,0.51,0.45,0.00,0.00,0.87,"",0,0.0,4,11.1,1,2.6,6,18.2,46429,9.9,0,0.0,0,0.0,-4,-0.4
"27065","1","10","71","0","2016","4","","Kanabec County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,39,39,40,488766,0,0,956,"",3.27,0.50,0.51,0.53,0.47,0.00,0.00,0.91,"",0,0.0,3,8.3,4,11.4,5,14.3,39717,8.8,0,0.0,0,0.0,-22,-2.2
"27065","1","102","72","0","2016","1","","Kanabec County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,34,36,35,441644,0,0,971,"",3.28,0.46,0.48,0.47,0.50,0.00,0.00,1.07,"",0,0.0,-5,-12.8,0,0.0,1,2.9,-28790,-6.1,0,0.0,0,0.0,-25,-2.5
"27065","1","102","72","0","2016","2","","Kanabec County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,34,35,40,412183,0,0,873,"",3.21,0.45,0.46,0.52,0.43,0.00,0.00,0.90,"",0,0.0,-2,-5.6,1,2.9,6,17.6,13836,3.5,0,0.0,0,0.0,-11,-1.2
"27065","1","102","72","0","2016","3","","Kanabec County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,40,39,39,516016,0,0,1009,"",3.24,0.53,0.51,0.52,0.45,0.00,0.00,0.87,"",0,0.0,4,11.1,1,2.6,6,18.2,46429,9.9,0,0.0,0,0.0,-4,-0.4
"27065","1","102","72","0","2016","4","","Kanabec County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,39,39,40,488766,0,0,956,"",3.27,0.51,0.52,0.54,0.48,0.00,0.00,0.91,"",0,0.0,3,8.3,4,11.4,5,14.3,39717,8.8,0,0.0,0,0.0,-22,-2.2
"27065","1","1021","73","0","2016","1","","Kanabec County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,21,23,22,237276,0,0,830,"",3.28,1.14,1.23,1.18,1.52,0.00,0.00,1.28,"",0,0.0,-3,-12.5,-1,-4.2,0,0.0,-48204,-16.9,0,0.0,0,0.0,-111,-11.8
"27065","1","1021","73","0","2016","2","","Kanabec County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,22,23,24,233729,0,0,782,"",3.21,1.17,1.23,1.26,1.31,0.00,0.00,1.07,"",0,0.0,-2,-8.3,1,4.5,2,9.1,-5297,-2.2,0,0.0,0,0.0,-29,-3.6
"27065","1","1021","73","0","2016","3","","Kanabec County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,23,24,24,286541,0,0,931,"",3.24,1.25,1.28,1.29,1.37,0.00,0.00,1.08,"",0,0.0,0,0.0,2,9.1,3,14.3,12945,4.7,0,0.0,0,0.0,-26,-2.7
"27065","1","1021","73","0","2016","4","","Kanabec County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,25,24,24,305795,0,0,967,"",3.27,1.32,1.29,1.27,1.44,0.00,0.00,1.11,"",0,0.0,4,19.0,2,9.1,2,9.1,28489,10.3,0,0.0,0,0.0,-18,-1.8
"27065","1","1028","73","0","2016","1","","Kanabec County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,13,13,204368,0,0,1209,"",4.02,0.31,0.31,0.31,0.36,0.00,0.00,1.16,"",0,0.0,-2,-13.3,1,8.3,1,8.3,19414,10.5,0,0.0,0,0.0,115,10.5
