"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27081","0","10","70","0","2016","1","","Lincoln County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",223,1685,1655,1657,13366251,7261046,75290,617,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.4,97,6.1,86,5.5,58,3.6,911155,7.3,630790,9.5,11025,17.2,13,2.2
"27081","0","10","70","0","2016","2","","Lincoln County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",224,1716,1741,1755,14933620,7000283,92081,661,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.9,59,3.6,26,1.5,21,1.2,643830,4.5,504899,7.8,-318,-0.3,15,2.3
"27081","0","10","70","0","2016","3","","Lincoln County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",222,1725,1768,1722,15079517,4753676,64843,667,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-32,-1.8,47,2.7,29,1.7,1303751,9.5,330340,7.5,-5552,-7.9,52,8.5
"27081","0","10","70","0","2016","4","","Lincoln County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",222,1713,1702,1689,14601048,2977657,39472,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-3,-0.2,17,1.0,-50,-2.9,-427077,-2.8,-130121,-4.2,-5071,-11.4,-15,-2.2
"27081","1","10","71","0","2016","1","","Lincoln County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,31,28,32,308340,0,0,782,"",4.99,0.93,0.85,0.98,0.81,0.00,0.00,0.88,"",0,0.0,1,3.3,0,0.0,3,10.3,-47527,-13.4,0,0.0,0,0.0,-162,-17.2
"27081","1","10","71","0","2016","2","","Lincoln County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,28,29,33,304576,0,0,781,"",5.01,0.83,0.85,0.96,0.74,0.00,0.00,0.84,"",0,0.0,1,3.7,1,3.6,3,10.0,15490,5.4,0,0.0,0,0.0,-4,-0.5
"27081","1","10","71","0","2016","3","","Lincoln County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,29,34,29,369233,0,0,926,"",5.10,0.85,0.97,0.86,0.79,0.00,0.00,0.89,"",0,0.0,-2,-6.5,4,13.3,-1,-3.3,13312,3.7,0,0.0,0,0.0,23,2.5
"27081","1","10","71","0","2016","4","","Lincoln County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,32,30,35,345066,0,0,821,"",5.13,0.96,0.90,1.05,0.84,0.00,0.00,0.86,"",0,0.0,2,6.7,-1,-3.2,0,0.0,-2673,-0.8,0,0.0,0,0.0,-15,-1.8
"27081","1","102","72","0","2016","1","","Lincoln County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,31,28,32,308340,0,0,782,"",5.00,0.94,0.87,1.00,0.82,0.00,0.00,0.88,"",0,0.0,1,3.3,0,0.0,3,10.3,-47527,-13.4,0,0.0,0,0.0,-162,-17.2
"27081","1","102","72","0","2016","2","","Lincoln County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,28,29,33,304576,0,0,781,"",5.02,0.85,0.87,0.97,0.76,0.00,0.00,0.84,"",0,0.0,1,3.7,1,3.6,3,10.0,15490,5.4,0,0.0,0,0.0,-4,-0.5
