"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27085","0","10","70","0","2016","1","","McLeod County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",897,16339,16287,16359,168986396,109415264,1530359,796,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-46,-4.9,-273,-1.6,-266,-1.6,-291,-1.7,-3726424,-2.2,-2162468,-1.9,-340461,-18.2,-4,-0.5
"27085","0","10","70","0","2016","2","","McLeod County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",900,16666,16686,16936,176474197,87180182,1511713,810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-37,-3.9,-229,-1.4,-405,-2.4,-841,-4.7,1412030,0.8,726366,0.8,-226795,-13.0,30,3.8
"27085","0","10","70","0","2016","3","","McLeod County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",898,16541,16592,16640,183115971,56413674,922177,849,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-1.8,-898,-5.1,-1251,-7.0,-1146,-6.4,207470,0.1,-4388282,-7.2,-643884,-41.1,54,6.8
"27085","0","10","70","0","2016","4","","McLeod County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",901,16580,16562,16473,190518817,34481213,437664,886,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.0,-818,-4.7,-597,-3.5,-584,-3.4,-2489199,-1.3,-4291933,-11.1,-406726,-48.2,23,2.7
"27085","1","10","71","0","2016","1","","McLeod County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,81,81,80,966103,0,0,921,"",1.95,0.25,0.25,0.25,0.20,0.00,0.00,0.81,"",0,0.0,3,3.8,0,0.0,3,3.9,-145922,-13.1,0,0.0,0,0.0,-166,-15.3
"27085","1","10","71","0","2016","2","","McLeod County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,82,79,77,911934,0,0,884,"",1.96,0.25,0.24,0.23,0.19,0.00,0.00,0.78,"",0,0.0,1,1.2,0,0.0,-3,-3.8,5359,0.6,0,0.0,0,0.0,12,1.4
"27085","1","10","71","0","2016","3","","McLeod County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,75,76,75,998167,0,0,1019,"",1.98,0.23,0.23,0.23,0.18,0.00,0.00,0.77,"",0,0.0,-9,-10.7,-6,-7.3,-8,-9.6,-98314,-9.0,0,0.0,0,0.0,3,0.3
"27085","1","10","71","0","2016","4","","McLeod County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,74,72,81,1000779,0,0,1017,"",1.99,0.23,0.22,0.25,0.19,0.00,0.00,0.80,"",0,0.0,-6,-7.5,-12,-14.3,-2,-2.4,-59691,-5.6,0,0.0,0,0.0,26,2.6
"27085","1","102","72","0","2016","1","","McLeod County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,81,81,80,966103,0,0,921,"",1.95,0.25,0.26,0.25,0.20,0.00,0.00,0.80,"",0,0.0,3,3.8,0,0.0,3,3.9,-145922,-13.1,0,0.0,0,0.0,-166,-15.3
"27085","1","102","72","0","2016","2","","McLeod County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,82,79,77,911934,0,0,884,"",1.96,0.26,0.25,0.24,0.19,0.00,0.00,0.78,"",0,0.0,1,1.2,0,0.0,-3,-3.8,5359,0.6,0,0.0,0,0.0,12,1.4
"27085","1","102","72","0","2016","3","","McLeod County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,75,76,75,998167,0,0,1019,"",1.98,0.23,0.24,0.23,0.18,0.00,0.00,0.77,"",0,0.0,-9,-10.7,-6,-7.3,-8,-9.6,-98314,-9.0,0,0.0,0,0.0,3,0.3
"27085","1","102","72","0","2016","4","","McLeod County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,74,72,81,1000779,0,0,1017,"",1.99,0.23,0.23,0.25,0.19,0.00,0.00,0.80,"",0,0.0,-6,-7.5,-12,-14.3,-2,-2.4,-59691,-5.6,0,0.0,0,0.0,26,2.6
"27085","1","1021","73","0","2016","1","","McLeod County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,64,64,63,679884,0,0,821,"",2.84,0.81,0.81,0.80,0.81,0.00,0.00,1.01,"",0,0.0,1,1.6,1,1.6,0,0.0,-197214,-22.5,0,0.0,0,0.0,-250,-23.3
"27085","1","1021","73","0","2016","2","","McLeod County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,64,63,63,648969,0,0,788,"",2.85,0.81,0.79,0.78,0.74,0.00,0.00,0.93,"",0,0.0,-1,-1.5,0,0.0,-1,-1.6,-41992,-6.1,0,0.0,0,0.0,-42,-5.1
"27085","1","1021","73","0","2016","3","","McLeod County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,62,59,60,745833,0,0,951,"",2.89,0.78,0.74,0.76,0.73,0.00,0.00,0.96,"",0,0.0,-2,-3.1,-5,-7.8,-5,-7.7,-71007,-8.7,0,0.0,0,0.0,-26,-2.7
"27085","1","1021","73","0","2016","4","","McLeod County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,60,60,65,790730,0,0,986,"",2.90,0.76,0.76,0.80,0.73,0.00,0.00,0.94,"",0,0.0,-3,-4.8,-3,-4.8,3,4.8,-24551,-3.0,0,0.0,0,0.0,-15,-1.5
"27085","1","1028","73","0","2016","1","","McLeod County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,17,17,286219,0,0,1295,"",1.30,0.10,0.10,0.10,0.09,0.00,0.00,0.98,"",0,0.0,2,13.3,-1,-5.6,3,21.4,51292,21.8,0,0.0,0,0.0,142,12.3
"27085","1","1028","73","0","2016","2","","McLeod County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,18,16,14,262965,0,0,1264,"",1.31,0.10,0.09,0.08,0.09,0.00,0.00,0.99,"",0,0.0,2,12.5,0,0.0,-2,-12.5,47351,22.0,0,0.0,0,0.0,227,21.9
"27085","1","1028","73","0","2016","3","","McLeod County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,17,15,252334,0,0,1294,"",1.33,0.07,0.10,0.08,0.07,0.00,0.00,0.86,"",0,0.0,-7,-35.0,-1,-5.6,-3,-16.7,-27307,-9.8,0,0.0,0,0.0,142,12.3
"27085","1","1028","73","0","2016","4","","McLeod County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,12,16,210049,0,0,1154,"",1.33,0.08,0.07,0.09,0.07,0.00,0.00,0.83,"",0,0.0,-3,-17.6,-9,-42.9,-5,-23.8,-35140,-14.3,0,0.0,0,0.0,195,20.3
"27085","1","48-49","74","0","2016","1","","McLeod County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,64,64,63,679884,0,0,821,"",2.92,0.89,0.89,0.87,0.88,0.00,0.00,0.99,"",0,0.0,1,1.6,1,1.6,0,0.0,-197214,-22.5,0,0.0,0,0.0,-250,-23.3
"27085","1","48-49","74","0","2016","2","","McLeod County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,64,63,63,648969,0,0,788,"",2.93,0.89,0.87,0.85,0.80,0.00,0.00,0.92,"",0,0.0,-1,-1.5,0,0.0,-1,-1.6,-41992,-6.1,0,0.0,0,0.0,-42,-5.1
"27085","1","48-49","74","0","2016","3","","McLeod County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,62,59,60,745833,0,0,951,"",2.97,0.86,0.81,0.83,0.78,0.00,0.00,0.94,"",0,0.0,-2,-3.1,-5,-7.8,-5,-7.7,-71007,-8.7,0,0.0,0,0.0,-26,-2.7
"27085","1","48-49","74","0","2016","4","","McLeod County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,60,60,65,790730,0,0,986,"",2.98,0.83,0.83,0.87,0.78,0.00,0.00,0.92,"",0,0.0,-3,-4.8,-3,-4.8,3,4.8,-24551,-3.0,0,0.0,0,0.0,-15,-1.5
"27085","1","491","75","0","2016","1","","McLeod County, Minnesota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,64,64,63,679884,0,0,821,"",2.94,0.91,0.91,0.89,0.92,0.00,0.00,1.02,"",0,0.0,1,1.6,1,1.6,0,0.0,-197214,-22.5,0,0.0,0,0.0,-250,-23.3
"27085","1","491","75","0","2016","2","","McLeod County, Minnesota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,64,63,63,648969,0,0,788,"",2.95,0.90,0.89,0.87,0.83,0.00,0.00,0.94,"",0,0.0,-1,-1.5,0,0.0,-1,-1.6,-41992,-6.1,0,0.0,0,0.0,-42,-5.1
"27085","1","491","75","0","2016","3","","McLeod County, Minnesota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,62,59,60,745833,0,0,951,"",2.99,0.87,0.83,0.84,0.82,0.00,0.00,0.96,"",0,0.0,-2,-3.1,-5,-7.8,-5,-7.7,-71007,-8.7,0,0.0,0,0.0,-26,-2.7
"27085","1","491","75","0","2016","4","","McLeod County, Minnesota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,60,60,65,790730,0,0,986,"",3.00,0.85,0.85,0.89,0.81,0.00,0.00,0.94,"",0,0.0,-3,-4.8,-3,-4.8,3,4.8,-24551,-3.0,0,0.0,0,0.0,-15,-1.5
"27085","1","4911","76","0","2016","1","","McLeod County, Minnesota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,64,64,63,679884,0,0,821,"",2.94,0.91,0.91,0.89,0.92,0.00,0.00,1.02,"",0,0.0,1,1.6,1,1.6,0,0.0,-197214,-22.5,0,0.0,0,0.0,-250,-23.3
"27085","1","4911","76","0","2016","2","","McLeod County, Minnesota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,64,63,63,648969,0,0,788,"",2.95,0.90,0.89,0.87,0.83,0.00,0.00,0.94,"",0,0.0,-1,-1.5,0,0.0,-1,-1.6,-41992,-6.1,0,0.0,0,0.0,-42,-5.1
"27085","1","4911","76","0","2016","3","","McLeod County, Minnesota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,62,59,60,745833,0,0,951,"",2.99,0.87,0.83,0.84,0.82,0.00,0.00,0.96,"",0,0.0,-2,-3.1,-5,-7.8,-5,-7.7,-71007,-8.7,0,0.0,0,0.0,-26,-2.7
"27085","1","4911","76","0","2016","4","","McLeod County, Minnesota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,60,60,65,790730,0,0,986,"",3.00,0.85,0.85,0.89,0.81,0.00,0.00,0.94,"",0,0.0,-3,-4.8,-3,-4.8,3,4.8,-24551,-3.0,0,0.0,0,0.0,-15,-1.5
"27085","1","49111","77","0","2016","1","","McLeod County, Minnesota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,64,64,63,679884,0,0,821,"",2.94,0.91,0.91,0.89,0.92,0.00,0.00,1.02,"",0,0.0,1,1.6,1,1.6,0,0.0,-197214,-22.5,0,0.0,0,0.0,-250,-23.3
"27085","1","49111","77","0","2016","2","","McLeod County, Minnesota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,64,63,63,648969,0,0,788,"",2.95,0.90,0.89,0.87,0.83,0.00,0.00,0.94,"",0,0.0,-1,-1.5,0,0.0,-1,-1.6,-41992,-6.1,0,0.0,0,0.0,-42,-5.1
"27085","1","49111","77","0","2016","3","","McLeod County, Minnesota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,62,59,60,745833,0,0,951,"",2.99,0.87,0.83,0.84,0.82,0.00,0.00,0.96,"",0,0.0,-2,-3.1,-5,-7.8,-5,-7.7,-71007,-8.7,0,0.0,0,0.0,-26,-2.7
"27085","1","49111","77","0","2016","4","","McLeod County, Minnesota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,60,60,65,790730,0,0,986,"",3.00,0.85,0.85,0.89,0.81,0.00,0.00,0.94,"",0,0.0,-3,-4.8,-3,-4.8,3,4.8,-24551,-3.0,0,0.0,0,0.0,-15,-1.5
"27085","1","491110","78","0","2016","1","","McLeod County, Minnesota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,64,64,63,679884,0,0,821,"",2.94,0.91,0.91,0.89,0.92,0.00,0.00,1.02,"",0,0.0,1,1.6,1,1.6,0,0.0,-197214,-22.5,0,0.0,0,0.0,-250,-23.3
"27085","1","491110","78","0","2016","2","","McLeod County, Minnesota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,64,63,63,648969,0,0,788,"",2.95,0.90,0.89,0.87,0.83,0.00,0.00,0.94,"",0,0.0,-1,-1.5,0,0.0,-1,-1.6,-41992,-6.1,0,0.0,0,0.0,-42,-5.1
"27085","1","491110","78","0","2016","3","","McLeod County, Minnesota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,62,59,60,745833,0,0,951,"",2.99,0.87,0.83,0.84,0.82,0.00,0.00,0.96,"",0,0.0,-2,-3.1,-5,-7.8,-5,-7.7,-71007,-8.7,0,0.0,0,0.0,-26,-2.7
"27085","1","491110","78","0","2016","4","","McLeod County, Minnesota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,60,60,65,790730,0,0,986,"",3.00,0.85,0.85,0.89,0.81,0.00,0.00,0.94,"",0,0.0,-3,-4.8,-3,-4.8,3,4.8,-24551,-3.0,0,0.0,0,0.0,-15,-1.5
"27085","1","92","74","0","2016","1","","McLeod County, Minnesota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,17,17,17,286219,0,0,1295,"",1.30,0.10,0.10,0.10,0.09,0.00,0.00,0.98,"",0,0.0,2,13.3,-1,-5.6,3,21.4,51292,21.8,0,0.0,0,0.0,142,12.3
"27085","1","92","74","0","2016","2","","McLeod County, Minnesota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,18,16,14,262965,0,0,1264,"",1.31,0.10,0.09,0.08,0.09,0.00,0.00,0.99,"",0,0.0,2,12.5,0,0.0,-2,-12.5,47351,22.0,0,0.0,0,0.0,227,21.9
"27085","1","92","74","0","2016","3","","McLeod County, Minnesota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,13,17,15,252334,0,0,1294,"",1.33,0.07,0.10,0.08,0.07,0.00,0.00,0.86,"",0,0.0,-7,-35.0,-1,-5.6,-3,-16.7,-27307,-9.8,0,0.0,0,0.0,142,12.3
"27085","1","92","74","0","2016","4","","McLeod County, Minnesota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,14,12,16,210049,0,0,1154,"",1.33,0.08,0.07,0.09,0.07,0.00,0.00,0.83,"",0,0.0,-3,-17.6,-9,-42.9,-5,-23.8,-35140,-14.3,0,0.0,0,0.0,195,20.3
"27085","1","924","75","0","2016","1","","McLeod County, Minnesota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,35240,0,0,1355,"",1.92,0.18,0.19,0.19,0.20,0.00,0.00,1.07,"",0,0.0,0,0.0,0,0.0,0,0.0,2742,8.4,0,0.0,0,0.0,105,8.4
"27085","1","924","75","0","2016","2","","McLeod County, Minnesota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,1,29920,0,0,1381,"",1.93,0.18,0.17,0.08,0.17,0.00,0.00,1.22,"",0,0.0,0,0.0,0,0.0,-1,-50.0,1710,6.1,0,0.0,0,0.0,296,27.3
