"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27131","0","10","70","0","2016","1","","Rice County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1459,23716,23809,23975,243037806,145148510,1725458,784,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.5,824,3.6,828,3.6,825,3.6,3714357,1.6,3908300,2.8,-149674,-8.0,-16,-2.0
"27131","0","10","70","0","2016","2","","Rice County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1480,24504,24877,25185,259711723,123762662,1862415,804,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,0.7,693,2.9,678,2.8,758,3.1,7774559,3.1,10761272,9.5,-57897,-3.0,1,0.1
"27131","0","10","70","0","2016","3","","Rice County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1499,24319,24500,25276,277199932,88265750,1412870,863,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",59,4.1,998,4.3,1171,5.0,1206,5.0,27854879,11.2,14598299,19.8,76226,5.7,49,6.0
"27131","0","10","70","0","2016","4","","Rice County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1513,24930,24941,24680,288710424,54335058,684892,894,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",58,4.0,933,3.9,858,3.6,619,2.6,14921388,5.4,1936260,3.7,-100721,-12.8,18,2.1
"27131","1","10","71","0","2016","1","","Rice County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,134,137,137,1660017,0,0,939,"",1.74,0.28,0.29,0.29,0.24,0.00,0.00,0.83,"",0,0.0,6,4.7,6,4.6,6,4.6,-321328,-16.2,0,0.0,0,0.0,-233,-19.9
"27131","1","10","71","0","2016","2","","Rice County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,132,132,136,1537575,0,0,887,"",1.73,0.28,0.27,0.27,0.22,0.00,0.00,0.79,"",0,0.0,0,0.0,-4,-2.9,3,2.3,-167146,-9.8,0,0.0,0,0.0,-94,-9.6
"27131","1","10","71","0","2016","3","","Rice County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,135,138,139,1876365,0,0,1051,"",1.73,0.28,0.28,0.28,0.22,0.00,0.00,0.78,"",0,0.0,-2,-1.5,7,5.3,7,5.3,58201,3.2,0,0.0,0,0.0,2,0.2
"27131","1","10","71","0","2016","4","","Rice County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,131,131,135,1836277,0,0,1067,"",1.72,0.27,0.27,0.28,0.23,0.00,0.00,0.83,"",1,6.7,7,5.6,4,3.1,3,2.3,63655,3.6,0,0.0,0,0.0,-1,-0.1
"27131","1","102","72","0","2016","1","","Rice County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,134,137,137,1660017,0,0,939,"",1.75,0.29,0.30,0.29,0.24,0.00,0.00,0.83,"",0,0.0,6,4.7,6,4.6,6,4.6,-321328,-16.2,0,0.0,0,0.0,-233,-19.9
"27131","1","102","72","0","2016","2","","Rice County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,132,132,136,1537575,0,0,887,"",1.74,0.28,0.28,0.28,0.22,0.00,0.00,0.79,"",0,0.0,0,0.0,-4,-2.9,3,2.3,-167146,-9.8,0,0.0,0,0.0,-94,-9.6
"27131","1","102","72","0","2016","3","","Rice County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,135,138,139,1876365,0,0,1051,"",1.73,0.28,0.29,0.28,0.22,0.00,0.00,0.78,"",0,0.0,-2,-1.5,7,5.3,7,5.3,58201,3.2,0,0.0,0,0.0,2,0.2
"27131","1","102","72","0","2016","4","","Rice County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,131,131,135,1836277,0,0,1067,"",1.73,0.27,0.27,0.28,0.23,0.00,0.00,0.83,"",1,6.7,7,5.6,4,3.1,3,2.3,63655,3.6,0,0.0,0,0.0,-1,-0.1
"27131","1","1021","73","0","2016","1","","Rice County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,94,96,95,1034382,0,0,838,"",1.96,0.82,0.83,0.82,0.86,0.00,0.00,1.04,"",0,0.0,3,3.3,4,4.3,2,2.2,-294882,-22.2,0,0.0,0,0.0,-273,-24.6
"27131","1","1021","73","0","2016","2","","Rice County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,93,96,99,1026106,0,0,822,"",1.95,0.80,0.81,0.83,0.79,0.00,0.00,0.98,"",0,0.0,0,0.0,-1,-1.0,6,6.5,-40837,-3.8,0,0.0,0,0.0,-48,-5.5
"27131","1","1021","73","0","2016","3","","Rice County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,95,96,96,1238269,0,0,996,"",1.95,0.81,0.82,0.80,0.80,0.00,0.00,0.99,"",0,0.0,-3,-3.1,4,4.3,1,1.1,63463,5.4,0,0.0,0,0.0,45,4.7
"27131","1","1021","73","0","2016","4","","Rice County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,95,98,95,1309001,0,0,1049,"",1.94,0.80,0.83,0.78,0.79,0.00,0.00,0.99,"",0,0.0,6,6.7,5,5.4,1,1.1,57753,4.6,0,0.0,0,0.0,3,0.3
"27131","1","1023","73","0","2016","1","","Rice County, Minnesota","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,142148,0,0,1562,"",8.22,3.06,3.09,3.10,2.74,0.00,0.00,0.89,"",0,0.0,2,40.0,2,40.0,2,40.0,31710,28.7,0,0.0,0,0.0,-137,-8.1
"27131","1","1023","73","0","2016","2","","Rice County, Minnesota","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,122451,0,0,1346,"",8.20,3.07,3.06,2.98,2.51,0.00,0.00,0.83,"",0,0.0,1,16.7,0,0.0,-1,-12.5,4876,4.1,0,0.0,0,0.0,54,4.2
