"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27161","0","10","70","0","2016","1","","Waseca County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",473,6259,6246,6256,58179737,40539423,789442,716,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-3.7,-213,-3.3,-200,-3.1,-192,-3.0,-7689011,-11.7,-2300420,-5.4,-21617,-2.7,-69,-8.8
"27161","0","10","70","0","2016","2","","Waseca County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",481,6409,6503,6721,60220018,37029662,777468,708,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.6,-213,-3.2,-262,-3.9,-236,-3.4,-1516778,-2.5,234152,0.6,36491,4.9,8,1.1
"27161","0","10","70","0","2016","3","","Waseca County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",484,6639,6756,6715,67951588,29637616,728455,780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.0,-115,-1.7,-130,-1.9,-87,-1.3,1979405,3.0,2149159,7.8,14843,2.1,35,4.7
"27161","0","10","70","0","2016","4","","Waseca County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",493,6503,6392,6333,64010395,16103235,256872,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,2.5,-141,-2.1,-158,-2.4,-130,-2.0,-5538125,-8.0,-1057022,-6.2,-53394,-17.2,-48,-5.9
"27161","1","10","71","0","2016","1","","Waseca County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,249,250,248,4390655,0,0,1356,"",1.68,2.00,2.02,2.01,2.65,0.00,0.00,1.32,"",-1,-16.7,-12,-4.6,-10,-3.8,-12,-4.6,-244635,-5.3,0,0.0,0,0.0,-14,-1.0
"27161","1","10","71","0","2016","2","","Waseca County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,255,253,251,3740513,0,0,1137,"",1.67,2.03,1.99,1.90,2.26,0.00,0.00,1.15,"",-1,-16.7,-6,-2.3,-8,-3.1,-13,-4.9,-346658,-8.5,0,0.0,0,0.0,-63,-5.2
"27161","1","10","71","0","2016","3","","Waseca County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,256,253,248,4464601,0,0,1361,"",1.67,1.94,1.89,1.88,2.12,0.00,0.00,1.11,"",-1,-16.7,-4,-1.5,-7,-2.7,-10,-3.9,-180821,-3.9,0,0.0,0,0.0,-17,-1.2
"27161","1","10","71","0","2016","4","","Waseca County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,251,253,264,3884342,0,0,1167,"",1.65,1.98,2.03,2.11,2.15,0.00,0.00,1.05,"",-1,-16.7,-3,-1.2,-6,-2.3,6,2.3,-120964,-3.0,0,0.0,0,0.0,-32,-2.7
"27161","1","102","72","0","2016","1","","Waseca County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,249,250,248,4390655,0,0,1356,"",1.68,2.04,2.06,2.04,2.70,0.00,0.00,1.32,"",-1,-16.7,-12,-4.6,-10,-3.8,-12,-4.6,-244635,-5.3,0,0.0,0,0.0,-14,-1.0
"27161","1","102","72","0","2016","2","","Waseca County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,255,253,251,3740513,0,0,1137,"",1.67,2.07,2.03,1.93,2.30,0.00,0.00,1.15,"",-1,-16.7,-6,-2.3,-8,-3.1,-13,-4.9,-346658,-8.5,0,0.0,0,0.0,-63,-5.2
"27161","1","102","72","0","2016","3","","Waseca County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,256,253,248,4464601,0,0,1361,"",1.67,1.97,1.93,1.91,2.16,0.00,0.00,1.11,"",-1,-16.7,-4,-1.5,-7,-2.7,-10,-3.9,-180821,-3.9,0,0.0,0,0.0,-17,-1.2
"27161","1","102","72","0","2016","4","","Waseca County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,251,253,264,3884342,0,0,1167,"",1.65,2.01,2.07,2.15,2.19,0.00,0.00,1.05,"",-1,-16.7,-3,-1.2,-6,-2.3,6,2.3,-120964,-3.0,0,0.0,0,0.0,-32,-2.7
"27161","1","1021","73","0","2016","1","","Waseca County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,43,43,42,469625,0,0,847,"",2.69,1.43,1.43,1.39,1.63,0.00,0.00,1.15,"",0,0.0,2,4.9,2,4.9,0,0.0,-63557,-11.9,0,0.0,0,0.0,-145,-14.6
"27161","1","1021","73","0","2016","2","","Waseca County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,44,42,42,460876,0,0,831,"",2.67,1.45,1.36,1.31,1.53,0.00,0.00,1.12,"",0,0.0,2,4.8,2,5.0,1,2.4,22708,5.2,0,0.0,0,0.0,9,1.1
"27161","1","1021","73","0","2016","3","","Waseca County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,43,42,42,519052,0,0,943,"",2.68,1.35,1.30,1.31,1.37,0.00,0.00,1.04,"",0,0.0,5,13.2,1,2.4,1,2.4,-24805,-4.6,0,0.0,0,0.0,-103,-9.8
