"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27173","0","10","70","0","2016","1","","Yellow Medicine County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",343,4009,3968,4016,34037105,18656048,239439,655,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.1,85,2.2,37,0.9,49,1.2,-132666,-0.4,-63335,-0.3,499,0.2,-12,-1.8
"27173","0","10","70","0","2016","2","","Yellow Medicine County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",345,4041,4154,4193,35963549,16866242,255100,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.8,-25,-0.6,33,0.8,-67,-1.6,773771,2.2,597482,3.7,-915,-0.4,18,2.8
"27173","0","10","70","0","2016","3","","Yellow Medicine County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",342,4009,3935,3965,36994786,11326411,153662,717,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.5,4,0.1,16,0.4,-46,-1.1,1964035,5.6,253548,2.3,-12373,-7.5,40,5.9
"27173","0","10","70","0","2016","4","","Yellow Medicine County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",345,4110,4144,4187,37014465,7413708,81816,687,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,2.7,-37,-0.9,-9,-0.2,-8,-0.2,-1629645,-4.2,-267291,-3.5,-20235,-19.8,-27,-3.8
"27173","1","10","71","0","2016","1","","Yellow Medicine County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,38,37,37,395226,0,0,814,"",4.63,0.48,0.47,0.47,0.41,0.00,0.00,0.87,"",0,0.0,-5,-11.6,-3,-7.5,-5,-11.9,-47291,-10.7,0,0.0,0,0.0,-3,-0.4
"27173","1","10","71","0","2016","2","","Yellow Medicine County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,34,36,36,386940,0,0,842,"",4.65,0.43,0.44,0.44,0.39,0.00,0.00,0.90,"",0,0.0,-7,-17.1,-8,-18.2,-2,-5.3,4940,1.3,0,0.0,0,0.0,125,17.4
"27173","1","10","71","0","2016","3","","Yellow Medicine County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,37,37,37,445580,0,0,926,"",4.73,0.46,0.47,0.47,0.39,0.00,0.00,0.82,"",0,0.0,-4,-9.8,-2,-5.1,-1,-2.6,-6867,-1.5,0,0.0,0,0.0,41,4.6
"27173","1","10","71","0","2016","4","","Yellow Medicine County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,39,38,38,447411,0,0,898,"",4.72,0.49,0.47,0.46,0.43,0.00,0.00,0.91,"",0,0.0,-2,-4.9,1,2.7,-4,-9.5,18869,4.4,0,0.0,0,0.0,74,9.0
"27173","1","102","72","0","2016","1","","Yellow Medicine County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,38,37,37,395226,0,0,814,"",4.64,0.49,0.48,0.47,0.42,0.00,0.00,0.86,"",0,0.0,-5,-11.6,-3,-7.5,-5,-11.9,-47291,-10.7,0,0.0,0,0.0,-3,-0.4
"27173","1","102","72","0","2016","2","","Yellow Medicine County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,34,36,36,386940,0,0,842,"",4.66,0.44,0.45,0.44,0.40,0.00,0.00,0.90,"",0,0.0,-7,-17.1,-8,-18.2,-2,-5.3,4940,1.3,0,0.0,0,0.0,125,17.4
"27173","1","102","72","0","2016","3","","Yellow Medicine County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,37,37,37,445580,0,0,926,"",4.74,0.47,0.48,0.48,0.40,0.00,0.00,0.82,"",0,0.0,-4,-9.8,-2,-5.1,-1,-2.6,-6867,-1.5,0,0.0,0,0.0,41,4.6
"27173","1","102","72","0","2016","4","","Yellow Medicine County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,39,38,38,447411,0,0,898,"",4.73,0.50,0.48,0.47,0.44,0.00,0.00,0.91,"",0,0.0,-2,-4.9,1,2.7,-4,-9.5,18869,4.4,0,0.0,0,0.0,74,9.0
"27173","1","1021","73","0","2016","1","","Yellow Medicine County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,32,31,27,296854,0,0,761,"",6.50,1.66,1.62,1.39,1.76,0.00,0.00,1.13,"",0,0.0,-3,-8.6,-1,-3.1,-3,-10.0,-37299,-11.2,0,0.0,0,0.0,-34,-4.3
"27173","1","1021","73","0","2016","2","","Yellow Medicine County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,29,30,30,289118,0,0,750,"",6.51,1.51,1.52,1.50,1.61,0.00,0.00,1.07,"",0,0.0,-4,-12.1,-3,-9.1,-1,-3.2,5646,2.0,0,0.0,0,0.0,76,11.3
"27173","1","1021","73","0","2016","3","","Yellow Medicine County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,29,27,30,340196,0,0,913,"",6.63,1.51,1.43,1.59,1.65,0.00,0.00,1.09,"",0,0.0,-3,-9.4,-6,-18.2,-2,-6.2,-3798,-1.1,0,0.0,0,0.0,95,11.6
"27173","1","1021","73","0","2016","4","","Yellow Medicine County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,32,29,30,355374,0,0,901,"",6.62,1.64,1.47,1.45,1.68,0.00,0.00,1.10,"",0,0.0,-2,-5.9,-2,-6.5,-3,-9.1,20280,6.1,0,0.0,0,0.0,112,14.2
"27173","1","1028","73","0","2016","1","","Yellow Medicine County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,10,98372,0,0,1032,"",3.41,0.14,0.14,0.23,0.16,0.00,0.00,0.95,"",0,0.0,-2,-25.0,-2,-25.0,-2,-16.7,-9992,-9.2,0,0.0,0,0.0,139,15.6
"27173","1","1028","73","0","2016","2","","Yellow Medicine County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,6,6,97822,0,0,1328,"",3.43,0.12,0.14,0.13,0.16,0.00,0.00,1.26,"",0,0.0,-3,-37.5,-5,-45.5,-1,-14.3,-706,-0.7,0,0.0,0,0.0,453,51.8
"27173","1","1028","73","0","2016","3","","Yellow Medicine County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,10,7,105384,0,0,973,"",3.48,0.18,0.24,0.17,0.15,0.00,0.00,0.77,"",0,0.0,-1,-11.1,4,66.7,1,16.7,-3069,-2.8,0,0.0,0,0.0,-219,-18.4
"27173","1","1028","73","0","2016","4","","Yellow Medicine County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,9,8,92037,0,0,885,"",3.48,0.16,0.21,0.18,0.15,0.00,0.00,0.82,"",0,0.0,0,0.0,3,50.0,-1,-11.1,-1411,-1.5,0,0.0,0,0.0,-95,-9.7
"27173","1","48-49","74","0","2016","1","","Yellow Medicine County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,32,31,27,296854,0,0,761,"",6.68,1.82,1.77,1.53,1.90,0.00,0.00,1.11,"",0,0.0,-3,-8.6,-1,-3.1,-3,-10.0,-37299,-11.2,0,0.0,0,0.0,-34,-4.3
"27173","1","48-49","74","0","2016","2","","Yellow Medicine County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,29,30,30,289118,0,0,750,"",6.70,1.65,1.66,1.64,1.74,0.00,0.00,1.05,"",0,0.0,-4,-12.1,-3,-9.1,-1,-3.2,5646,2.0,0,0.0,0,0.0,76,11.3
"27173","1","48-49","74","0","2016","3","","Yellow Medicine County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,29,27,30,340196,0,0,913,"",6.82,1.65,1.57,1.73,1.76,0.00,0.00,1.07,"",0,0.0,-3,-9.4,-6,-18.2,-2,-6.2,-3798,-1.1,0,0.0,0,0.0,95,11.6
