"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"28029","0","10","70","0","2016","1","","Copiah County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",468,7188,7230,7248,59659346,40719579,261290,635,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.9,212,3.0,258,3.7,200,2.8,3277240,5.8,583888,1.5,-107826,-29.2,15,2.4
"28029","0","10","70","0","2016","2","","Copiah County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",465,7175,7215,7272,60569768,25483209,167113,645,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.4,91,1.3,106,1.5,228,3.2,1869395,3.2,2438941,10.6,-87031,-34.2,7,1.1
"28029","0","10","70","0","2016","3","","Copiah County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",468,7137,7275,7264,64791722,14160978,95431,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.9,287,4.2,328,4.7,327,4.7,6246341,10.7,1861371,15.1,-52416,-35.5,38,5.8
"28029","0","10","70","0","2016","4","","Copiah County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",467,7081,7074,7074,64904500,8411482,59020,706,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.9,-66,-0.9,-19,-0.3,-86,-1.2,1072923,1.7,-85634,-1.0,-60309,-50.5,18,2.6
"28029","1","10","71","0","2016","1","","Copiah County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,71,72,72,897430,0,0,963,"",3.39,0.50,0.50,0.50,0.53,0.00,0.00,1.06,"",-1,-9.1,-3,-4.1,-2,-2.7,-2,-2.7,-100107,-10.0,0,0.0,0,0.0,-74,-7.1
"28029","1","10","71","0","2016","2","","Copiah County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,77,72,72,816195,0,0,852,"",3.45,0.55,0.51,0.50,0.49,0.00,0.00,0.94,"",-1,-9.1,5,6.9,0,0.0,0,0.0,-30183,-3.6,0,0.0,0,0.0,-52,-5.8
"28029","1","10","71","0","2016","3","","Copiah County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,71,67,67,940973,0,0,1059,"",3.46,0.50,0.47,0.47,0.47,0.00,0.00,0.98,"",0,0.0,-1,-1.4,-7,-9.5,-4,-5.6,-32737,-3.4,0,0.0,0,0.0,24,2.3
"28029","1","10","71","0","2016","4","","Copiah County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,67,63,72,876716,0,0,1002,"",3.49,0.48,0.46,0.52,0.48,0.00,0.00,0.99,"",0,0.0,-4,-5.6,-6,-8.7,-2,-2.7,-32974,-3.6,0,0.0,0,0.0,21,2.1
"28029","1","102","72","0","2016","1","","Copiah County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,71,72,72,897430,0,0,963,"",3.40,0.51,0.51,0.51,0.54,0.00,0.00,1.05,"",-1,-9.1,-3,-4.1,-2,-2.7,-2,-2.7,-100107,-10.0,0,0.0,0,0.0,-74,-7.1
"28029","1","102","72","0","2016","2","","Copiah County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,77,72,72,816195,0,0,852,"",3.45,0.56,0.52,0.51,0.50,0.00,0.00,0.94,"",-1,-9.1,5,6.9,0,0.0,0,0.0,-30183,-3.6,0,0.0,0,0.0,-52,-5.8
"28029","1","102","72","0","2016","3","","Copiah County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,71,67,67,940973,0,0,1059,"",3.46,0.51,0.47,0.48,0.48,0.00,0.00,0.98,"",0,0.0,-1,-1.4,-7,-9.5,-4,-5.6,-32737,-3.4,0,0.0,0,0.0,24,2.3
"28029","1","102","72","0","2016","4","","Copiah County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,67,63,72,876716,0,0,1002,"",3.49,0.49,0.47,0.53,0.49,0.00,0.00,0.99,"",0,0.0,-4,-5.6,-6,-8.7,-2,-2.7,-32974,-3.6,0,0.0,0,0.0,21,2.1
"28029","1","1021","73","0","2016","1","","Copiah County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,46,46,46,484279,0,0,810,"",3.40,1.33,1.32,1.32,1.64,0.00,0.00,1.24,"",0,0.0,-2,-4.2,-1,-2.1,-1,-2.1,-87762,-15.3,0,0.0,0,0.0,-120,-12.9
"28029","1","1021","73","0","2016","2","","Copiah County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,46,47,47,467581,0,0,771,"",3.45,1.35,1.37,1.36,1.55,0.00,0.00,1.14,"",0,0.0,0,0.0,1,2.2,2,4.4,-25996,-5.3,0,0.0,0,0.0,-60,-7.2
"28029","1","1021","73","0","2016","3","","Copiah County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,46,43,43,545313,0,0,953,"",3.46,1.34,1.23,1.24,1.51,0.00,0.00,1.18,"",0,0.0,0,0.0,-2,-4.4,-2,-4.4,-25992,-4.5,0,0.0,0,0.0,-16,-1.7
"28029","1","1021","73","0","2016","4","","Copiah County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,45,41,44,544240,0,0,966,"",3.49,1.34,1.22,1.26,1.47,0.00,0.00,1.15,"",0,0.0,0,0.0,-4,-8.9,-2,-4.3,-29232,-5.1,0,0.0,0,0.0,-7,-0.7
