"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"28077","0","10","70","0","2016","1","","Lawrence County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",188,2475,2489,2468,26242801,15364048,65487,815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-6.9,-134,-5.1,-93,-3.6,-83,-3.3,-1265002,-4.6,-611946,-3.8,-91792,-58.4,-5,-0.6
"28077","0","10","70","0","2016","2","","Lawrence County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",187,2500,2505,2477,27062439,5208494,31911,835,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-5.1,-74,-2.9,-177,-6.6,-23,-0.9,-1246625,-4.4,-274189,-5.0,-26143,-45.0,-7,-0.8
"28077","0","10","70","0","2016","3","","Lawrence County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",186,2444,2410,2482,25946424,2709890,13678,816,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-2.1,-67,-2.7,-142,-5.6,-91,-3.5,366221,1.4,-159420,-5.6,-22211,-61.9,43,5.6
"28077","0","10","70","0","2016","4","","Lawrence County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",185,2469,2461,2453,25293097,1848909,11812,791,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-2.1,-131,-5.0,-78,-3.1,-138,-5.3,-4133866,-14.0,-742105,-28.6,-15812,-57.2,-88,-10.0
"28077","1","10","71","0","2016","1","","Lawrence County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,42,40,398926,0,0,761,"",6.76,0.79,0.85,0.82,0.53,0.00,0.00,0.65,"",-1,-11.1,-2,-4.9,1,2.4,-1,-2.4,-98642,-19.8,0,0.0,0,0.0,-173,-18.5
"28077","1","10","71","0","2016","2","","Lawrence County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,37,39,389082,0,0,781,"",6.86,0.80,0.76,0.80,0.52,0.00,0.00,0.67,"",-1,-11.1,0,0.0,-2,-5.1,0,0.0,-44549,-10.3,0,0.0,0,0.0,-74,-8.7
"28077","1","10","71","0","2016","3","","Lawrence County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,40,40,41,456941,0,0,871,"",6.95,0.82,0.84,0.84,0.57,0.00,0.00,0.68,"",0,0.0,1,2.6,0,0.0,1,2.5,-9055,-1.9,0,0.0,0,0.0,-33,-3.7
"28077","1","10","71","0","2016","4","","Lawrence County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,40,41,479486,0,0,922,"",7.04,0.81,0.83,0.85,0.67,0.00,0.00,0.81,"",0,0.0,0,0.0,2,5.3,1,2.5,28850,6.4,0,0.0,0,0.0,33,3.7
"28077","1","102","72","0","2016","1","","Lawrence County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,39,42,40,398926,0,0,761,"",6.77,0.81,0.87,0.84,0.54,0.00,0.00,0.65,"",-1,-11.1,-2,-4.9,1,2.4,-1,-2.4,-98642,-19.8,0,0.0,0,0.0,-173,-18.5
"28077","1","102","72","0","2016","2","","Lawrence County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,39,37,39,389082,0,0,781,"",6.87,0.81,0.77,0.82,0.53,0.00,0.00,0.67,"",-1,-11.1,0,0.0,-2,-5.1,0,0.0,-44549,-10.3,0,0.0,0,0.0,-74,-8.7
"28077","1","102","72","0","2016","3","","Lawrence County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,40,40,41,456941,0,0,871,"",6.97,0.84,0.85,0.86,0.58,0.00,0.00,0.68,"",0,0.0,1,2.6,0,0.0,1,2.5,-9055,-1.9,0,0.0,0,0.0,-33,-3.7
"28077","1","102","72","0","2016","4","","Lawrence County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,39,40,41,479486,0,0,922,"",7.06,0.82,0.85,0.86,0.68,0.00,0.00,0.81,"",0,0.0,0,0.0,2,5.3,1,2.5,28850,6.4,0,0.0,0,0.0,33,3.7
"28077","1","1021","73","0","2016","1","","Lawrence County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,36,34,304856,0,0,683,"",10.16,2.77,2.99,2.86,2.35,0.00,0.00,0.82,"",0,0.0,3,10.0,5,16.1,2,6.2,-56154,-15.6,0,0.0,0,0.0,-213,-23.8
"28077","1","1021","73","0","2016","2","","Lawrence County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,31,33,308306,0,0,733,"",10.29,2.78,2.60,2.80,2.28,0.00,0.00,0.84,"",0,0.0,2,6.5,0,0.0,1,3.1,-8469,-2.7,0,0.0,0,0.0,-45,-5.8
"28077","1","1021","73","0","2016","3","","Lawrence County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,34,34,35,362418,0,0,812,"",10.45,2.90,2.94,2.96,2.50,0.00,0.00,0.85,"",0,0.0,2,6.2,1,3.0,2,6.1,-7747,-2.1,0,0.0,0,0.0,-60,-6.9
"28077","1","1021","73","0","2016","4","","Lawrence County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,34,35,386625,0,0,875,"",10.58,2.81,2.91,2.89,2.67,0.00,0.00,0.93,"",0,0.0,0,0.0,2,6.2,2,6.1,27686,7.7,0,0.0,0,0.0,30,3.6
