"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"28101","0","10","70","0","2016","1","","Newton County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",346,5793,5835,5813,42747997,25070780,111773,566,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.6,-79,-1.3,-77,-1.3,-94,-1.6,-1033255,-2.4,-628148,-2.4,-69585,-38.4,-5,-0.9
"28101","0","10","70","0","2016","2","","Newton County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",341,5773,5727,5594,44548729,14900831,76980,601,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.6,-212,-3.5,-190,-3.2,-246,-4.2,-1220845,-2.7,-338562,-2.2,-39135,-33.7,6,1.0
"28101","0","10","70","0","2016","3","","Newton County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",345,5519,5558,5616,43431306,7356643,39777,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-233,-4.1,-178,-3.1,-131,-2.3,1363403,3.2,667076,10.0,-14073,-26.1,37,6.6
"28101","0","10","70","0","2016","4","","Newton County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",352,5624,5662,5835,44718455,5412029,31306,603,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,2.6,-170,-2.9,-128,-2.2,-63,-1.1,-2340090,-5.0,-125305,-2.3,-13372,-29.9,-18,-2.9
"28101","1","10","71","0","2016","1","","Newton County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,73,78,73,851556,0,0,877,"",6.43,0.63,0.68,0.64,0.70,0.00,0.00,1.08,"",-1,-6.7,-5,-6.4,3,4.0,0,0.0,-136827,-13.8,0,0.0,0,0.0,-132,-13.1
"28101","1","10","71","0","2016","2","","Newton County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,76,74,72,798067,0,0,830,"",6.58,0.67,0.66,0.65,0.65,0.00,0.00,0.99,"",-1,-6.7,-1,-1.3,1,1.4,-5,-6.5,-103469,-11.5,0,0.0,0,0.0,-87,-9.5
"28101","1","10","71","0","2016","3","","Newton County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,78,72,83,999031,0,0,989,"",7.03,0.71,0.65,0.75,0.74,0.00,0.00,1.05,"",1,7.1,8,11.4,-6,-7.7,12,16.9,95544,10.6,0,0.0,0,0.0,37,3.9
"28101","1","10","71","0","2016","4","","Newton County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,79,84,85,891910,0,0,830,"",6.94,0.72,0.76,0.74,0.71,0.00,0.00,0.96,"",1,7.1,10,14.5,19,29.2,13,18.1,73585,9.0,0,0.0,0,0.0,-87,-9.5
"28101","1","102","72","0","2016","1","","Newton County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,73,78,73,851556,0,0,877,"",6.44,0.65,0.69,0.65,0.71,0.00,0.00,1.08,"",-1,-6.7,-5,-6.4,3,4.0,0,0.0,-136827,-13.8,0,0.0,0,0.0,-132,-13.1
"28101","1","102","72","0","2016","2","","Newton County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,76,74,72,798067,0,0,830,"",6.60,0.68,0.67,0.67,0.66,0.00,0.00,0.99,"",-1,-6.7,-1,-1.3,1,1.4,-5,-6.5,-103469,-11.5,0,0.0,0,0.0,-87,-9.5
