"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"28113","0","10","70","0","2016","1","","Pike County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1009,14702,14749,14856,111849194,67549106,315396,583,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,104,0.7,47,0.3,104,0.7,2451619,2.2,422387,0.6,-231347,-42.3,10,1.7
"28113","0","10","70","0","2016","2","","Pike County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1011,14759,14857,14854,112189169,43534829,215533,582,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,-73,-0.5,-103,-0.7,3,0.0,-541423,-0.5,664778,1.6,-160026,-42.6,-1,-0.2
"28113","0","10","70","0","2016","3","","Pike County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1021,14475,14734,14768,119336616,24797919,124453,626,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,1.3,-63,-0.4,-89,-0.6,-57,-0.4,6787776,6.0,988165,4.2,-71248,-36.4,38,6.5
"28113","0","10","70","0","2016","4","","Pike County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1021,14699,14927,14950,117537564,17281920,92128,608,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,0.9,-15,-0.1,46,0.3,-42,-0.3,-6067732,-4.9,-430116,-2.4,-70237,-43.3,-32,-5.0
"28113","1","10","71","0","2016","1","","Pike County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,106,106,110,1477230,0,0,1059,"",2.05,0.36,0.36,0.37,0.46,0.00,0.00,1.26,"",-2,-13.3,-4,-3.6,-5,-4.5,0,0.0,-164138,-10.0,0,0.0,0,0.0,-85,-7.4
"28113","1","10","71","0","2016","2","","Pike County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,113,122,117,1423632,0,0,933,"",2.06,0.39,0.42,0.40,0.46,0.00,0.00,1.14,"",-2,-13.3,-1,-0.9,9,8.0,4,3.5,56925,4.2,0,0.0,0,0.0,5,0.5
"28113","1","10","71","0","2016","3","","Pike County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,118,112,116,1699461,0,0,1133,"",2.06,0.41,0.38,0.40,0.46,0.00,0.00,1.15,"",0,0.0,10,9.3,1,0.9,7,6.4,62788,3.8,0,0.0,0,0.0,-19,-1.6
"28113","1","10","71","0","2016","4","","Pike County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,117,111,111,1479880,0,0,1007,"",2.07,0.41,0.38,0.38,0.45,0.00,0.00,1.15,"",0,0.0,6,5.4,-1,-0.9,0,0.0,-25842,-1.7,0,0.0,0,0.0,-33,-3.2
"28113","1","102","72","0","2016","1","","Pike County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,106,106,110,1477230,0,0,1059,"",2.05,0.37,0.37,0.38,0.47,0.00,0.00,1.26,"",-2,-13.3,-4,-3.6,-5,-4.5,0,0.0,-164138,-10.0,0,0.0,0,0.0,-85,-7.4
"28113","1","102","72","0","2016","2","","Pike County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,113,122,117,1423632,0,0,933,"",2.07,0.40,0.43,0.41,0.47,0.00,0.00,1.14,"",-2,-13.3,-1,-0.9,9,8.0,4,3.5,56925,4.2,0,0.0,0,0.0,5,0.5
"28113","1","102","72","0","2016","3","","Pike County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,118,112,116,1699461,0,0,1133,"",2.06,0.42,0.39,0.41,0.47,0.00,0.00,1.16,"",0,0.0,10,9.3,1,0.9,7,6.4,62788,3.8,0,0.0,0,0.0,-19,-1.6
"28113","1","102","72","0","2016","4","","Pike County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,117,111,111,1479880,0,0,1007,"",2.08,0.42,0.39,0.38,0.45,0.00,0.00,1.15,"",0,0.0,6,5.4,-1,-0.9,0,0.0,-25842,-1.7,0,0.0,0,0.0,-33,-3.2
"28113","1","1021","73","0","2016","1","","Pike County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,57,58,60,687922,0,0,907,"",1.58,0.81,0.81,0.84,1.24,0.00,0.00,1.52,"",0,0.0,-3,-5.0,-1,-1.7,3,5.3,-140927,-17.0,0,0.0,0,0.0,-180,-16.6
"28113","1","1021","73","0","2016","2","","Pike County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,60,62,61,714560,0,0,901,"",1.59,0.86,0.88,0.86,1.28,0.00,0.00,1.48,"",0,0.0,-2,-3.2,3,5.1,2,3.4,20507,3.0,0,0.0,0,0.0,11,1.2
"28113","1","1021","73","0","2016","3","","Pike County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,64,58,60,826075,0,0,1047,"",1.59,0.92,0.82,0.85,1.24,0.00,0.00,1.43,"",0,0.0,7,12.3,-1,-1.7,2,3.4,15847,2.0,0,0.0,0,0.0,-28,-2.6
"28113","1","1021","73","0","2016","4","","Pike County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,62,60,60,789685,0,0,1001,"",1.60,0.89,0.85,0.81,1.17,0.00,0.00,1.38,"",0,0.0,1,1.6,1,1.7,1,1.7,-26301,-3.2,0,0.0,0,0.0,-51,-4.8
"28113","1","1023","73","0","2016","1","","Pike County, Mississippi","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,36039,0,0,1386,"",11.88,1.41,1.42,1.43,1.51,0.00,0.00,1.06,"",0,0.0,0,0.0,0,0.0,0,0.0,549,1.5,0,0.0,0,0.0,21,1.5
"28113","1","1023","73","0","2016","2","","Pike County, Mississippi","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,50592,0,0,1297,"",12.01,2.18,2.20,2.16,2.40,0.00,0.00,1.10,"",0,0.0,1,50.0,1,50.0,1,50.0,19408,62.2,0,0.0,0,0.0,98,8.2
"28113","1","1023","73","0","2016","3","","Pike County, Mississippi","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,59924,0,0,1537,"",11.99,2.22,2.20,2.24,2.48,0.00,0.00,1.12,"",0,0.0,1,50.0,1,50.0,1,50.0,24185,67.7,0,0.0,0,0.0,162,11.8
"28113","1","1023","73","0","2016","4","","Pike County, Mississippi","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,2,30994,0,0,894,"",12.06,2.25,2.22,1.48,1.53,0.00,0.00,0.77,"",0,0.0,1,50.0,1,50.0,0,0.0,360,1.2,0,0.0,0,0.0,-284,-24.1
