"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"28115","0","10","70","0","2016","1","","Pontotoc County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",515,12823,12913,12993,100259291,80460022,469464,597,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.6,752,6.2,702,5.7,722,5.9,6623725,7.1,4910534,6.5,-232066,-33.1,6,1.0
"28115","0","10","70","0","2016","2","","Pontotoc County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",509,12611,12414,12407,103243081,49874087,295878,636,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.0,239,1.9,-37,-0.3,-53,-0.4,3924618,4.0,515175,1.0,-178028,-37.6,21,3.4
"28115","0","10","70","0","2016","3","","Pontotoc County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",510,12437,12600,12654,99069154,20443545,128077,607,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,62,0.5,249,2.0,203,1.6,6897445,7.5,-140736,-0.7,-82313,-39.1,35,6.1
"28115","0","10","70","0","2016","4","","Pontotoc County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",516,12576,12544,12690,108120366,16075141,99076,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.4,66,0.5,-9,-0.1,-23,-0.2,-1775498,-1.6,-1432862,-8.2,-81988,-45.3,-11,-1.6
"28115","1","10","71","0","2016","1","","Pontotoc County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,47,47,49,550545,0,0,888,"",2.47,0.18,0.18,0.19,0.19,0.00,0.00,1.04,"",-2,-20.0,-1,-2.1,-1,-2.1,2,4.3,-50355,-8.4,0,0.0,0,0.0,-82,-8.5
"28115","1","10","71","0","2016","2","","Pontotoc County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,46,48,48,544244,0,0,884,"",2.52,0.19,0.20,0.20,0.19,0.00,0.00,0.99,"",-2,-20.0,-5,-9.8,0,0.0,-1,-2.0,4922,0.9,0,0.0,0,0.0,43,5.1
"28115","1","10","71","0","2016","3","","Pontotoc County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,48,51,47,630236,0,0,996,"",2.54,0.19,0.20,0.19,0.21,0.00,0.00,1.05,"",-1,-11.1,1,2.1,-3,-5.6,-1,-2.1,17159,2.8,0,0.0,0,0.0,46,4.8
"28115","1","10","71","0","2016","4","","Pontotoc County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,49,50,52,636219,0,0,972,"",2.52,0.20,0.20,0.21,0.21,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,-1,-1.9,16556,2.7,0,0.0,0,0.0,31,3.3
"28115","1","102","72","0","2016","1","","Pontotoc County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,47,47,49,550545,0,0,888,"",2.47,0.19,0.19,0.19,0.20,0.00,0.00,1.03,"",-2,-20.0,-1,-2.1,-1,-2.1,2,4.3,-50355,-8.4,0,0.0,0,0.0,-82,-8.5
"28115","1","102","72","0","2016","2","","Pontotoc County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,46,48,48,544244,0,0,884,"",2.53,0.19,0.20,0.20,0.20,0.00,0.00,0.99,"",-2,-20.0,-5,-9.8,0,0.0,-1,-2.0,4922,0.9,0,0.0,0,0.0,43,5.1
