"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"28153","0","10","70","0","2016","1","","Wayne County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",421,4826,4869,4866,39287206,25324357,187684,623,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,-73,-1.5,-80,-1.6,-33,-0.7,-720237,-1.8,-641108,-2.5,-68868,-26.8,-3,-0.5
"28153","0","10","70","0","2016","2","","Wayne County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",415,4872,4864,4836,42480066,14922553,113133,673,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-73,-1.5,-93,-1.9,-45,-0.9,1467283,3.6,104864,0.7,-35419,-23.8,33,5.2
"28153","0","10","70","0","2016","3","","Wayne County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",426,4835,4884,4943,40442249,8111716,51416,637,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,2.4,58,1.2,26,0.5,118,2.4,1843977,4.8,430101,5.6,-16207,-24.0,21,3.4
"28153","0","10","70","0","2016","4","","Wayne County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",422,4891,4877,4901,41966617,6020719,44517,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.7,108,2.3,71,1.5,86,1.8,430610,1.0,502920,9.1,-4996,-10.1,-5,-0.8
"28153","1","10","71","0","2016","1","","Wayne County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,34,36,35,409298,0,0,900,"",2.26,0.35,0.37,0.36,0.37,0.00,0.00,1.01,"",-1,-14.3,-8,-19.0,-1,-2.7,2,6.1,-34446,-7.8,0,0.0,0,0.0,-14,-1.5
"28153","1","10","71","0","2016","2","","Wayne County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,40,35,35,375991,0,0,789,"",2.32,0.42,0.37,0.37,0.32,0.00,0.00,0.84,"",-1,-14.3,5,14.3,1,2.9,2,6.1,-11211,-2.9,0,0.0,0,0.0,-87,-9.9
"28153","1","10","71","0","2016","3","","Wayne County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,34,34,37,430766,0,0,947,"",2.28,0.35,0.35,0.38,0.34,0.00,0.00,0.95,"",0,0.0,0,0.0,-7,-17.1,2,5.7,-28153,-6.1,0,0.0,0,0.0,-16,-1.7
"28153","1","10","71","0","2016","4","","Wayne County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,38,33,38,415823,0,0,880,"",2.32,0.40,0.35,0.39,0.35,0.00,0.00,0.93,"",0,0.0,-4,-9.5,-1,-2.9,-1,-2.6,-26191,-5.9,0,0.0,0,0.0,-7,-0.8
"28153","1","102","72","0","2016","1","","Wayne County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,34,36,35,409298,0,0,900,"",2.27,0.36,0.38,0.37,0.37,0.00,0.00,1.00,"",-1,-14.3,-8,-19.0,-1,-2.7,2,6.1,-34446,-7.8,0,0.0,0,0.0,-14,-1.5
"28153","1","102","72","0","2016","2","","Wayne County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,40,35,35,375991,0,0,789,"",2.32,0.43,0.37,0.37,0.33,0.00,0.00,0.84,"",-1,-14.3,5,14.3,1,2.9,2,6.1,-11211,-2.9,0,0.0,0,0.0,-87,-9.9
"28153","1","102","72","0","2016","3","","Wayne County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,34,34,37,430766,0,0,947,"",2.28,0.36,0.36,0.39,0.35,0.00,0.00,0.95,"",0,0.0,0,0.0,-7,-17.1,2,5.7,-28153,-6.1,0,0.0,0,0.0,-16,-1.7
"28153","1","102","72","0","2016","4","","Wayne County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,38,33,38,415823,0,0,880,"",2.32,0.41,0.35,0.40,0.36,0.00,0.00,0.93,"",0,0.0,-4,-9.5,-1,-2.9,-1,-2.6,-26191,-5.9,0,0.0,0,0.0,-7,-0.8
"28153","1","1021","73","0","2016","1","","Wayne County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,27,30,30,289782,0,0,769,"",2.27,1.16,1.28,1.28,1.49,0.00,0.00,1.20,"",0,0.0,-3,-10.0,1,3.4,4,15.4,-37575,-11.5,0,0.0,0,0.0,-120,-13.5
"28153","1","1021","73","0","2016","2","","Wayne County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,30,30,30,290202,0,0,744,"",2.32,1.30,1.30,1.30,1.37,0.00,0.00,1.05,"",0,0.0,2,7.1,3,11.1,4,15.4,6256,2.2,0,0.0,0,0.0,-65,-8.0
"28153","1","1021","73","0","2016","3","","Wayne County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,29,29,32,348274,0,0,893,"",2.28,1.25,1.24,1.36,1.54,0.00,0.00,1.20,"",0,0.0,2,7.4,0,0.0,4,14.3,11130,3.3,0,0.0,0,0.0,-33,-3.6
"28153","1","1021","73","0","2016","4","","Wayne County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,28,28,29,336280,0,0,913,"",2.32,1.21,1.21,1.20,1.40,0.00,0.00,1.16,"",0,0.0,-1,-3.4,1,3.7,2,7.4,-649,-0.2,0,0.0,0,0.0,-24,-2.6
"28153","1","1028","73","0","2016","1","","Wayne County, Mississippi","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,6,5,119516,0,0,1532,"",2.78,0.13,0.11,0.10,0.17,0.00,0.00,1.49,"",-1,-25.0,-5,-41.7,-2,-25.0,-2,-28.6,3129,2.7,0,0.0,0,0.0,537,54.0
"28153","1","1028","73","0","2016","2","","Wayne County, Mississippi","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,5,5,85789,0,0,990,"",2.85,0.19,0.10,0.10,0.12,0.00,0.00,0.93,"",-1,-25.0,3,42.9,-2,-28.6,-2,-28.6,-17467,-16.9,0,0.0,0,0.0,-145,-12.8
