"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29009","0","10","70","0","2016","1","","Barry County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",860,13632,13822,13892,118319855,85914162,1359233,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.6,179,1.3,287,2.1,352,2.6,5165204,4.6,4746911,5.8,31004,2.3,16,2.5
"29009","0","10","70","0","2016","2","","Barry County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",860,14082,14119,14150,126648387,46152434,756004,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,330,2.4,334,2.4,304,2.2,7542932,6.3,389590,0.9,7392,1.0,26,3.9
"29009","0","10","70","0","2016","3","","Barry County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",845,13812,13803,14407,141634777,21416324,315677,778,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-1.6,479,3.6,319,2.4,519,3.7,17411868,14.0,1293320,6.4,-6958,-2.2,74,10.5
"29009","0","10","70","0","2016","4","","Barry County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",855,14431,14502,14353,134785860,15450337,227558,719,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.5,622,4.5,651,4.7,522,3.8,4667036,3.6,1253595,8.8,-12542,-5.2,-5,-0.7
"29009","1","10","71","0","2016","1","","Barry County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,99,107,107,1270954,0,0,937,"",2.40,0.37,0.39,0.39,0.38,0.00,0.00,0.99,"",-2,-13.3,-9,-8.3,4,3.9,1,0.9,-171869,-11.9,0,0.0,0,0.0,-113,-10.8
"29009","1","10","71","0","2016","2","","Barry County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,106,105,107,1161492,0,0,843,"",2.42,0.38,0.38,0.38,0.33,0.00,0.00,0.87,"",-1,-7.1,-2,-1.9,2,1.9,3,2.9,-34751,-2.9,0,0.0,0,0.0,-33,-3.8
"29009","1","10","71","0","2016","3","","Barry County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,107,106,101,1393012,0,0,1024,"",2.49,0.39,0.39,0.36,0.32,0.00,0.00,0.84,"",0,0.0,4,3.9,7,7.1,0,0.0,-19114,-1.4,0,0.0,0,0.0,-51,-4.7
"29009","1","10","71","0","2016","4","","Barry County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,101,97,99,1295030,0,0,1006,"",2.48,0.36,0.34,0.35,0.34,0.00,0.00,0.97,"",0,0.0,-1,-1.0,-6,-5.8,-5,-4.8,-30072,-2.3,0,0.0,0,0.0,16,1.6
"29009","1","102","72","0","2016","1","","Barry County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,99,107,107,1270954,0,0,937,"",2.41,0.37,0.40,0.40,0.38,0.00,0.00,0.99,"",-2,-13.3,-9,-8.3,4,3.9,1,0.9,-171869,-11.9,0,0.0,0,0.0,-113,-10.8
"29009","1","102","72","0","2016","2","","Barry County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,106,105,107,1161492,0,0,843,"",2.43,0.39,0.39,0.39,0.34,0.00,0.00,0.87,"",-1,-7.1,-2,-1.9,2,1.9,3,2.9,-34751,-2.9,0,0.0,0,0.0,-33,-3.8
