"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29047","0","10","70","0","2016","1","","Clay County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5474,98492,98965,100025,1153735244,658127400,12510234,895,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",112,2.1,4675,5.0,4918,5.2,4826,5.1,66350995,6.1,48172413,7.9,-1036459,-7.7,9,1.0
"29047","0","10","70","0","2016","2","","Clay County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5519,102710,102890,103986,1180543876,254432100,4417854,880,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",162,3.0,5684,5.9,4730,4.8,5272,5.3,66624254,6.0,8164989,3.3,-623069,-12.4,5,0.6
"29047","0","10","70","0","2016","3","","Clay County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5518,101719,103315,104798,1205962571,158413061,2818897,898,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",105,1.9,4738,4.9,5674,5.8,5594,5.6,115914114,10.6,12664928,8.7,-34622,-1.2,42,4.9
"29047","0","10","70","0","2016","4","","Clay County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5578,105338,104940,104095,1254329313,124832633,2263962,921,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",122,2.2,4704,4.7,5172,5.2,4492,4.5,-53796032,-4.1,951937,0.8,-268279,-10.6,-85,-8.4
"29047","1","10","71","0","2016","1","","Clay County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,1284,1284,1280,26790328,0,0,1607,"",0.90,0.66,0.66,0.65,0.82,0.00,0.00,1.25,"",0,0.0,39,3.1,17,1.3,23,1.8,58455,0.2,0,0.0,0,0.0,-30,-1.8
"29047","1","10","71","0","2016","2","","Clay County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,1282,1289,1288,23927577,0,0,1431,"",0.90,0.64,0.64,0.63,0.74,0.00,0.00,1.16,"",0,0.0,6,0.5,27,2.1,25,2.0,620516,2.7,0,0.0,0,0.0,16,1.1
"29047","1","10","71","0","2016","3","","Clay County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,1286,1277,1291,28069923,0,0,1681,"",0.91,0.64,0.62,0.63,0.75,0.00,0.00,1.19,"",0,0.0,13,1.0,2,0.2,22,1.7,519332,1.9,0,0.0,0,0.0,15,0.9
"29047","1","10","71","0","2016","4","","Clay County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,1294,1301,1310,26277134,0,0,1553,"",0.90,0.63,0.64,0.64,0.74,0.00,0.00,1.17,"",-1,-3.1,12,0.9,17,1.3,33,2.6,1201599,4.8,0,0.0,0,0.0,47,3.1
"29047","1","102","72","0","2016","1","","Clay County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,1284,1284,1280,26790328,0,0,1607,"",0.90,0.67,0.67,0.66,0.83,0.00,0.00,1.25,"",0,0.0,39,3.1,17,1.3,23,1.8,58455,0.2,0,0.0,0,0.0,-30,-1.8
"29047","1","102","72","0","2016","2","","Clay County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,1282,1289,1288,23927577,0,0,1431,"",0.90,0.65,0.65,0.64,0.75,0.00,0.00,1.16,"",0,0.0,6,0.5,27,2.1,25,2.0,620516,2.7,0,0.0,0,0.0,16,1.1
