"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29059","0","10","70","0","2016","1","","Dallas County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",291,2333,2403,2496,13933690,8223134,145588,445,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.7,19,0.8,17,0.7,79,3.3,67205,0.5,391662,5.0,-17859,-10.9,-5,-1.1
"29059","0","10","70","0","2016","2","","Dallas County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",298,2498,2532,2578,16673613,6383864,137317,506,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,5.3,12,0.5,6,0.2,-25,-1.0,-11987,-0.1,166089,2.7,-14845,-9.8,0,0.0
"29059","0","10","70","0","2016","3","","Dallas County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",296,2281,2295,2527,16135334,4157646,121804,524,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.7,73,3.3,64,2.9,6,0.2,2121482,15.1,81162,2.0,-2535,-2.0,59,12.7
"29059","0","10","70","0","2016","4","","Dallas County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",296,2488,2385,2366,15860900,2458978,48112,506,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.4,-1,0.0,28,1.2,29,1.2,-125897,-0.8,-86202,-3.4,-6875,-12.5,-8,-1.6
"29059","1","10","71","0","2016","1","","Dallas County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,37,32,33,320476,0,0,725,"",3.82,0.80,0.67,0.67,0.81,0.00,0.00,1.13,"",0,0.0,-2,-5.1,-6,-15.8,-4,-10.8,-107761,-25.2,0,0.0,0,0.0,-142,-16.4
"29059","1","10","71","0","2016","2","","Dallas County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,32,33,32,319477,0,0,760,"",3.77,0.65,0.67,0.63,0.70,0.00,0.00,1.07,"",0,0.0,-6,-15.8,-6,-15.4,-7,-17.9,-42276,-11.7,0,0.0,0,0.0,40,5.6
"29059","1","10","71","0","2016","3","","Dallas County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,33,33,33,382203,0,0,891,"",3.82,0.73,0.73,0.66,0.76,0.00,0.00,1.08,"",0,0.0,-5,-13.2,-4,-10.8,-3,-8.3,-25865,-6.3,0,0.0,0,0.0,43,5.1
"29059","1","10","71","0","2016","4","","Dallas County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,31,33,33,377541,0,0,898,"",3.85,0.64,0.71,0.71,0.84,0.00,0.00,1.23,"",0,0.0,-6,-16.2,-1,-2.9,-2,-5.7,12334,3.4,0,0.0,0,0.0,103,13.0
"29059","1","102","72","0","2016","1","","Dallas County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,37,32,33,320476,0,0,725,"",3.83,0.81,0.68,0.68,0.82,0.00,0.00,1.13,"",0,0.0,-2,-5.1,-6,-15.8,-4,-10.8,-107761,-25.2,0,0.0,0,0.0,-142,-16.4
"29059","1","102","72","0","2016","2","","Dallas County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,32,33,32,319477,0,0,760,"",3.77,0.67,0.68,0.64,0.71,0.00,0.00,1.07,"",0,0.0,-6,-15.8,-6,-15.4,-7,-17.9,-42276,-11.7,0,0.0,0,0.0,40,5.6
"29059","1","102","72","0","2016","3","","Dallas County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,33,33,33,382203,0,0,891,"",3.83,0.74,0.74,0.68,0.78,0.00,0.00,1.09,"",0,0.0,-5,-13.2,-4,-10.8,-3,-8.3,-25865,-6.3,0,0.0,0,0.0,43,5.1
"29059","1","102","72","0","2016","4","","Dallas County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,31,33,33,377541,0,0,898,"",3.86,0.65,0.72,0.72,0.86,0.00,0.00,1.23,"",0,0.0,-6,-16.2,-1,-2.9,-2,-5.7,12334,3.4,0,0.0,0,0.0,103,13.0
