"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29061","0","10","70","0","2016","1","","Daviess County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",207,1493,1504,1516,9454326,5807350,75053,483,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,4.5,61,4.3,77,5.4,43,2.9,637047,7.2,393466,7.3,-168,-0.2,13,2.8
"29061","0","10","70","0","2016","2","","Daviess County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",203,1547,1568,1600,11333494,4048047,59685,555,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,-13,-0.8,10,0.6,24,1.5,601523,5.6,46711,1.2,-4950,-7.7,27,5.1
"29061","0","10","70","0","2016","3","","Daviess County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",203,1321,1341,1566,9423495,2339890,38739,514,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.0,4,0.3,-5,-0.4,18,1.2,346088,3.8,90678,4.0,-2988,-7.2,17,3.4
"29061","0","10","70","0","2016","4","","Daviess County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",208,1518,1503,1488,10667470,1420722,25871,546,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.5,-40,-2.6,-34,-2.2,-49,-3.2,-71565,-0.7,-93735,-6.2,-4900,-15.9,11,2.1
"29061","1","10","71","0","2016","1","","Daviess County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,30,30,30,379450,0,0,973,"",6.91,1.01,1.01,1.00,1.41,0.00,0.00,1.40,"",0,0.0,-1,-3.2,0,0.0,0,0.0,-36595,-8.8,0,0.0,0,0.0,-82,-7.8
"29061","1","10","71","0","2016","2","","Daviess County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,31,29,31,338412,0,0,858,"",7.11,1.02,0.95,0.98,1.09,0.00,0.00,1.10,"",0,0.0,-4,-11.4,-2,-6.5,0,0.0,-28285,-7.7,0,0.0,0,0.0,-14,-1.6
"29061","1","10","71","0","2016","3","","Daviess County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,31,28,30,359875,0,0,933,"",7.17,1.18,1.05,0.97,1.23,0.00,0.00,1.16,"",0,0.0,-2,-6.1,-3,-9.7,-3,-9.1,-76287,-17.5,0,0.0,0,0.0,-105,-10.1
"29061","1","10","71","0","2016","4","","Daviess County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,28,30,31,349247,0,0,906,"",7.05,0.95,1.02,1.06,1.16,0.00,0.00,1.15,"",0,0.0,-5,-15.2,-1,-3.2,-2,-6.1,-46849,-11.8,0,0.0,0,0.0,-36,-3.8
"29061","1","102","72","0","2016","1","","Daviess County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,30,30,30,379450,0,0,973,"",6.92,1.03,1.03,1.02,1.44,0.00,0.00,1.40,"",0,0.0,-1,-3.2,0,0.0,0,0.0,-36595,-8.8,0,0.0,0,0.0,-82,-7.8
"29061","1","102","72","0","2016","2","","Daviess County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,31,29,31,338412,0,0,858,"",7.12,1.04,0.96,1.00,1.11,0.00,0.00,1.10,"",0,0.0,-4,-11.4,-2,-6.5,0,0.0,-28285,-7.7,0,0.0,0,0.0,-14,-1.6
