"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29089","0","10","70","0","2016","1","","Howard County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",248,2670,2651,2698,16699075,9627291,130747,481,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,56,2.1,38,1.5,59,2.2,611746,3.8,530588,5.8,-4911,-3.6,9,1.9
"29089","0","10","70","0","2016","2","","Howard County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",245,2726,2666,2636,19523861,6435926,94660,561,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.0,36,1.3,39,1.5,66,2.6,691141,3.7,150985,2.4,-7134,-7.0,10,1.8
"29089","0","10","70","0","2016","3","","Howard County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",246,2470,2513,2718,18506037,3551785,54517,555,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.0,46,1.9,67,2.7,53,2.0,2084582,12.7,139417,4.1,-828,-1.5,52,10.3
"29089","0","10","70","0","2016","4","","Howard County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",248,2728,2741,2756,23725297,2734017,44278,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.8,20,0.7,10,0.4,12,0.4,54256,0.2,425091,18.4,6883,18.4,-2,-0.3
"29089","1","10","71","0","2016","1","","Howard County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,35,32,32,352689,0,0,822,"",5.12,0.66,0.61,0.60,0.74,0.00,0.00,1.19,"",0,0.0,0,0.0,-1,-3.0,-5,-13.5,-17178,-4.6,0,0.0,0,0.0,9,1.1
"29089","1","10","71","0","2016","2","","Howard County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,31,32,32,349753,0,0,850,"",5.24,0.58,0.61,0.62,0.65,0.00,0.00,1.08,"",0,0.0,-5,-13.9,-5,-13.5,-3,-8.6,1913,0.5,0,0.0,0,0.0,107,14.4
"29089","1","10","71","0","2016","3","","Howard County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,36,38,37,436381,0,0,907,"",5.26,0.73,0.76,0.69,0.76,0.00,0.00,1.04,"",0,0.0,-2,-5.3,3,8.6,-1,-2.6,61341,16.4,0,0.0,0,0.0,127,16.3
"29089","1","10","71","0","2016","4","","Howard County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,37,36,37,413220,0,0,867,"",5.25,0.69,0.67,0.68,0.62,0.00,0.00,0.90,"",0,0.0,-2,-5.1,1,2.9,2,5.7,10446,2.6,0,0.0,0,0.0,14,1.6
"29089","1","102","72","0","2016","1","","Howard County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,35,32,32,352689,0,0,822,"",5.13,0.67,0.62,0.61,0.76,0.00,0.00,1.19,"",0,0.0,0,0.0,-1,-3.0,-5,-13.5,-17178,-4.6,0,0.0,0,0.0,9,1.1
"29089","1","102","72","0","2016","2","","Howard County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,31,32,32,349753,0,0,850,"",5.25,0.59,0.62,0.63,0.66,0.00,0.00,1.08,"",0,0.0,-5,-13.9,-5,-13.5,-3,-8.6,1913,0.5,0,0.0,0,0.0,107,14.4
"29089","1","102","72","0","2016","3","","Howard County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,36,38,37,436381,0,0,907,"",5.27,0.75,0.78,0.71,0.77,0.00,0.00,1.04,"",0,0.0,-2,-5.3,3,8.6,-1,-2.6,61341,16.4,0,0.0,0,0.0,127,16.3
