"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29113","0","10","70","0","2016","1","","Lincoln County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",977,11237,11296,11431,95660192,62259150,1124358,650,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,1.6,482,4.5,532,4.9,581,5.4,5825986,6.5,3350876,5.7,47628,4.4,10,1.6
"29113","0","10","70","0","2016","2","","Lincoln County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",980,11775,11868,12001,111530760,31314161,650547,722,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.1,602,5.4,481,4.2,677,6.0,6760529,6.5,1743409,5.9,1237,0.2,8,1.1
"29113","0","10","70","0","2016","3","","Lincoln County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",985,11061,11016,11616,106011562,17227817,356445,726,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.1,441,4.2,537,5.1,384,3.4,12174938,13.0,485461,2.9,-17909,-4.8,56,8.4
"29113","0","10","70","0","2016","4","","Lincoln County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",996,11823,11907,11707,116273962,13260530,274890,757,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,1.5,263,2.3,437,3.8,209,1.8,4753219,4.3,404167,3.1,-4173,-1.5,12,1.6
"29113","1","10","71","0","2016","1","","Lincoln County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,111,109,111,1454553,0,0,1014,"",2.44,0.50,0.49,0.49,0.53,0.00,0.00,1.09,"",-1,-6.2,4,3.7,6,5.8,7,6.7,-34343,-2.3,0,0.0,0,0.0,-80,-7.3
"29113","1","10","71","0","2016","2","","Lincoln County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,108,108,108,1362562,0,0,970,"",2.45,0.47,0.47,0.46,0.45,0.00,0.00,0.96,"",-1,-6.2,4,3.8,4,3.8,1,0.9,-13054,-0.9,0,0.0,0,0.0,-38,-3.8
"29113","1","10","71","0","2016","3","","Lincoln County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,106,111,108,1573948,0,0,1118,"",2.46,0.48,0.51,0.47,0.48,0.00,0.00,0.98,"",-1,-6.2,1,1.0,-1,-0.9,-4,-3.6,56592,3.7,0,0.0,0,0.0,54,5.1
"29113","1","10","71","0","2016","4","","Lincoln County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,111,108,111,1556301,0,0,1088,"",2.45,0.48,0.47,0.48,0.47,0.00,0.00,1.00,"",0,0.0,3,2.8,-5,-4.4,-1,-0.9,-40692,-2.5,0,0.0,0,0.0,-19,-1.7
"29113","1","102","72","0","2016","1","","Lincoln County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,111,109,111,1454553,0,0,1014,"",2.44,0.51,0.50,0.50,0.54,0.00,0.00,1.09,"",-1,-6.2,4,3.7,6,5.8,7,6.7,-34343,-2.3,0,0.0,0,0.0,-80,-7.3
"29113","1","102","72","0","2016","2","","Lincoln County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,108,108,108,1362562,0,0,970,"",2.46,0.48,0.47,0.47,0.45,0.00,0.00,0.96,"",-1,-6.2,4,3.8,4,3.8,1,0.9,-13054,-0.9,0,0.0,0,0.0,-38,-3.8
"29113","1","102","72","0","2016","3","","Lincoln County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,106,111,108,1573948,0,0,1118,"",2.47,0.49,0.52,0.48,0.49,0.00,0.00,0.98,"",-1,-6.2,1,1.0,-1,-0.9,-4,-3.6,56592,3.7,0,0.0,0,0.0,54,5.1
"29113","1","102","72","0","2016","4","","Lincoln County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,111,108,111,1556301,0,0,1088,"",2.46,0.49,0.47,0.49,0.48,0.00,0.00,1.00,"",0,0.0,3,2.8,-5,-4.4,-1,-0.9,-40692,-2.5,0,0.0,0,0.0,-19,-1.7
"29113","1","1021","73","0","2016","1","","Lincoln County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,75,73,72,820029,0,0,860,"",3.26,1.39,1.34,1.31,1.73,0.00,0.00,1.29,"",0,0.0,1,1.4,4,5.8,2,2.9,-97038,-10.6,0,0.0,0,0.0,-134,-13.5
"29113","1","1021","73","0","2016","2","","Lincoln County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,72,72,72,821289,0,0,877,"",3.27,1.29,1.27,1.26,1.48,0.00,0.00,1.16,"",0,0.0,2,2.9,1,1.4,0,0.0,23104,2.9,0,0.0,0,0.0,12,1.4
