"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29149","0","10","70","0","2016","1","","Oregon County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",258,2316,2346,2366,13161847,9147598,143134,432,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.8,-40,-1.7,-18,-0.8,35,1.5,482223,3.8,427782,4.9,-474,-0.3,17,4.1
"29149","0","10","70","0","2016","2","","Oregon County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",259,2374,2391,2317,14921494,7399961,116699,486,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.1,18,0.8,-3,-0.1,-30,-1.3,736642,5.2,341898,4.8,-5469,-4.5,25,5.4
"29149","0","10","70","0","2016","3","","Oregon County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",257,2040,2290,2384,13487685,4719258,81151,464,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.3,-9,-0.4,-44,-1.9,23,1.0,496233,3.8,140200,3.1,-4717,-5.5,19,4.3
"29149","0","10","70","0","2016","4","","Oregon County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",259,2365,2401,2371,15048440,3412503,57857,487,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.8,-1,0.0,49,2.1,57,2.5,159390,1.1,260946,8.3,1354,2.4,-2,-0.4
"29149","1","10","71","0","2016","1","","Oregon County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,34,31,35,292094,0,0,674,"",3.69,0.74,0.67,0.75,0.78,0.00,0.00,1.09,"",0,0.0,1,3.0,1,3.3,5,16.7,-47832,-14.1,0,0.0,0,0.0,-169,-20.0
"29149","1","10","71","0","2016","2","","Oregon County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,32,34,30,289846,0,0,697,"",3.71,0.69,0.73,0.66,0.71,0.00,0.00,1.02,"",0,0.0,-1,-3.0,2,6.2,-1,-3.2,1844,0.6,0,0.0,0,0.0,5,0.7
"29149","1","10","71","0","2016","3","","Oregon County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,33,32,32,340978,0,0,811,"",3.78,0.81,0.71,0.68,0.82,0.00,0.00,1.11,"",0,0.0,3,10.0,1,3.2,1,3.2,-1858,-0.5,0,0.0,0,0.0,-49,-5.7
"29149","1","10","71","0","2016","4","","Oregon County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,31,35,34,331537,0,0,765,"",3.77,0.67,0.75,0.73,0.78,0.00,0.00,1.09,"",0,0.0,-1,-3.1,5,16.7,2,6.2,336,0.1,0,0.0,0,0.0,-48,-5.9
"29149","1","102","72","0","2016","1","","Oregon County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,34,31,35,292094,0,0,674,"",3.70,0.75,0.68,0.76,0.79,0.00,0.00,1.09,"",0,0.0,1,3.0,1,3.3,5,16.7,-47832,-14.1,0,0.0,0,0.0,-169,-20.0
"29149","1","102","72","0","2016","2","","Oregon County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,32,34,30,289846,0,0,697,"",3.72,0.70,0.74,0.67,0.72,0.00,0.00,1.02,"",0,0.0,-1,-3.0,2,6.2,-1,-3.2,1844,0.6,0,0.0,0,0.0,5,0.7
"29149","1","102","72","0","2016","3","","Oregon County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,33,32,32,340978,0,0,811,"",3.78,0.83,0.72,0.70,0.83,0.00,0.00,1.12,"",0,0.0,3,10.0,1,3.2,1,3.2,-1858,-0.5,0,0.0,0,0.0,-49,-5.7
"29149","1","102","72","0","2016","4","","Oregon County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,31,35,34,331537,0,0,765,"",3.78,0.68,0.76,0.74,0.80,0.00,0.00,1.09,"",0,0.0,-1,-3.1,5,16.7,2,6.2,336,0.1,0,0.0,0,0.0,-48,-5.9
"29149","1","1021","73","0","2016","1","","Oregon County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,27,28,28,241703,0,0,672,"",4.93,2.43,2.47,2.45,3.71,0.00,0.00,1.52,"",0,0.0,1,3.8,2,7.7,2,7.7,-45632,-15.9,0,0.0,0,0.0,-178,-20.9
"29149","1","1021","73","0","2016","2","","Oregon County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,26,28,27,247371,0,0,705,"",4.95,2.31,2.46,2.45,3.32,0.00,0.00,1.38,"",0,0.0,0,0.0,0,0.0,0,0.0,5623,2.3,0,0.0,0,0.0,16,2.3
"29149","1","1021","73","0","2016","3","","Oregon County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,27,28,29,290412,0,0,798,"",5.04,2.76,2.55,2.55,3.85,0.00,0.00,1.47,"",0,0.0,1,3.8,1,3.7,2,7.4,3147,1.1,0,0.0,0,0.0,-31,-3.7
"29149","1","1021","73","0","2016","4","","Oregon County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,28,29,28,288535,0,0,783,"",5.04,2.49,2.54,2.39,3.35,0.00,0.00,1.35,"",0,0.0,-1,-3.4,2,7.4,1,3.7,3,0.0,0,0.0,0,0.0,-19,-2.4
"29149","1","1028","73","0","2016","1","","Oregon County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,3,7,50391,0,0,684,"",3.02,0.28,0.12,0.28,0.21,0.00,0.00,0.96,"",0,0.0,0,0.0,-1,-25.0,3,75.0,-2200,-4.2,0,0.0,0,0.0,-125,-15.5
"29149","1","1028","73","0","2016","2","","Oregon County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,3,42475,0,0,653,"",3.04,0.24,0.24,0.12,0.17,0.00,0.00,0.85,"",0,0.0,-1,-14.3,2,50.0,-1,-25.0,-3779,-8.2,0,0.0,0,0.0,-59,-8.3
"29149","1","1028","73","0","2016","3","","Oregon County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,4,3,50566,0,0,898,"",3.09,0.27,0.16,0.12,0.20,0.00,0.00,1.09,"",0,0.0,2,50.0,0,0.0,-1,-25.0,-5005,-9.0,0,0.0,0,0.0,-171,-16.0
"29149","1","1028","73","0","2016","4","","Oregon County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,6,6,43002,0,0,662,"",3.09,0.12,0.24,0.24,0.17,0.00,0.00,0.87,"",0,0.0,0,0.0,3,100.0,1,20.0,333,0.8,0,0.0,0,0.0,-233,-26.0
"29149","1","48-49","74","0","2016","1","","Oregon County, Missouri","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,27,28,28,241703,0,0,672,"",5.08,2.66,2.71,2.68,4.00,0.00,0.00,1.49,"",0,0.0,1,3.8,2,7.7,2,7.7,-45632,-15.9,0,0.0,0,0.0,-178,-20.9
"29149","1","48-49","74","0","2016","2","","Oregon County, Missouri","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,26,28,27,247371,0,0,705,"",5.10,2.52,2.69,2.68,3.59,0.00,0.00,1.36,"",0,0.0,0,0.0,0,0.0,0,0.0,5623,2.3,0,0.0,0,0.0,16,2.3
"29149","1","48-49","74","0","2016","3","","Oregon County, Missouri","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,27,28,29,290412,0,0,798,"",5.19,3.02,2.79,2.79,4.12,0.00,0.00,1.44,"",0,0.0,1,3.8,1,3.7,2,7.4,3147,1.1,0,0.0,0,0.0,-31,-3.7
"29149","1","48-49","74","0","2016","4","","Oregon County, Missouri","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,28,29,28,288535,0,0,783,"",5.19,2.73,2.78,2.61,3.62,0.00,0.00,1.34,"",0,0.0,-1,-3.4,2,7.4,1,3.7,3,0.0,0,0.0,0,0.0,-19,-2.4
"29149","1","491","75","0","2016","1","","Oregon County, Missouri","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,27,28,28,241703,0,0,672,"",5.11,2.72,2.76,2.74,4.21,0.00,0.00,1.53,"",0,0.0,1,3.8,2,7.7,2,7.7,-45632,-15.9,0,0.0,0,0.0,-178,-20.9
"29149","1","491","75","0","2016","2","","Oregon County, Missouri","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,26,28,27,247371,0,0,705,"",5.13,2.58,2.75,2.73,3.75,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,5623,2.3,0,0.0,0,0.0,16,2.3
"29149","1","491","75","0","2016","3","","Oregon County, Missouri","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,27,28,29,290412,0,0,798,"",5.23,3.09,2.85,2.85,4.31,0.00,0.00,1.48,"",0,0.0,1,3.8,1,3.7,2,7.4,3147,1.1,0,0.0,0,0.0,-31,-3.7
"29149","1","491","75","0","2016","4","","Oregon County, Missouri","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,28,29,28,288535,0,0,783,"",5.22,2.79,2.84,2.66,3.75,0.00,0.00,1.36,"",0,0.0,-1,-3.4,2,7.4,1,3.7,3,0.0,0,0.0,0,0.0,-19,-2.4
"29149","1","4911","76","0","2016","1","","Oregon County, Missouri","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,27,28,28,241703,0,0,672,"",5.11,2.72,2.76,2.74,4.21,0.00,0.00,1.53,"",0,0.0,1,3.8,2,7.7,2,7.7,-45632,-15.9,0,0.0,0,0.0,-178,-20.9
"29149","1","4911","76","0","2016","2","","Oregon County, Missouri","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,26,28,27,247371,0,0,705,"",5.13,2.58,2.75,2.73,3.75,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,5623,2.3,0,0.0,0,0.0,16,2.3
"29149","1","4911","76","0","2016","3","","Oregon County, Missouri","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,27,28,29,290412,0,0,798,"",5.23,3.09,2.85,2.85,4.31,0.00,0.00,1.48,"",0,0.0,1,3.8,1,3.7,2,7.4,3147,1.1,0,0.0,0,0.0,-31,-3.7
"29149","1","4911","76","0","2016","4","","Oregon County, Missouri","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,28,29,28,288535,0,0,783,"",5.22,2.79,2.84,2.66,3.75,0.00,0.00,1.36,"",0,0.0,-1,-3.4,2,7.4,1,3.7,3,0.0,0,0.0,0,0.0,-19,-2.4
