"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29177","0","10","70","0","2016","1","","Ray County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",425,4174,4198,4207,33909645,20045027,271766,622,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.7,-3,-0.1,13,0.3,1,0.0,210853,0.6,204460,1.0,-36651,-11.9,3,0.5
"29177","0","10","70","0","2016","2","","Ray County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",423,4378,4392,4384,36355956,10534238,149873,638,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.2,61,1.4,38,0.9,17,0.4,581682,1.6,121832,1.2,-16717,-10.0,5,0.8
"29177","0","10","70","0","2016","3","","Ray County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",423,4197,4228,4314,35133678,5450434,80653,636,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,-2,0.0,-19,-0.4,-31,-0.7,449316,1.3,-149447,-2.7,-10193,-11.2,10,1.6
"29177","0","10","70","0","2016","4","","Ray County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",421,4353,4384,4311,36774579,4343154,68370,650,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.9,-31,-0.7,44,1.0,-12,-0.3,-1646648,-4.3,155084,3.7,-3144,-4.4,-30,-4.4
"29177","1","10","71","0","2016","1","","Ray County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,54,53,52,504692,0,0,732,"",2.99,0.65,0.64,0.63,0.52,0.00,0.00,0.82,"",0,0.0,10,22.7,8,17.8,3,6.1,-41222,-7.6,0,0.0,0,0.0,-181,-19.8
"29177","1","10","71","0","2016","2","","Ray County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,48,48,51,478118,0,0,751,"",3.03,0.56,0.56,0.59,0.48,0.00,0.00,0.84,"",0,0.0,4,9.1,2,4.3,3,6.2,-18492,-3.7,0,0.0,0,0.0,-79,-9.5
"29177","1","10","71","0","2016","3","","Ray County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,45,48,47,594457,0,0,980,"",3.06,0.54,0.57,0.55,0.55,0.00,0.00,0.98,"",0,0.0,-5,-10.0,-7,-12.7,-5,-9.6,10754,1.8,0,0.0,0,0.0,122,14.2
"29177","1","10","71","0","2016","4","","Ray County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,49,49,52,598565,0,0,921,"",3.09,0.58,0.57,0.61,0.58,0.00,0.00,0.98,"",0,0.0,0,0.0,3,6.5,0,0.0,38631,6.9,0,0.0,0,0.0,42,4.8
"29177","1","102","72","0","2016","1","","Ray County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,54,53,52,504692,0,0,732,"",3.00,0.66,0.65,0.64,0.53,0.00,0.00,0.82,"",0,0.0,10,22.7,8,17.8,3,6.1,-41222,-7.6,0,0.0,0,0.0,-181,-19.8
"29177","1","102","72","0","2016","2","","Ray County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,48,48,51,478118,0,0,751,"",3.04,0.57,0.57,0.60,0.49,0.00,0.00,0.84,"",0,0.0,4,9.1,2,4.3,3,6.2,-18492,-3.7,0,0.0,0,0.0,-79,-9.5
"29177","1","102","72","0","2016","3","","Ray County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,45,48,47,594457,0,0,980,"",3.06,0.55,0.58,0.56,0.56,0.00,0.00,0.98,"",0,0.0,-5,-10.0,-7,-12.7,-5,-9.6,10754,1.8,0,0.0,0,0.0,122,14.2
"29177","1","102","72","0","2016","4","","Ray County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,49,49,52,598565,0,0,921,"",3.10,0.59,0.58,0.62,0.59,0.00,0.00,0.98,"",0,0.0,0,0.0,3,6.5,0,0.0,38631,6.9,0,0.0,0,0.0,42,4.8
"29177","1","1021","73","0","2016","1","","Ray County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,40,38,38,366401,0,0,729,"",3.74,1.99,1.87,1.87,2.18,0.00,0.00,1.14,"",0,0.0,5,14.3,2,5.6,0,0.0,-58297,-13.7,0,0.0,0,0.0,-170,-18.9
"29177","1","1021","73","0","2016","2","","Ray County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,38,38,37,365084,0,0,746,"",3.79,1.83,1.82,1.77,2.01,0.00,0.00,1.12,"",0,0.0,3,8.6,1,2.7,-2,-5.1,-16139,-4.2,0,0.0,0,0.0,-47,-5.9
"29177","1","1021","73","0","2016","3","","Ray County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,39,38,433462,0,0,885,"",3.83,1.79,1.92,1.85,2.21,0.00,0.00,1.19,"",0,0.0,-1,-2.7,-1,-2.5,-2,-5.0,-18807,-4.2,0,0.0,0,0.0,-7,-0.8
"29177","1","1021","73","0","2016","4","","Ray County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,37,38,38,469020,0,0,958,"",3.88,1.79,1.82,1.79,2.23,0.00,0.00,1.24,"",0,0.0,-2,-5.1,1,2.7,0,0.0,30954,7.1,0,0.0,0,0.0,71,8.0
"29177","1","1023","73","0","2016","1","","Ray County, Missouri","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,2,1,13106,0,0,756,"",28.20,2.48,5.00,2.52,1.81,0.00,0.00,0.54,"",0,0.0,0,0.0,1,100.0,0,0.0,-1694,-11.4,0,0.0,0,0.0,-382,-33.6
"29177","1","1023","73","0","2016","2","","Ray County, Missouri","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,11466,0,0,441,"",28.71,4.91,4.95,4.89,1.68,0.00,0.00,0.34,"",0,0.0,1,100.0,1,100.0,1,100.0,-1523,-11.7,0,0.0,0,0.0,-558,-55.9
