"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29183","0","10","70","0","2016","1","","St. Charles County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8995,138488,139987,141561,1556317955,856809797,20980161,855,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",164,1.9,4827,3.6,5053,3.7,4796,3.5,62861127,4.2,45879258,5.7,866499,4.3,5,0.6
"29183","0","10","70","0","2016","2","","St. Charles County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9022,144828,145926,146471,1565803308,379745295,8007914,826,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",173,2.0,4983,3.6,3636,2.6,5048,3.6,117363272,8.1,8616381,2.3,-786611,-8.9,37,4.7
"29183","0","10","70","0","2016","3","","St. Charles County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9033,139995,144793,146006,1534253912,217878231,4555414,822,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",127,1.4,3734,2.7,4620,3.3,4585,3.2,132846642,9.5,8341489,4.0,-426958,-8.6,48,6.2
"29183","0","10","70","0","2016","4","","St. Charles County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9101,146463,146241,145441,1593643788,166203663,3516593,839,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",120,1.3,4220,3.0,3582,2.5,2492,1.7,-18363960,-1.1,-2226258,-1.3,-416400,-10.6,-30,-3.5
"29183","1","10","71","0","2016","1","","St. Charles County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,705,709,708,12020216,0,0,1307,"",0.53,0.26,0.26,0.25,0.27,0.00,0.00,1.06,"",0,0.0,-15,-2.1,-11,-1.5,-14,-1.9,-1471524,-10.9,0,0.0,0,0.0,-133,-9.2
"29183","1","10","71","0","2016","2","","St. Charles County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,701,707,709,11181231,0,0,1219,"",0.53,0.25,0.25,0.25,0.26,0.00,0.00,1.05,"",0,0.0,-13,-1.8,-24,-3.3,-15,-2.1,-384886,-3.3,0,0.0,0,0.0,-12,-1.0
"29183","1","10","71","0","2016","3","","St. Charles County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,712,729,725,13396206,0,0,1427,"",0.52,0.26,0.25,0.25,0.28,0.00,0.00,1.11,"",-1,-3.3,-17,-2.3,3,0.4,4,0.6,111301,0.8,0,0.0,0,0.0,18,1.3
"29183","1","10","71","0","2016","4","","St. Charles County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,721,733,756,13271911,0,0,1386,"",0.52,0.25,0.26,0.26,0.30,0.00,0.00,1.15,"",-1,-3.3,12,1.7,13,1.8,36,5.0,442101,3.4,0,0.0,0,0.0,8,0.6
"29183","1","102","72","0","2016","1","","St. Charles County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,705,709,708,12020216,0,0,1307,"",0.53,0.26,0.26,0.26,0.28,0.00,0.00,1.06,"",0,0.0,-15,-2.1,-11,-1.5,-14,-1.9,-1471524,-10.9,0,0.0,0,0.0,-133,-9.2
"29183","1","102","72","0","2016","2","","St. Charles County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,701,707,709,11181231,0,0,1219,"",0.53,0.25,0.25,0.25,0.26,0.00,0.00,1.05,"",0,0.0,-13,-1.8,-24,-3.3,-15,-2.1,-384886,-3.3,0,0.0,0,0.0,-12,-1.0
"29183","1","102","72","0","2016","3","","St. Charles County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,712,729,725,13396206,0,0,1427,"",0.52,0.26,0.26,0.26,0.29,0.00,0.00,1.11,"",-1,-3.3,-17,-2.3,3,0.4,4,0.6,111301,0.8,0,0.0,0,0.0,18,1.3
"29183","1","102","72","0","2016","4","","St. Charles County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,721,733,756,13271911,0,0,1386,"",0.52,0.26,0.26,0.27,0.30,0.00,0.00,1.15,"",-1,-3.3,12,1.7,13,1.8,36,5.0,442101,3.4,0,0.0,0,0.0,8,0.6
"29183","1","1021","73","0","2016","1","","St. Charles County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,448,457,457,5810116,0,0,984,"",0.46,0.67,0.68,0.67,0.75,0.00,0.00,1.12,"",0,0.0,6,1.4,16,3.6,11,2.5,-1092091,-15.8,0,0.0,0,0.0,-215,-17.9
"29183","1","1021","73","0","2016","2","","St. Charles County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,452,457,459,5859753,0,0,988,"",0.46,0.66,0.66,0.66,0.75,0.00,0.00,1.14,"",0,0.0,15,3.4,1,0.2,15,3.4,64786,1.1,0,0.0,0,0.0,-12,-1.2
"29183","1","1021","73","0","2016","3","","St. Charles County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,458,478,482,7053544,0,0,1148,"",0.43,0.68,0.69,0.69,0.82,0.00,0.00,1.20,"",-1,-7.7,6,1.3,27,6.0,35,7.8,293308,4.3,0,0.0,0,0.0,-8,-0.7
"29183","1","1021","73","0","2016","4","","St. Charles County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,472,487,511,7809980,0,0,1226,"",0.43,0.68,0.70,0.71,0.86,0.00,0.00,1.23,"",-1,-7.7,30,6.8,35,7.7,56,12.3,632956,8.8,0,0.0,0,0.0,-2,-0.2
"29183","1","1024","73","0","2016","1","","St. Charles County, Missouri","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,22,22,419369,0,0,1444,"",0.72,0.36,0.34,0.34,0.36,0.00,0.00,1.03,"",0,0.0,-3,-11.5,-3,-12.0,-4,-15.4,41728,11.0,0,0.0,0,0.0,312,27.6
"29183","1","1024","73","0","2016","2","","St. Charles County, Missouri","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,23,358103,0,0,1233,"",0.73,0.34,0.33,0.34,0.33,0.00,0.00,0.97,"",0,0.0,-3,-12.0,-5,-18.5,-4,-14.8,-91408,-20.3,0,0.0,0,0.0,-80,-6.1
"29183","1","1024","73","0","2016","3","","St. Charles County, Missouri","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,23,20,408685,0,0,1408,"",0.73,0.37,0.34,0.30,0.33,0.00,0.00,0.99,"",0,0.0,0,0.0,-1,-4.2,-3,-13.0,45059,12.4,0,0.0,0,0.0,226,19.1
