"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30000","0","10","50","0","2016","1","","Montana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",45314,439934,441460,445119,4316544013,3157137628,33418448,751,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1073,2.4,5930,1.4,5218,1.2,5146,1.2,61298801,1.4,77953576,2.5,-12153897,-26.7,2,0.3
"30000","0","10","50","0","2016","2","","Montana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",45996,452624,459471,467612,4585689036,2694271043,30700042,767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1223,2.7,8210,1.8,8347,1.9,9147,2.0,163988459,3.7,100149932,3.9,-9607180,-23.8,13,1.7
"30000","0","10","50","0","2016","3","","Montana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",46085,456231,457229,464430,4729723208,2232746145,25338614,792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",762,1.7,5973,1.3,5724,1.3,6798,1.5,258580818,5.8,135171134,6.4,-5791542,-18.6,33,4.3
"30000","0","10","50","0","2016","4","","Montana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",46672,460090,456886,456738,4886339066,1650968496,16807305,821,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",883,1.9,4394,1.0,5108,1.1,3574,0.8,61568466,1.3,45870661,2.9,-4629161,-21.6,3,0.4
"30000","1","10","51","0","2016","1","","Montana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",797,12300,12285,12436,202054290,0,0,1259,"",2.79,1.41,1.41,1.41,1.64,0.00,0.00,1.17,"",-6,-0.7,174,1.4,278,2.3,333,2.8,-3099730,-1.5,0,0.0,0,0.0,-48,-3.7
"30000","1","10","51","0","2016","2","","Montana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",796,12764,13335,14394,205060335,0,0,1169,"",2.77,1.44,1.48,1.56,1.63,0.00,0.00,1.09,"",-9,-1.1,293,2.3,347,2.7,458,3.3,12230340,6.3,0,0.0,0,0.0,39,3.5
"30000","1","10","51","0","2016","3","","Montana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",798,14495,14340,13961,255438266,0,0,1377,"",2.80,1.60,1.58,1.53,1.74,0.00,0.00,1.11,"",-3,-0.4,293,2.1,223,1.6,192,1.4,3105602,1.2,0,0.0,0,0.0,-7,-0.5
"30000","1","10","51","0","2016","4","","Montana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",799,13410,12843,12759,226389291,0,0,1339,"",2.79,1.49,1.44,1.42,1.64,0.00,0.00,1.13,"",0,0.0,207,1.6,139,1.1,83,0.7,24311360,12.0,0,0.0,0,0.0,130,10.8
"30000","1","102","52","0","2016","1","","Montana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",797,12300,12285,12436,202054290,0,0,1259,"",2.80,1.43,1.43,1.44,1.67,0.00,0.00,1.17,"",-6,-0.7,174,1.4,278,2.3,333,2.8,-3099730,-1.5,0,0.0,0,0.0,-48,-3.7
"30000","1","102","52","0","2016","2","","Montana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",796,12764,13335,14394,205060335,0,0,1169,"",2.78,1.47,1.51,1.59,1.66,0.00,0.00,1.09,"",-9,-1.1,293,2.3,347,2.7,458,3.3,12230340,6.3,0,0.0,0,0.0,39,3.5
"30000","1","102","52","0","2016","3","","Montana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",798,14495,14340,13961,255438266,0,0,1377,"",2.81,1.63,1.61,1.56,1.77,0.00,0.00,1.11,"",-3,-0.4,293,2.1,223,1.6,192,1.4,3105602,1.2,0,0.0,0,0.0,-7,-0.5
"30000","1","102","52","0","2016","4","","Montana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",799,13410,12843,12759,226389291,0,0,1339,"",2.79,1.52,1.47,1.44,1.67,0.00,0.00,1.13,"",0,0.0,207,1.6,139,1.1,83,0.7,24311360,12.0,0,0.0,0,0.0,130,10.8
"30000","1","1021","53","0","2016","1","","Montana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",319,2182,2204,2217,26134877,0,0,913,"",2.24,1.03,1.03,1.03,1.22,0.00,0.00,1.19,"",-2,-0.6,-2,-0.1,79,3.7,66,3.1,-4613554,-15.0,0,0.0,0,0.0,-185,-16.8
"30000","1","1021","53","0","2016","2","","Montana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",319,2202,2198,2201,25451944,0,0,890,"",2.22,1.02,1.01,0.99,1.11,0.00,0.00,1.11,"",-3,-0.9,36,1.7,61,2.9,41,1.9,-449302,-1.7,0,0.0,0,0.0,-35,-3.8
"30000","1","1021","53","0","2016","3","","Montana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",319,2212,2205,2217,30120418,0,0,1048,"",2.24,1.01,1.01,1.00,1.14,0.00,0.00,1.13,"",-2,-0.6,71,3.3,49,2.3,46,2.1,616153,2.1,0,0.0,0,0.0,-5,-0.5
"30000","1","1021","53","0","2016","4","","Montana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",319,2212,2217,2305,31913551,0,0,1094,"",2.23,1.01,1.02,1.02,1.14,0.00,0.00,1.12,"",-1,-0.3,57,2.6,27,1.2,41,1.8,1450006,4.8,0,0.0,0,0.0,30,2.8
"30000","1","1022","53","0","2016","1","","Montana -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,6,26081,0,0,376,"",1.71,0.24,0.24,0.29,0.09,0.00,0.00,0.34,"",0,0.0,-1,-16.7,-1,-16.7,1,20.0,43,0.2,0,0.0,0,0.0,23,6.5
"30000","1","1022","53","0","2016","2","","Montana -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,7,6,6,32473,0,0,394,"",1.72,0.33,0.28,0.28,0.11,0.00,0.00,0.38,"",0,0.0,2,40.0,1,20.0,1,20.0,860,2.7,0,0.0,0,0.0,-92,-18.9
"30000","1","1022","53","0","2016","3","","Montana -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,6,6,5,32302,0,0,438,"",1.69,0.28,0.28,0.23,0.10,0.00,0.00,0.37,"",0,0.0,1,20.0,1,20.0,0,0.0,4124,14.6,0,0.0,0,0.0,4,0.9
"30000","1","1022","53","0","2016","4","","Montana -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,6,5,27026,0,0,390,"",1.66,0.23,0.29,0.24,0.10,0.00,0.00,0.38,"",0,0.0,1,25.0,1,20.0,0,0.0,-4977,-15.6,0,0.0,0,0.0,-138,-26.1
"30000","1","1023","53","0","2016","1","","Montana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,90,91,90,1966523,0,0,1675,"",3.97,2.12,2.16,2.15,2.14,0.00,0.00,1.00,"",0,0.0,5,5.9,4,4.6,5,5.9,21798,1.1,0,0.0,0,0.0,-71,-4.1
"30000","1","1023","53","0","2016","2","","Montana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,90,91,92,1723785,0,0,1457,"",3.96,2.14,2.15,2.11,2.00,0.00,0.00,0.94,"",0,0.0,3,3.4,4,4.6,5,5.7,103585,6.4,0,0.0,0,0.0,24,1.7
"30000","1","1023","53","0","2016","3","","Montana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",16,93,91,89,2063766,0,0,1745,"",4.25,2.18,2.16,2.12,2.15,0.00,0.00,1.00,"",1,6.7,5,5.7,2,2.2,2,2.3,127725,6.6,0,0.0,0,0.0,53,3.1
"30000","1","1023","53","0","2016","4","","Montana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",16,92,92,92,1788323,0,0,1495,"",4.22,2.20,2.22,2.23,2.13,0.00,0.00,0.96,"",1,6.7,1,1.1,1,1.1,1,1.1,117765,7.0,0,0.0,0,0.0,83,5.9
"30000","1","1024","53","0","2016","1","","Montana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",11,186,185,185,4538111,0,0,1884,"",1.58,0.92,0.92,0.91,1.40,0.00,0.00,1.52,"",0,0.0,4,2.2,3,1.6,4,2.2,410346,9.9,0,0.0,0,0.0,136,7.8
"30000","1","1024","53","0","2016","2","","Montana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",11,184,191,198,4008761,0,0,1614,"",1.57,0.90,0.92,0.93,1.26,0.00,0.00,1.37,"",0,0.0,-3,-1.6,1,0.5,-4,-2.0,-104108,-2.5,0,0.0,0,0.0,-25,-1.5
"30000","1","1024","53","0","2016","3","","Montana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",11,201,189,181,4525329,0,0,1829,"",1.58,0.94,0.89,0.85,1.20,0.00,0.00,1.34,"",0,0.0,-8,-3.8,-14,-6.9,-13,-6.7,267739,6.3,0,0.0,0,0.0,208,12.8
"30000","1","1024","53","0","2016","4","","Montana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",11,177,176,174,4068781,0,0,1782,"",1.57,0.85,0.85,0.84,1.23,0.00,0.00,1.45,"",0,0.0,-13,-6.8,-13,-6.9,-12,-6.5,-37732,-0.9,0,0.0,0,0.0,105,6.3
"30000","1","1025","53","0","2016","1","","Montana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",16,1727,1729,1736,29322808,0,0,1303,"",2.50,1.36,1.36,1.36,1.78,0.00,0.00,1.31,"",2,14.3,49,2.9,55,3.3,61,3.6,-1453792,-4.7,0,0.0,0,0.0,-110,-7.8
"30000","1","1025","53","0","2016","2","","Montana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",16,1717,1717,1702,30006010,0,0,1348,"",2.47,1.33,1.32,1.29,1.70,0.00,0.00,1.29,"",1,6.7,27,1.6,11,0.6,-10,-0.6,1519603,5.3,0,0.0,0,0.0,61,4.7
"30000","1","1025","53","0","2016","3","","Montana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",16,1703,1697,1679,33482064,0,0,1521,"",2.47,1.31,1.30,1.27,1.63,0.00,0.00,1.26,"",1,6.7,-13,-0.8,-24,-1.4,-33,-1.9,359104,1.1,0,0.0,0,0.0,36,2.4
"30000","1","1025","53","0","2016","4","","Montana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",16,1677,1689,1680,33543020,0,0,1534,"",2.44,1.29,1.30,1.29,1.68,0.00,0.00,1.30,"",0,0.0,-53,-3.1,-69,-3.9,-78,-4.4,3543920,11.8,0,0.0,0,0.0,214,16.2
"30000","1","1026","53","0","2016","1","","Montana -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",17,225,235,258,3368717,0,0,1083,"",2.29,1.52,1.57,1.69,2.62,0.00,0.00,1.65,"",0,0.0,1,0.4,5,2.2,4,1.6,136334,4.2,0,0.0,0,0.0,29,2.8
"30000","1","1026","53","0","2016","2","","Montana -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",17,275,415,581,4366522,0,0,793,"",2.29,1.76,2.48,3.17,3.14,0.00,0.00,1.25,"",0,0.0,7,2.6,1,0.2,12,2.1,58737,1.4,0,0.0,0,0.0,-2,-0.3
"30000","1","1026","53","0","2016","3","","Montana -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",17,613,595,503,6551951,0,0,884,"",2.30,3.38,3.33,2.87,3.98,0.00,0.00,1.25,"",0,0.0,32,5.5,28,4.9,32,6.8,74760,1.2,0,0.0,0,0.0,-39,-4.2
"30000","1","1026","53","0","2016","4","","Montana -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",17,323,259,274,3369533,0,0,908,"",2.28,1.99,1.68,1.78,2.56,0.00,0.00,1.40,"",0,0.0,17,5.6,1,0.4,-15,-5.2,82249,2.5,0,0.0,0,0.0,19,2.1
"30000","1","1027","53","0","2016","1","","Montana -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",3,2,2,3,14002,0,0,462,"",3.70,0.14,0.14,0.21,0.11,0.00,0.00,0.68,"",1,50.0,-2,-50.0,-1,-33.3,0,0.0,-3866,-21.6,0,0.0,0,0.0,50,12.1
"30000","1","1027","53","0","2016","2","","Montana -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,18536,0,0,475,"",3.59,0.20,0.20,0.20,0.13,0.00,0.00,0.62,"",0,0.0,0,0.0,0,0.0,-1,-25.0,-1907,-9.3,0,0.0,0,0.0,3,0.6
"30000","1","1027","53","0","2016","3","","Montana -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,19639,0,0,504,"",3.63,0.20,0.20,0.20,0.13,0.00,0.00,0.64,"",0,0.0,-1,-25.0,-1,-25.0,-1,-25.0,1588,8.8,0,0.0,0,0.0,157,45.2
"30000","1","1027","53","0","2016","4","","Montana -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",4,3,4,4,17267,0,0,362,"",4.87,0.20,0.27,0.27,0.11,0.00,0.00,0.42,"",1,33.3,0,0.0,1,33.3,2,100.0,-1082,-5.9,0,0.0,0,0.0,-167,-31.6
"30000","1","1028","53","0","2016","1","","Montana -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",415,7883,7834,7941,136683171,0,0,1333,"",3.57,1.65,1.65,1.66,1.78,0.00,0.00,1.07,"",-7,-1.7,120,1.5,134,1.7,192,2.5,2402961,1.8,0,0.0,0,0.0,-2,-0.1
"30000","1","1028","53","0","2016","2","","Montana -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",413,8286,8714,9610,139442200,0,0,1209,"",3.54,1.72,1.78,1.92,1.81,0.00,0.00,1.00,"",-8,-1.9,221,2.7,268,3.2,413,4.5,11092768,8.6,0,0.0,0,0.0,57,4.9
"30000","1","1028","53","0","2016","3","","Montana -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",414,9663,9553,9283,178618084,0,0,1446,"",3.56,1.95,1.94,1.87,1.98,0.00,0.00,1.03,"",-4,-1.0,205,2.2,181,1.9,158,1.7,1629696,0.9,0,0.0,0,0.0,-15,-1.0
"30000","1","1028","53","0","2016","4","","Montana -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",414,8920,8399,8224,151636341,0,0,1370,"",3.55,1.83,1.74,1.69,1.86,0.00,0.00,1.06,"",-2,-0.5,196,2.2,189,2.3,143,1.8,19135762,14.4,0,0.0,0,0.0,148,12.1
"30000","1","1029","53","0","2016","1","-","Montana -- Statewide","Federal Government","1029 Unclassified","State, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30000","1","1029","53","0","2016","2","","Montana -- Statewide","Federal Government","1029 Unclassified","State, by Supersector -- by ownership sector","All establishment sizes",1,0,0,1,10104,0,0,2332,"",26.30,0.00,0.00,61.07,52.44,0.00,0.00,2.20,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30000","1","1029","53","0","2016","3","","Montana -- Statewide","Federal Government","1029 Unclassified","State, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,24713,0,0,1901,"",21.18,44.21,44.33,43.99,62.02,0.00,0.00,1.40,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30000","1","1029","53","0","2016","4","","Montana -- Statewide","Federal Government","1029 Unclassified","State, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,25449,0,0,1958,"",23.40,44.54,45.00,39.35,73.92,0.00,0.00,1.73,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
