"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30005","0","10","70","0","2016","1","","Blaine County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",197,1426,1443,1473,11295797,6530488,52485,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.5,-17,-1.2,-34,-2.3,13,0.9,237077,2.1,134333,2.1,-24011,-31.4,17,2.9
"30005","0","10","70","0","2016","2","","Blaine County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",199,1466,1512,1431,13600524,6728616,54134,712,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.0,-26,-1.7,-38,-2.5,-30,-2.1,643277,5.0,65553,1.0,-25389,-31.9,48,7.2
"30005","0","10","70","0","2016","3","","Blaine County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",196,1341,1397,1476,11991334,5497976,46195,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.5,-2,-0.1,10,0.7,-27,-1.8,809751,7.2,220906,4.2,-13054,-22.0,47,7.7
"30005","0","10","70","0","2016","4","","Blaine County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",195,1493,1514,1513,13389743,4739310,35343,684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.5,4,0.3,23,1.5,22,1.5,422182,3.3,43665,0.9,-13833,-28.1,15,2.2
"30005","1","10","71","0","2016","1","","Blaine County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,167,163,169,2238197,0,0,1035,"",12.09,5.90,5.71,5.81,6.96,0.00,0.00,1.20,"",0,0.0,-7,-4.0,-8,-4.7,-2,-1.2,70312,3.2,0,0.0,0,0.0,65,6.7
"30005","1","10","71","0","2016","2","","Blaine County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,168,168,173,2848902,0,0,1292,"",11.28,5.86,5.68,6.15,7.63,0.00,0.00,1.30,"",-1,-6.7,-6,-3.4,-2,-1.2,-5,-2.8,569878,25.0,0,0.0,0,0.0,284,28.2
"30005","1","10","71","0","2016","3","","Blaine County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,201,192,191,3272073,0,0,1293,"",11.55,7.54,6.94,6.58,8.80,0.00,0.00,1.26,"",-1,-6.7,20,11.0,16,9.1,13,7.3,490430,17.6,0,0.0,0,0.0,93,7.8
"30005","1","10","71","0","2016","4","","Blaine County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,189,178,191,2979079,0,0,1232,"",11.69,6.49,6.04,6.40,7.89,0.00,0.00,1.25,"",-1,-6.7,26,16.0,16,9.9,22,13.0,353298,13.5,0,0.0,0,0.0,5,0.4
"30005","1","102","72","0","2016","1","","Blaine County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,167,163,169,2238197,0,0,1035,"",12.12,6.00,5.81,5.91,7.08,0.00,0.00,1.20,"",0,0.0,-7,-4.0,-8,-4.7,-2,-1.2,70312,3.2,0,0.0,0,0.0,65,6.7
"30005","1","102","72","0","2016","2","","Blaine County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,168,168,173,2848902,0,0,1292,"",11.30,5.96,5.78,6.26,7.77,0.00,0.00,1.30,"",-1,-6.7,-6,-3.4,-2,-1.2,-5,-2.8,569878,25.0,0,0.0,0,0.0,284,28.2
