"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30009","0","10","70","0","2016","1","","Carbon County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",484,2547,2572,2581,18815859,14084521,138072,564,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.9,-66,-2.5,-35,-1.3,-53,-2.0,-293341,-1.5,16998,0.1,-55605,-28.7,3,0.5
"30009","0","10","70","0","2016","2","","Carbon County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",490,2533,2630,2814,21509031,13305559,141751,622,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,2.1,9,0.4,52,2.0,115,4.3,-358474,-1.6,542296,4.2,-39556,-21.8,-25,-3.9
"30009","0","10","70","0","2016","3","","Carbon County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",491,2626,2647,2678,21612915,12492263,128817,627,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.4,42,1.6,47,1.8,65,2.5,1401664,6.9,809412,6.9,-31599,-19.7,29,4.8
"30009","0","10","70","0","2016","4","","Carbon County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",491,2663,2689,2674,23223597,9442694,98796,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,101,3.9,79,3.0,25,0.9,271555,1.2,492532,5.5,-22091,-18.3,-9,-1.3
"30009","1","10","71","0","2016","1","","Carbon County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,63,67,67,994166,0,0,1165,"",4.27,1.25,1.32,1.31,1.86,0.00,0.00,1.44,"",0,0.0,-5,-7.4,0,0.0,2,3.1,-100604,-9.2,0,0.0,0,0.0,-98,-7.8
"30009","1","10","71","0","2016","2","","Carbon County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,67,76,87,1008990,0,0,1012,"",4.25,1.35,1.48,1.57,1.71,0.00,0.00,1.16,"",0,0.0,3,4.7,3,4.1,8,10.1,26224,2.7,0,0.0,0,0.0,-38,-3.6
"30009","1","10","71","0","2016","3","","Carbon County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,88,88,86,1502280,0,0,1323,"",4.28,1.68,1.68,1.63,2.24,0.00,0.00,1.35,"",0,0.0,4,4.8,4,4.8,6,7.5,162354,12.1,0,0.0,0,0.0,76,6.1
"30009","1","10","71","0","2016","4","","Carbon County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,84,78,74,1313666,0,0,1285,"",4.31,1.62,1.49,1.40,2.01,0.00,0.00,1.34,"",0,0.0,15,21.7,17,27.9,12,19.4,385486,41.5,0,0.0,0,0.0,169,15.1
"30009","1","102","72","0","2016","1","","Carbon County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,63,67,67,994166,0,0,1165,"",4.28,1.27,1.34,1.34,1.89,0.00,0.00,1.44,"",0,0.0,-5,-7.4,0,0.0,2,3.1,-100604,-9.2,0,0.0,0,0.0,-98,-7.8
"30009","1","102","72","0","2016","2","","Carbon County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,67,76,87,1008990,0,0,1012,"",4.26,1.38,1.50,1.60,1.74,0.00,0.00,1.16,"",0,0.0,3,4.7,3,4.1,8,10.1,26224,2.7,0,0.0,0,0.0,-38,-3.6
"30009","1","102","72","0","2016","3","","Carbon County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,88,88,86,1502280,0,0,1323,"",4.29,1.72,1.71,1.66,2.28,0.00,0.00,1.35,"",0,0.0,4,4.8,4,4.8,6,7.5,162354,12.1,0,0.0,0,0.0,76,6.1
