"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30031","0","10","70","0","2016","1","","Gallatin County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6105,51908,52159,52361,510769833,413995667,4221260,754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",291,5.0,2578,5.2,2464,5.0,2374,4.7,39072457,8.3,31693883,8.3,-1340957,-24.1,24,3.3
"30031","0","10","70","0","2016","2","","Gallatin County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6205,53259,54027,55881,542132426,359841839,3796899,767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",266,4.5,2765,5.5,2242,4.3,2585,4.9,44187465,8.9,28143194,8.5,-1103378,-22.5,28,3.8
"30031","0","10","70","0","2016","3","","Gallatin County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6216,56290,55920,56516,572195941,300018903,3195914,783,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",195,3.2,2587,4.8,2713,5.1,2405,4.4,56340608,10.9,25623072,9.3,-650982,-16.9,44,6.0
"30031","0","10","70","0","2016","4","","Gallatin County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6339,55441,54616,55383,606874564,232508571,2205634,847,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",198,3.2,2157,4.0,2020,3.8,2164,4.1,32648585,5.7,9793916,4.4,-639820,-22.5,14,1.7
"30031","1","10","71","0","2016","1","","Gallatin County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,526,539,540,9043813,0,0,1300,"",0.78,0.51,0.52,0.52,0.62,0.00,0.00,1.20,"",0,0.0,6,1.2,14,2.7,8,1.5,-196495,-2.1,0,0.0,0,0.0,-52,-3.8
"30031","1","10","71","0","2016","2","","Gallatin County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,554,585,632,8781989,0,0,1144,"",0.78,0.53,0.55,0.57,0.59,0.00,0.00,1.06,"",0,0.0,8,1.5,10,1.7,32,5.3,354810,4.2,0,0.0,0,0.0,14,1.2
"30031","1","10","71","0","2016","3","","Gallatin County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,629,622,615,11687943,0,0,1445,"",0.78,0.56,0.56,0.55,0.66,0.00,0.00,1.18,"",0,0.0,17,2.8,15,2.5,6,1.0,126709,1.1,0,0.0,0,0.0,-15,-1.0
"30031","1","10","71","0","2016","4","","Gallatin County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,578,548,535,10144329,0,0,1409,"",0.77,0.53,0.52,0.49,0.59,0.00,0.00,1.15,"",0,0.0,-5,-0.9,0,0.0,-12,-2.2,1398871,16.0,0,0.0,0,0.0,206,17.1
"30031","1","102","72","0","2016","1","","Gallatin County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,526,539,540,9043813,0,0,1300,"",0.78,0.52,0.53,0.53,0.63,0.00,0.00,1.20,"",0,0.0,6,1.2,14,2.7,8,1.5,-196495,-2.1,0,0.0,0,0.0,-52,-3.8
"30031","1","102","72","0","2016","2","","Gallatin County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,554,585,632,8781989,0,0,1144,"",0.78,0.54,0.56,0.59,0.60,0.00,0.00,1.06,"",0,0.0,8,1.5,10,1.7,32,5.3,354810,4.2,0,0.0,0,0.0,14,1.2
"30031","1","102","72","0","2016","3","","Gallatin County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,629,622,615,11687943,0,0,1445,"",0.78,0.57,0.57,0.56,0.67,0.00,0.00,1.18,"",0,0.0,17,2.8,15,2.5,6,1.0,126709,1.1,0,0.0,0,0.0,-15,-1.0
"30031","1","102","72","0","2016","4","","Gallatin County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,578,548,535,10144329,0,0,1409,"",0.77,0.54,0.52,0.50,0.60,0.00,0.00,1.15,"",0,0.0,-5,-0.9,0,0.0,-12,-2.2,1398871,16.0,0,0.0,0,0.0,206,17.1
"30031","1","1021","73","0","2016","1","","Gallatin County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,133,137,136,1503764,0,0,855,"",0.42,0.53,0.54,0.54,0.60,0.00,0.00,1.11,"",0,0.0,6,4.7,6,4.6,6,4.6,-268439,-15.1,0,0.0,0,0.0,-199,-18.9
"30031","1","1021","73","0","2016","2","","Gallatin County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,137,133,135,1481118,0,0,844,"",0.41,0.54,0.52,0.51,0.55,0.00,0.00,1.05,"",0,0.0,9,7.0,3,2.3,5,3.8,40980,2.8,0,0.0,0,0.0,-13,-1.5
"30031","1","1021","73","0","2016","3","","Gallatin County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,134,136,140,1750501,0,0,985,"",0.42,0.50,0.51,0.52,0.55,0.00,0.00,1.08,"",0,0.0,2,1.5,2,1.5,8,6.1,47054,2.8,0,0.0,0,0.0,-3,-0.3
"30031","1","1021","73","0","2016","4","","Gallatin County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,132,138,138,1891978,0,0,1070,"",0.41,0.50,0.53,0.51,0.54,0.00,0.00,1.06,"",0,0.0,-1,-0.8,8,6.2,9,7.0,130039,7.4,0,0.0,0,0.0,33,3.2
"30031","1","1023","73","0","2016","1","","Gallatin County, Montana","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,22,23,23,471150,0,0,1599,"",1.96,4.39,4.63,4.66,4.32,0.00,0.00,0.95,"",0,0.0,0,0.0,0,0.0,0,0.0,-18080,-3.7,0,0.0,0,0.0,-61,-3.7
"30031","1","1023","73","0","2016","2","","Gallatin County, Montana","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,23,23,23,423618,0,0,1417,"",1.96,4.64,4.63,4.41,4.16,0.00,0.00,0.91,"",0,0.0,0,0.0,0,0.0,0,0.0,18267,4.5,0,0.0,0,0.0,61,4.5
