"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30037","0","10","70","0","2016","1","","Golden Valley County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",30,183,191,181,1263086,787314,8301,525,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-3.2,7,4.0,9,4.9,-7,-3.7,81147,6.9,98909,14.4,-2195,-20.9,25,5.0
"30037","0","10","70","0","2016","2","","Golden Valley County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",29,197,194,193,1545953,813002,8523,611,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-6.5,8,4.2,0,0.0,19,10.9,62205,4.2,30574,3.9,-3223,-27.4,-4,-0.7
"30037","0","10","70","0","2016","3","","Golden Valley County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",29,157,175,203,1181562,677066,7332,510,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-6.5,3,1.9,2,1.2,9,4.6,52158,4.6,6966,1.0,-2899,-28.3,10,2.0
"30037","0","10","70","0","2016","4","","Golden Valley County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",29,195,194,191,1246137,505253,5411,496,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-6.5,8,4.3,8,4.3,3,1.6,-149020,-10.7,-97925,-16.2,-3789,-41.2,-78,-13.6
"30037","1","10","71","0","2016","1","","Golden Valley County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,7,5,7,41653,0,0,506,"",15.88,1.93,1.32,1.96,1.16,0.00,0.00,0.67,"",0,0.0,0,0.0,2,66.7,1,16.7,2642,6.8,0,0.0,0,0.0,-57,-10.1
"30037","1","10","71","0","2016","2","","Golden Valley County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,6,5,5,51154,0,0,738,"",16.59,1.56,1.32,1.32,1.21,0.00,0.00,0.86,"",0,0.0,3,100.0,1,25.0,1,25.0,17355,51.3,0,0.0,0,0.0,29,4.1
"30037","1","10","71","0","2016","3","","Golden Valley County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,5,5,8,53457,0,0,685,"",16.73,1.60,1.44,2.01,1.46,0.00,0.00,0.86,"",0,0.0,-2,-28.6,0,0.0,3,60.0,12775,31.4,0,0.0,0,0.0,133,24.1
"30037","1","10","71","0","2016","4","","Golden Valley County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,7,7,8,49384,0,0,518,"",16.85,1.84,1.85,2.12,1.41,0.00,0.00,0.73,"",0,0.0,3,75.0,3,75.0,1,14.3,7939,19.2,0,0.0,0,0.0,-120,-18.8
"30037","1","102","72","0","2016","1","","Golden Valley County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,7,5,7,41653,0,0,506,"",15.92,1.96,1.35,1.99,1.18,0.00,0.00,0.67,"",0,0.0,0,0.0,2,66.7,1,16.7,2642,6.8,0,0.0,0,0.0,-57,-10.1
"30037","1","102","72","0","2016","2","","Golden Valley County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,6,5,5,51154,0,0,738,"",16.62,1.58,1.34,1.34,1.23,0.00,0.00,0.86,"",0,0.0,3,100.0,1,25.0,1,25.0,17355,51.3,0,0.0,0,0.0,29,4.1
