"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30049","0","10","70","0","2016","1","","Lewis and Clark County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2728,34795,34883,35265,378267091,276801377,2181870,832,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",82,3.1,-7,0.0,-7,0.0,77,0.2,14586196,4.0,15195855,5.8,-898443,-29.2,32,4.0
"30049","0","10","70","0","2016","2","","Lewis and Clark County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2762,35502,35881,36234,385141793,232648224,1908928,826,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",89,3.3,-280,-0.8,42,0.1,469,1.3,4313476,1.1,-3260712,-1.4,-836533,-30.5,8,1.0
"30049","0","10","70","0","2016","3","","Lewis and Clark County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2753,35334,35404,36240,401497162,208786528,1539979,866,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,0.8,439,1.3,313,0.9,550,1.5,15178871,3.9,11538209,5.8,-291714,-15.9,22,2.6
"30049","0","10","70","0","2016","4","","Lewis and Clark County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2792,35906,35937,35594,402873656,161165267,1060649,865,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,1.7,160,0.4,67,0.2,-1,0.0,6548262,1.7,4771272,3.1,-252015,-19.2,12,1.4
"30049","1","10","71","0","2016","1","","Lewis and Clark County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1876,1865,1876,33830615,0,0,1390,"",2.74,2.72,2.70,2.69,3.14,0.00,0.00,1.16,"",0,0.0,61,3.4,62,3.4,70,3.9,-382688,-1.1,0,0.0,0,0.0,-66,-4.5
"30049","1","10","71","0","2016","2","","Lewis and Clark County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1880,1930,1975,34617884,0,0,1381,"",2.73,2.71,2.75,2.77,3.28,0.00,0.00,1.19,"",0,0.0,47,2.6,46,2.4,9,0.5,3220627,10.3,0,0.0,0,0.0,106,8.3
"30049","1","10","71","0","2016","3","","Lewis and Clark County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1949,1955,1934,37972280,0,0,1501,"",2.76,2.77,2.79,2.72,3.05,0.00,0.00,1.11,"",0,0.0,-53,-2.6,-35,-1.8,-46,-2.3,202011,0.5,0,0.0,0,0.0,41,2.8
"30049","1","10","71","0","2016","4","","Lewis and Clark County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1907,1886,1857,35960533,0,0,1469,"",2.74,2.72,2.69,2.65,3.17,0.00,0.00,1.18,"",0,0.0,-46,-2.4,-49,-2.5,-65,-3.4,3154146,9.6,0,0.0,0,0.0,166,12.7
"30049","1","102","72","0","2016","1","","Lewis and Clark County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,1876,1865,1876,33830615,0,0,1390,"",2.74,2.76,2.75,2.74,3.20,0.00,0.00,1.16,"",0,0.0,61,3.4,62,3.4,70,3.9,-382688,-1.1,0,0.0,0,0.0,-66,-4.5
"30049","1","102","72","0","2016","2","","Lewis and Clark County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,1880,1930,1975,34617884,0,0,1381,"",2.73,2.75,2.80,2.82,3.34,0.00,0.00,1.19,"",0,0.0,47,2.6,46,2.4,9,0.5,3220627,10.3,0,0.0,0,0.0,106,8.3
"30049","1","102","72","0","2016","3","","Lewis and Clark County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,1949,1955,1934,37972280,0,0,1501,"",2.77,2.82,2.84,2.77,3.11,0.00,0.00,1.11,"",0,0.0,-53,-2.6,-35,-1.8,-46,-2.3,202011,0.5,0,0.0,0,0.0,41,2.8
"30049","1","102","72","0","2016","4","","Lewis and Clark County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,1907,1886,1857,35960533,0,0,1469,"",2.75,2.77,2.74,2.69,3.22,0.00,0.00,1.18,"",0,0.0,-46,-2.4,-49,-2.5,-65,-3.4,3154146,9.6,0,0.0,0,0.0,166,12.7
"30049","1","1021","73","0","2016","1","","Lewis and Clark County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,96,95,94,1152502,0,0,933,"",0.82,0.57,0.56,0.55,0.62,0.00,0.00,1.09,"",0,0.0,8,9.1,11,13.1,8,9.3,-241779,-17.3,0,0.0,0,0.0,-314,-25.2
"30049","1","1021","73","0","2016","2","","Lewis and Clark County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,94,93,92,1153048,0,0,954,"",0.81,0.56,0.54,0.53,0.60,0.00,0.00,1.10,"",0,0.0,10,11.9,21,29.2,6,7.0,-1770,-0.2,0,0.0,0,0.0,-147,-13.4
"30049","1","1021","73","0","2016","3","","Lewis and Clark County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,93,96,97,1360690,0,0,1098,"",0.82,0.55,0.57,0.56,0.61,0.00,0.00,1.09,"",0,0.0,8,9.4,7,7.9,5,5.4,23304,1.7,0,0.0,0,0.0,-62,-5.3
"30049","1","1021","73","0","2016","4","","Lewis and Clark County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,93,102,100,1508717,0,0,1180,"",0.82,0.55,0.60,0.57,0.65,0.00,0.00,1.15,"",0,0.0,4,4.5,8,8.5,4,4.2,79151,5.5,0,0.0,0,0.0,-2,-0.2
"30049","1","1023","73","0","2016","1","","Lewis and Clark County, Montana","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,55239,0,0,1416,"",4.39,0.89,0.90,0.90,0.68,0.00,0.00,0.76,"",0,0.0,2,200.0,2,200.0,1,50.0,15625,39.4,0,0.0,0,0.0,-869,-38.0
"30049","1","1023","73","0","2016","2","","Lewis and Clark County, Montana","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,47736,0,0,1224,"",4.40,0.91,0.91,0.89,0.66,0.00,0.00,0.73,"",0,0.0,1,50.0,1,50.0,1,50.0,11216,30.7,0,0.0,0,0.0,-181,-12.9
