"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30057","0","10","70","0","2016","1","","Madison County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",450,4477,4554,4569,39518490,34980382,594090,671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.5,115,2.6,180,4.1,246,5.7,2580394,7.0,3768205,12.1,-81187,-12.0,18,2.8
"30057","0","10","70","0","2016","2","","Madison County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",464,4343,3006,3679,32518869,25140572,394975,680,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.1,130,3.1,148,5.2,612,20.0,683925,2.1,1548000,6.6,-64665,-14.1,-45,-6.2
"30057","0","10","70","0","2016","3","","Madison County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",463,4069,4109,3811,35813636,23090773,398549,689,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,253,6.6,279,7.3,229,6.4,3627375,11.3,2581042,12.6,32352,8.8,27,4.1
"30057","0","10","70","0","2016","4","","Madison County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",466,3320,3565,4541,32810324,14965283,233208,663,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.1,136,4.3,190,5.6,-83,-1.8,2469979,8.1,1123742,8.1,9140,4.1,37,5.9
"30057","1","10","71","0","2016","1","","Madison County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,47,45,45,615066,0,0,1036,"",4.94,0.53,0.50,0.50,0.55,0.00,0.00,1.07,"",-1,-6.7,1,2.2,-2,-4.3,-4,-8.2,-53974,-8.1,0,0.0,0,0.0,-51,-4.7
"30057","1","10","71","0","2016","2","","Madison County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,47,58,82,674883,0,0,833,"",4.84,0.55,0.99,1.13,0.76,0.00,0.00,0.87,"",-1,-6.7,-5,-9.6,3,5.5,4,5.1,2039,0.3,0,0.0,0,0.0,-6,-0.7
"30057","1","10","71","0","2016","3","","Madison County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,76,79,72,1174641,0,0,1194,"",4.89,0.94,0.97,0.96,1.06,0.00,0.00,1.11,"",-1,-6.7,3,4.1,8,11.3,0,0.0,27953,2.4,0,0.0,0,0.0,-31,-2.5
"30057","1","10","71","0","2016","4","","Madison County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,64,56,54,949453,0,0,1259,"",4.89,0.99,0.81,0.60,1.03,0.00,0.00,1.32,"",0,0.0,2,3.2,6,12.0,2,3.8,304312,47.2,0,0.0,0,0.0,351,38.7
"30057","1","102","72","0","2016","1","","Madison County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,47,45,45,615066,0,0,1036,"",4.95,0.54,0.51,0.51,0.56,0.00,0.00,1.07,"",-1,-6.7,1,2.2,-2,-4.3,-4,-8.2,-53974,-8.1,0,0.0,0,0.0,-51,-4.7
"30057","1","102","72","0","2016","2","","Madison County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,47,58,82,674883,0,0,833,"",4.85,0.56,1.00,1.15,0.77,0.00,0.00,0.87,"",-1,-6.7,-5,-9.6,3,5.5,4,5.1,2039,0.3,0,0.0,0,0.0,-6,-0.7
"30057","1","102","72","0","2016","3","","Madison County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,76,79,72,1174641,0,0,1194,"",4.90,0.96,0.99,0.98,1.08,0.00,0.00,1.11,"",-1,-6.7,3,4.1,8,11.3,0,0.0,27953,2.4,0,0.0,0,0.0,-31,-2.5
"30057","1","102","72","0","2016","4","","Madison County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,64,56,54,949453,0,0,1259,"",4.90,1.01,0.82,0.61,1.05,0.00,0.00,1.32,"",0,0.0,2,3.2,6,12.0,2,3.8,304312,47.2,0,0.0,0,0.0,351,38.7
"30057","1","1021","73","0","2016","1","","Madison County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,17,16,17,138940,0,0,641,"",7.07,0.79,0.73,0.77,0.71,0.00,0.00,0.93,"",0,0.0,2,13.3,2,14.3,2,13.3,-19789,-12.5,0,0.0,0,0.0,-191,-23.0
"30057","1","1021","73","0","2016","2","","Madison County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,17,19,18,143292,0,0,612,"",6.91,0.82,1.33,1.03,0.88,0.00,0.00,0.86,"",0,0.0,2,13.3,4,26.7,2,12.5,10651,8.0,0,0.0,0,0.0,-53,-8.0
