"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30077","0","10","70","0","2016","1","","Powell County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",214,2230,2214,2226,22185962,17569869,143390,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,22,1.0,-40,-1.8,-54,-2.4,873924,4.1,310589,1.8,-79138,-35.6,39,5.3
"30077","0","10","70","0","2016","2","","Powell County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",215,2289,2364,2381,21293888,15472642,120360,699,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.5,-82,-3.5,-113,-4.6,-133,-5.3,-2510421,-10.5,-2128167,-12.1,-80905,-40.2,-47,-6.3
"30077","0","10","70","0","2016","3","","Powell County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",220,2303,2315,2396,23149660,16627504,139705,762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,-87,-3.6,-103,-4.3,-87,-3.5,-774630,-3.2,-321047,-1.9,-21271,-13.2,5,0.7
"30077","0","10","70","0","2016","4","","Powell County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",223,2338,2290,2315,21956194,13116661,95469,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.4,-157,-6.3,-129,-5.3,-17,-0.7,206439,0.9,8249,0.1,-6241,-6.1,37,5.3
"30077","1","10","71","0","2016","1","","Powell County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,71,72,73,1227242,0,0,1311,"",8.91,1.60,1.64,1.66,1.94,0.00,0.00,1.19,"",0,0.0,4,6.0,4,5.9,4,5.8,74398,6.5,0,0.0,0,0.0,7,0.5
"30077","1","10","71","0","2016","2","","Powell County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,72,86,91,1113155,0,0,1032,"",8.95,1.61,1.86,1.94,1.91,0.00,0.00,1.05,"",0,0.0,3,4.3,6,7.5,-1,-1.1,-3016,-0.3,0,0.0,0,0.0,-37,-3.5
"30077","1","10","71","0","2016","3","","Powell County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,90,89,82,1372250,0,0,1213,"",8.82,1.96,1.94,1.74,1.91,0.00,0.00,1.02,"",0,0.0,2,2.3,1,1.1,1,1.2,48770,3.7,0,0.0,0,0.0,25,2.1
"30077","1","10","71","0","2016","4","","Powell County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,74,69,72,1126382,0,0,1209,"",8.76,1.62,1.55,1.58,1.82,0.00,0.00,1.15,"",0,0.0,2,2.8,3,4.5,-7,-8.9,121967,12.1,0,0.0,0,0.0,141,13.2
"30077","1","102","72","0","2016","1","","Powell County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,71,72,73,1227242,0,0,1311,"",8.93,1.63,1.67,1.69,1.98,0.00,0.00,1.19,"",0,0.0,4,6.0,4,5.9,4,5.8,74398,6.5,0,0.0,0,0.0,7,0.5
"30077","1","102","72","0","2016","2","","Powell County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,72,86,91,1113155,0,0,1032,"",8.97,1.64,1.89,1.98,1.94,0.00,0.00,1.05,"",0,0.0,3,4.3,6,7.5,-1,-1.1,-3016,-0.3,0,0.0,0,0.0,-37,-3.5
"30077","1","102","72","0","2016","3","","Powell County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,90,89,82,1372250,0,0,1213,"",8.84,2.00,1.98,1.77,1.95,0.00,0.00,1.02,"",0,0.0,2,2.3,1,1.1,1,1.2,48770,3.7,0,0.0,0,0.0,25,2.1
"30077","1","102","72","0","2016","4","","Powell County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,74,69,72,1126382,0,0,1209,"",8.78,1.65,1.58,1.61,1.85,0.00,0.00,1.15,"",0,0.0,2,2.8,3,4.5,-7,-8.9,121967,12.1,0,0.0,0,0.0,141,13.2
"30077","1","1021","73","0","2016","1","","Powell County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,23,23,22,379910,0,0,1289,"",8.92,2.15,2.15,2.05,3.46,0.00,0.00,1.64,"",0,0.0,2,9.5,0,0.0,-1,-4.3,36833,10.7,0,0.0,0,0.0,107,9.1
"30077","1","1021","73","0","2016","2","","Powell County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,22,23,23,321091,0,0,1090,"",8.95,2.02,2.04,2.03,3.02,0.00,0.00,1.49,"",0,0.0,0,0.0,0,0.0,0,0.0,-46373,-12.6,0,0.0,0,0.0,-157,-12.6
