"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30999","0","10","70","0","2016","1","","Unknown Or Undefined, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2007,6016,6181,6182,94153030,77422376,1155992,1182,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",151,8.1,213,3.7,131,2.2,196,3.3,6994507,8.0,6674047,9.4,-212002,-15.5,54,4.8
"30999","0","10","70","0","2016","2","","Unknown Or Undefined, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2121,6437,6958,7228,100834882,54540875,947991,1128,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",243,12.9,513,8.7,742,11.9,454,6.7,15347628,18.0,10425440,23.6,37102,4.1,85,8.1
"30999","0","10","70","0","2016","3","","Unknown Or Undefined, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2221,7545,7689,7779,118660052,44774717,821512,1190,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",307,16.0,533,7.6,766,11.1,1045,15.5,23092045,24.2,10244815,29.7,45408,5.9,123,11.5
"30999","0","10","70","0","2016","4","","Unknown Or Undefined, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2341,7638,7349,7204,117059899,32156880,615015,1217,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",363,18.4,1009,15.2,1013,16.0,880,13.9,16297211,16.2,7401722,29.9,62694,11.4,11,0.9
"30999","1","10","71","0","2016","1","","Unknown Or Undefined, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,226,230,237,3560097,0,0,1186,"",2.22,1.89,1.88,1.94,1.33,0.00,0.00,0.70,"",3,12.0,7,3.2,-2,-0.9,9,3.9,142871,4.2,0,0.0,0,0.0,25,2.2
"30999","1","10","71","0","2016","2","","Unknown Or Undefined, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,244,243,257,3542343,0,0,1099,"",2.19,1.94,1.79,1.81,1.28,0.00,0.00,0.70,"",2,7.4,24,10.9,21,9.5,18,7.5,433153,13.9,0,0.0,0,0.0,45,4.3
"30999","1","10","71","0","2016","3","","Unknown Or Undefined, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,258,256,268,4316311,0,0,1274,"",2.26,1.72,1.68,1.75,1.17,0.00,0.00,0.68,"",4,14.8,24,10.3,25,10.8,34,14.5,492708,12.9,0,0.0,0,0.0,12,1.0
"30999","1","10","71","0","2016","4","","Unknown Or Undefined, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,261,254,256,4199840,0,0,1257,"",2.16,1.75,1.77,1.80,1.27,0.00,0.00,0.72,"",3,10.7,27,11.5,26,11.4,20,8.5,761990,22.2,0,0.0,0,0.0,120,10.6
"30999","1","102","72","0","2016","1","","Unknown Or Undefined, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,226,230,237,3560097,0,0,1186,"",2.22,1.93,1.91,1.98,1.35,0.00,0.00,0.70,"",3,12.0,7,3.2,-2,-0.9,9,3.9,142871,4.2,0,0.0,0,0.0,25,2.2
"30999","1","102","72","0","2016","2","","Unknown Or Undefined, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,244,243,257,3542343,0,0,1099,"",2.20,1.97,1.82,1.84,1.30,0.00,0.00,0.70,"",2,7.4,24,10.9,21,9.5,18,7.5,433153,13.9,0,0.0,0,0.0,45,4.3
