"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"31023","0","10","70","0","2016","1","","Butler County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",280,2572,2563,2588,26610416,12930093,113582,795,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-42,-1.6,-72,-2.7,-66,-2.5,-1991998,-7.0,-103243,-0.8,-30772,-21.3,-40,-4.8
"31023","0","10","70","0","2016","2","","Butler County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",283,2566,2580,2634,22122975,3378365,31115,656,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.7,-136,-5.0,-146,-5.4,-131,-4.7,-1657065,-7.0,-532123,-13.6,-15585,-33.4,-14,-2.1
"31023","0","10","70","0","2016","3","","Butler County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",285,2550,2547,2538,23903459,2007007,18190,722,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.4,-130,-4.9,-118,-4.4,-80,-3.1,290741,1.2,101298,5.3,-4130,-18.5,38,5.6
"31023","0","10","70","0","2016","4","","Butler County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",277,2524,2511,2503,24689618,1371494,11984,756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-102,-3.9,-90,-3.5,-120,-4.6,-799361,-3.1,-167,0.0,-4922,-29.1,7,0.9
"31023","1","10","71","0","2016","1","","Butler County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,41,41,41,502224,0,0,942,"",5.67,0.80,0.81,0.80,0.66,0.00,0.00,0.82,"",0,0.0,-5,-10.9,0,0.0,-4,-8.9,-57822,-10.3,0,0.0,0,0.0,-37,-3.8
"31023","1","10","71","0","2016","2","","Butler County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,45,43,48,468441,0,0,795,"",5.67,0.90,0.85,0.93,0.77,0.00,0.00,0.87,"",0,0.0,2,4.7,0,0.0,3,6.7,-11403,-2.4,0,0.0,0,0.0,-50,-5.9
"31023","1","10","71","0","2016","3","","Butler County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,42,42,43,573328,0,0,1042,"",5.67,0.83,0.83,0.86,0.77,0.00,0.00,0.92,"",0,0.0,-3,-6.7,-3,-6.7,-2,-4.4,11368,2.0,0,0.0,0,0.0,81,8.4
"31023","1","10","71","0","2016","4","","Butler County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,44,44,44,527284,0,0,922,"",5.88,0.89,0.90,0.89,0.76,0.00,0.00,0.85,"",0,0.0,2,4.8,3,7.3,-1,-2.2,33343,6.8,0,0.0,0,0.0,31,3.5
"31023","1","102","72","0","2016","1","","Butler County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,41,41,41,502224,0,0,942,"",5.68,0.82,0.82,0.82,0.67,0.00,0.00,0.82,"",0,0.0,-5,-10.9,0,0.0,-4,-8.9,-57822,-10.3,0,0.0,0,0.0,-37,-3.8
"31023","1","102","72","0","2016","2","","Butler County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,45,43,48,468441,0,0,795,"",5.68,0.91,0.87,0.94,0.79,0.00,0.00,0.87,"",0,0.0,2,4.7,0,0.0,3,6.7,-11403,-2.4,0,0.0,0,0.0,-50,-5.9
"31023","1","102","72","0","2016","3","","Butler County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,42,42,43,573328,0,0,1042,"",5.69,0.84,0.85,0.88,0.79,0.00,0.00,0.92,"",0,0.0,-3,-6.7,-3,-6.7,-2,-4.4,11368,2.0,0,0.0,0,0.0,81,8.4
"31023","1","102","72","0","2016","4","","Butler County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,44,44,44,527284,0,0,922,"",5.89,0.91,0.92,0.91,0.77,0.00,0.00,0.85,"",0,0.0,2,4.8,3,7.3,-1,-2.2,33343,6.8,0,0.0,0,0.0,31,3.5
"31023","1","1021","73","0","2016","1","","Butler County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,24,24,24,211420,0,0,678,"",7.96,1.94,1.94,1.92,1.61,0.00,0.00,0.83,"",0,0.0,-2,-7.7,-1,-4.0,0,0.0,-37456,-15.1,0,0.0,0,0.0,-88,-11.5
"31023","1","1021","73","0","2016","2","","Butler County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,24,26,28,227694,0,0,674,"",7.93,1.97,2.12,2.23,2.06,0.00,0.00,0.98,"",0,0.0,-2,-7.7,0,0.0,1,3.7,14569,6.8,0,0.0,0,0.0,51,8.2
"31023","1","1021","73","0","2016","3","","Butler County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,25,25,27,267462,0,0,802,"",7.96,2.04,2.05,2.23,2.00,0.00,0.00,0.95,"",0,0.0,-2,-7.4,-2,-7.4,0,0.0,21105,8.6,0,0.0,0,0.0,100,14.2
"31023","1","1021","73","0","2016","4","","Butler County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,28,29,26,265704,0,0,739,"",8.25,2.34,2.43,2.11,1.88,0.00,0.00,0.82,"",0,0.0,3,12.0,5,20.8,1,4.0,14834,5.9,0,0.0,0,0.0,-43,-5.5
"31023","1","1028","73","0","2016","1","","Butler County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,17,17,290804,0,0,1316,"",4.17,0.61,0.62,0.61,0.61,0.00,0.00,1.00,"",0,0.0,-3,-15.0,1,6.2,-4,-19.0,-20366,-6.5,0,0.0,0,0.0,56,4.4
"31023","1","1028","73","0","2016","2","","Butler County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,21,17,20,240747,0,0,958,"",4.18,0.77,0.62,0.71,0.65,0.00,0.00,0.93,"",0,0.0,4,23.5,0,0.0,2,11.1,-25972,-9.7,0,0.0,0,0.0,-226,-19.1
"31023","1","1028","73","0","2016","3","","Butler County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,17,16,305866,0,0,1412,"",4.18,0.61,0.62,0.59,0.67,0.00,0.00,1.10,"",0,0.0,-1,-5.6,-1,-5.6,-2,-11.1,-9737,-3.1,0,0.0,0,0.0,63,4.7
"31023","1","1028","73","0","2016","4","","Butler County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,15,18,261580,0,0,1232,"",4.33,0.60,0.56,0.68,0.64,0.00,0.00,1.04,"",0,0.0,-1,-5.9,-2,-11.8,-2,-10.0,18509,7.6,0,0.0,0,0.0,193,18.6
"31023","1","48-49","74","0","2016","1","","Butler County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,24,24,24,211420,0,0,678,"",8.19,2.13,2.12,2.10,1.73,0.00,0.00,0.82,"",0,0.0,-2,-7.7,-1,-4.0,0,0.0,-37456,-15.1,0,0.0,0,0.0,-88,-11.5
"31023","1","48-49","74","0","2016","2","","Butler County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,24,26,28,227694,0,0,674,"",8.16,2.16,2.32,2.44,2.23,0.00,0.00,0.97,"",0,0.0,-2,-7.7,0,0.0,1,3.7,14569,6.8,0,0.0,0,0.0,51,8.2
"31023","1","48-49","74","0","2016","3","","Butler County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,25,25,27,267462,0,0,802,"",8.19,2.24,2.24,2.44,2.14,0.00,0.00,0.93,"",0,0.0,-2,-7.4,-2,-7.4,0,0.0,21105,8.6,0,0.0,0,0.0,100,14.2
"31023","1","48-49","74","0","2016","4","","Butler County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,28,29,26,265704,0,0,739,"",8.49,2.56,2.66,2.30,2.03,0.00,0.00,0.81,"",0,0.0,3,12.0,5,20.8,1,4.0,14834,5.9,0,0.0,0,0.0,-43,-5.5
