"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"31059","0","10","70","0","2016","1","","Fillmore County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",301,2136,2121,2153,19863322,8870641,83217,715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-2.9,-84,-3.8,-56,-2.6,-75,-3.4,203767,1.0,-69916,-0.8,-8238,-9.0,30,4.4
"31059","0","10","70","0","2016","2","","Fillmore County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",301,2167,2167,2209,18983091,2541803,29945,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-3.2,-33,-1.5,-91,-4.0,-106,-4.6,-78590,-0.4,-189978,-7.0,737,2.5,21,3.2
"31059","0","10","70","0","2016","3","","Fillmore County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",301,2191,2183,2122,20558696,1469569,17507,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.0,1,0.0,-5,-0.2,-48,-2.2,780055,3.9,-265650,-15.3,-2865,-14.1,33,4.7
"31059","0","10","70","0","2016","4","","Fillmore County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",298,2201,2232,2229,22482649,1694093,36672,779,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.7,-8,-0.4,38,1.7,-1,0.0,277765,1.3,372754,28.2,20991,133.9,6,0.8
"31059","1","10","71","0","2016","1","","Fillmore County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,28,23,26,285457,0,0,856,"",4.75,0.66,0.55,0.61,0.51,0.00,0.00,0.83,"",0,0.0,-4,-12.5,-5,-17.9,-3,-10.3,-14673,-4.9,0,0.0,0,0.0,78,10.0
"31059","1","10","71","0","2016","2","","Fillmore County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,24,23,25,267445,0,0,857,"",4.79,0.57,0.54,0.58,0.51,0.00,0.00,0.91,"",0,0.0,-6,-20.0,-1,-4.2,2,8.7,13739,5.4,0,0.0,0,0.0,97,12.8
"31059","1","10","71","0","2016","3","","Fillmore County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,28,29,25,317367,0,0,893,"",4.83,0.64,0.67,0.60,0.50,0.00,0.00,0.78,"",0,0.0,5,21.7,6,26.1,2,8.7,20932,7.1,0,0.0,0,0.0,-98,-9.9
"31059","1","10","71","0","2016","4","","Fillmore County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,25,26,30,312714,0,0,891,"",4.92,0.58,0.60,0.68,0.49,0.00,0.00,0.79,"",0,0.0,3,13.6,3,13.0,4,15.4,24998,8.7,0,0.0,0,0.0,-44,-4.7
"31059","1","102","72","0","2016","1","","Fillmore County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,28,23,26,285457,0,0,856,"",4.76,0.67,0.56,0.62,0.51,0.00,0.00,0.83,"",0,0.0,-4,-12.5,-5,-17.9,-3,-10.3,-14673,-4.9,0,0.0,0,0.0,78,10.0
"31059","1","102","72","0","2016","2","","Fillmore County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,24,23,25,267445,0,0,857,"",4.80,0.58,0.55,0.59,0.52,0.00,0.00,0.91,"",0,0.0,-6,-20.0,-1,-4.2,2,8.7,13739,5.4,0,0.0,0,0.0,97,12.8
